timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1781918024719,100100,0,-1,-1,100100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781918036382,650100,0,-1,-1,650100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781918048327,1250100,0,-1,-1,1250100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781918060110,1850100,0,-1,-1,1850100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781918071766,2450100,0,-1,-1,2450100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781918083974,3050100,0,-1,-1,3050100,-1,-1,-1,-1,-1,-1,-1,0.0193,50000.0,nan,3250000.0,8,0
1781918095883,3650100,0,-1,-1,3650100,-1,-1,-1,-1,-1,-1,-1,0.0153,50000.0,nan,3850000.0,8,0
1781918107855,4250100,0,-1,-1,4250100,-1,-1,-1,-1,-1,-1,-1,0.0153,50000.0,nan,4450000.0,8,0
1781918119871,4850100,0,-1,-1,4850100,-1,-1,-1,-1,-1,-1,-1,0.015,0.0,nan,4999900.0,8,0
1781918132266,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0158,0.0,nan,4999900.0,8,0
1781918144274,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0153,0.0,nan,4999900.0,8,0
1781918156215,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.015,0.0,nan,4999900.0,8,0
1781918168119,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.016,0.0,nan,4999900.0,8,0
1781918179846,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0153,0.0,nan,4999900.0,8,0
1781918191598,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0153,0.0,nan,4999900.0,8,0
1781918203198,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.015,0.0,nan,4999900.0,8,0
1781918214847,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0158,0.0,nan,4999900.0,8,0
1781918226518,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0153,0.0,nan,4999900.0,8,0
1781918238347,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0155,0.0,nan,4999900.0,8,0
1781918250199,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.015,0.0,nan,4999900.0,8,0
1781918262059,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0153,0.0,nan,4999900.0,8,0
1781918273903,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.015,0.0,nan,4999900.0,8,0
1781918285767,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.015,0.0,nan,4999900.0,8,0
1781918297402,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0153,0.0,nan,4999900.0,8,0
1781918309354,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0158,0.0,nan,4999900.0,8,0
1781918321158,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.016,0.0,nan,4999900.0,8,0
1781918333006,5000000,0,-1,-1,5000000,-1,-1,-1,-1,-1,-1,-1,0.0153,0.0,nan,4999900.0,8,0
