timestamp,outputRate,totalSent,elapsedMs
1781918029825,49573.67,250000,5043
1781918034829,49766.10,500000,10047
1781918039832,49833.89,750000,15050
1781918044834,49870.34,1000000,20052
1781918049837,49890.24,1250000,25055
1781918054839,49905.18,1500000,30057
1781918059841,49915.86,1750000,35059
1781918064844,49922.62,2000000,40062
1781918069846,49928.99,2250000,45064
1781918074848,49934.09,2500000,50066
1781918079849,49939.17,2750000,55067
1781918084851,49942.57,3000000,60069
1781918089854,49944.68,3250000,65072
1781918094856,49947.20,3500000,70074
1781918099858,49949.38,3750000,75076
1781918104860,49951.30,4000000,80078
1781918109861,49953.57,4250000,85079
1781918114863,49955.04,4500000,90081
1781918119865,49956.35,4750000,95083
1781918124866,49957.04,4999900,100084
1781918125285,49749.26,4999900,100502
