timestamp,outputRate,totalSent,elapsedMs
1783668030131,49780.96,250000,5022
1783668035136,49865.36,500000,10027
1783668040139,49900.20,750000,15030
1783668045142,49917.64,1000000,20033
1783668050146,49926.11,1250000,25037
1783668055148,49935.08,1500000,30039
1783668060151,49940.07,1750000,35042
1783668065154,49943.81,2000000,40045
1783668070156,49947.83,2250000,45047
1783668075158,49951.05,2500000,50049
1783668080160,49953.68,2750000,55051
1783668085175,49945.06,3000000,60066
1783668090176,49948.51,3250000,65067
1783668095178,49950.76,3500000,70069
1783668100180,49952.71,3750000,75071
1783668105182,49954.42,4000000,80073
1783668110185,49955.33,4250000,85076
1783668115187,49956.70,4500000,90078
1783668120189,49957.93,4750000,95080
1783668125190,49959.53,5000000,100081
1783668130192,49960.51,5250000,105083
1783668135194,49961.39,5500000,110085
1783668140196,49962.20,5750000,115087
1783668145197,49963.36,6000000,120088
1783668150199,51962.59,6500000,125090
1783668155202,53807.66,7000000,130093
1783668160204,55516.49,7500000,135095
1783668165205,57103.70,8000000,140096
1783668170207,58581.10,8500000,145098
1783668175209,59960.03,9000000,150100
1783668180211,61250.02,9500000,155102
1783668185212,62459.79,10000000,160103
1783668190215,63595.51,10500000,165106
1783668195217,64664.80,11000000,170108
1783668200219,65673.01,11500000,175110
1783668205221,66625.21,12000000,180112
1783668210223,67525.96,12500000,185114
1783668215225,68379.31,13000000,190116
1783668220226,69189.26,13500000,195117
1783668225228,69958.37,14000000,200119
1783668230230,70689.98,14500000,205121
1783668235231,71387.10,15000000,210122
1783668240233,72051.47,15500000,215124
1783668245235,72685.64,16000000,220126
1783668250237,73291.64,16500000,225128
1783668255238,73871.61,17000000,230129
1783668260240,74426.60,17500000,235131
1783668265241,74958.77,18000000,240132
1783668270243,75468.93,18500000,245134
1783668275245,75958.68,19000000,250136
1783668280247,76429.23,19500000,255138
1783668285248,76881.97,20000000,260139
1783668290250,77317.35,20500000,265141
1783668295251,77736.89,21000000,270142
1783668300253,78140.90,21500000,275144
1783668305255,78530.48,22000000,280146
1783668310256,78906.67,22500000,285147
1783668315258,79269.62,23000000,290149
1783668320260,79620.26,23500000,295151
1783668324741,79597.91,23850000,299631
