timestamp,outputRate,totalSent,elapsedMs
1783669102324,49741.35,250000,5026
1783669107329,49845.48,500000,10031
1783669112332,49886.92,750000,15034
1783669117336,49905.18,1000000,20038
1783669122339,49918.13,1250000,25041
1783669127341,49928.44,1500000,30043
1783669132344,49934.37,1750000,35046
1783669137346,49940.07,2000000,40048
1783669142348,49944.51,2250000,45050
1783669147350,49948.05,2500000,50052
1783669152352,49950.96,2750000,55054
1783669157354,49953.38,3000000,60056
1783669162356,49955.42,3250000,65058
1783669167358,49957.18,3500000,70060
1783669172360,49958.70,3750000,75062
1783669177361,49960.66,4000000,80063
1783669182363,49961.79,4250000,85065
1783669187365,49962.81,4500000,90067
1783669192367,49963.71,4750000,95069
1783669197369,49964.53,5000000,100071
1783669202370,49965.74,5250000,105072
1783669207372,49966.39,5500000,110074
1783669212373,49967.41,5750000,115075
1783669217375,49967.94,6000000,120077
1783669222377,51967.16,6500000,125079
1783669227379,53812.62,7000000,130081
1783669232381,55521.42,7500000,135083
1783669237383,57108.18,8000000,140085
1783669242384,58585.94,8500000,145086
1783669247386,59964.82,9000000,150088
1783669252387,61255.15,9500000,155089
1783669257389,62464.47,10000000,160091
1783669262391,63600.52,10500000,165093
1783669267392,64670.12,11000000,170094
1783669272394,65678.26,11500000,175096
1783669277396,66630.39,12000000,180098
1783669282398,67531.06,12500000,185100
1783669287400,68384.34,13000000,190102
1783669292402,69193.87,13500000,195104
1783669297403,69963.27,14000000,200105
1783669302405,70694.81,14500000,205107
1783669307406,71391.86,15000000,210108
1783669312408,72056.16,15500000,215110
1783669317410,72690.27,16000000,220112
1783669322412,73296.20,16500000,225114
1783669327414,73875.78,17000000,230116
1783669332416,74430.71,17500000,235118
1783669337417,74962.83,18000000,240119
1783669342419,75472.93,18500000,245121
1783669347420,75962.93,19000000,250122
1783669352421,76433.72,19500000,255123
1783669357423,76886.11,20000000,260125
1783669362424,77321.73,20500000,265126
1783669367426,77740.92,21000000,270128
1783669372427,78145.16,21500000,275129
1783669377429,78534.69,22000000,280131
1783669382430,78910.82,22500000,285132
1783669387432,79273.71,23000000,290134
1783669392433,79624.58,23500000,295135
1783669396898,79606.41,23850000,299599
