timestamp,topicOffset,sourceCount,kafkaLag,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors
1781901394523,20100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901402362,393100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901410259,770600,522636,247964,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901418168,1144600,1107600,37000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901426063,1526600,1490600,36000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901433923,1900662,1874100,26562,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901441804,2977286,2836195,141091,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901449662,4095100,4076100,19000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901457570,4475100,4463600,11500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901465470,4856100,4850100,6000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901473364,5235100,5185100,50000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901481347,5619100,5571100,48000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901489335,6009100,5953663,55437,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781901497334,7392100,7038955,353145,-1,-1,-1,-1,0.1525,134703.0,49730.6,64450.0,179
1781901505383,8000000,7760795,239205,-1,-1,-1,-1,0.1525,134703.0,49730.6,64450.0,179
1781901513307,8000000,8000000,0,-1,-1,-1,-1,0.0203,0.0,0.0,-100.0,179
1781901521371,8000000,8000000,0,-1,-1,-1,-1,0.0203,0.0,0.0,-100.0,179
1781901529327,8000000,8000000,0,-1,-1,-1,-1,0.0203,0.0,0.0,-100.0,179
1781901537591,8000000,8000000,0,-1,-1,-1,-1,0.0203,0.0,0.0,-100.0,179
1781901546043,8000000,8000000,0,-1,-1,-1,-1,0.0203,0.0,0.0,-100.0,179
1781901554408,8000000,8000000,0,-1,-1,-1,-1,0.0203,0.0,0.0,-100.0,179
