timestamp,outputRate,totalSent,elapsedMs
1781901399634,37240.32,187505,5035
1781901404638,42285.09,424500,10039
1781901409642,44106.89,663500,15043
1781901414644,45073.58,903500,20045
1781901419647,45592.46,1142000,25048
1781901424649,45994.11,1382123,30050
1781901429651,46288.37,1622500,35052
1781901434653,46449.79,1860500,40054
1781901439656,52184.34,2351270,45057
1781901444659,63959.75,3201825,50060
1781901449662,72907.40,4014500,55063
1781901454664,70889.87,4258000,60065
1781901459666,69151.80,4499500,65067
1781901464668,67683.28,4742500,70069
1781901469670,66367.35,4982263,75071
1781901474672,65203.00,5221000,80073
1781901479674,64202.17,5462000,85075
1781901484675,63316.06,5703257,90076
1781901489678,62495.40,5942000,95079
1781901494679,66406.87,6646000,100080
1781901499681,71563.16,7520000,105082
1781901502814,73927.35,7999900,108213
