timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1782507049720,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1782507056674,-1,-1,158530,-1,-1,2509.849315,2717.558823,2717.558823,1965.0,1965.0,1965.0,5622.0,-1,-1,-1,-1,-1,-1
1782507063401,-1,-1,603634,-1,-1,1358.405405,2692.985507,2717.558823,507.0,507.0,507.0,4034.0,-1,-1,-1,-1,-1,-1
1782507070117,-1,-1,928747,-1,-1,1160.0,2692.985507,2717.558823,703.0,703.0,703.0,4141.0,-1,-1,-1,-1,-1,-1
1782507076836,-1,-1,1334758,-1,-1,1136.8,2692.985507,2717.558823,6.0,6.0,6.0,3754.0,-1,-1,-1,-1,-1,-1
1782507083561,-1,-1,1636029,-1,-1,1121.4,2692.985507,2717.558823,7.0,7.0,7.0,1367.0,-1,-1,-1,-1,-1,-1
1782507090284,-1,-1,1983100,-1,-1,1017.88,2611.394366,2717.558823,8.0,8.0,8.0,2492.0,-1,-1,-1,-1,-1,-1
1782507097021,-1,-1,2332949,-1,-1,764.677966,2611.394366,2717.558823,7.0,7.0,7.0,2286.0,0.1762,50000.0,49969.8,67051.0,12,160
1782507103761,-1,-1,2681600,-1,-1,362.865671,2611.394366,2717.558823,181.0,181.0,181.0,2483.0,0.1762,50000.0,49330.0,68400.0,12,160
1782507110497,-1,-1,2986056,-1,-1,355.222222,2611.394366,2717.558823,115.0,115.0,115.0,2671.0,0.1748,50000.0,50460.2,63944.0,12,160
1782507117213,-1,-1,3332776,-1,-1,344.603174,2509.849315,2692.985507,43.0,43.0,43.0,1351.0,0.165,50000.0,49675.4,67224.0,12,160
1782507123945,-1,-1,3684241,-1,-1,344.603174,2509.849315,2692.985507,103.0,103.0,103.0,2386.0,0.1668,50000.0,49745.2,65759.0,12,160
1782507130688,-1,-1,3986085,-1,-1,344.603174,2509.849315,2692.985507,7.0,7.0,7.0,2838.0,0.1785,50000.0,49555.2,69900.0,12,160
1782507137430,-1,-1,4333827,-1,-1,342.444444,1724.25,2692.985507,74.0,74.0,74.0,1951.0,0.1602,50000.0,49752.6,66173.0,12,160
1782507144173,-1,-1,4683319,-1,-1,342.354838,1724.25,2692.985507,123.0,123.0,123.0,2637.0,0.1628,50000.0,49639.4,66681.0,12,160
1782507150902,-1,-1,5034600,-1,-1,342.354838,1724.25,2692.985507,6.0,6.0,6.0,2447.0,0.1572,50000.0,50019.8,65400.0,12,160
1782507157629,-1,-1,5330283,-1,-1,342.354838,1724.25,2692.985507,8.0,8.0,8.0,2035.0,0.1667,50000.0,50593.4,64890.0,12,160
1782507164373,-1,-1,5683975,-1,-1,342.354838,1551.222222,2692.985507,8.0,8.0,8.0,2052.0,0.1682,50000.0,49847.6,66025.0,12,160
1782507171101,-1,-1,6031999,-1,-1,342.222222,1551.222222,2692.985507,109.0,109.0,109.0,1894.0,0.163,200000.0,49479.8,368001.0,12,160
1782507177841,-1,-1,6709860,-1,-1,343.612903,2692.985507,3721.093525,3734.0,3734.0,3734.0,6144.0,0.2808,200000.0,108250.4,1090140.0,12,160
1782507184565,-1,-1,7482048,-1,-1,344.919354,3721.093525,5456.194968,6363.0,6363.0,6363.0,10563.0,0.3258,200000.0,128959.8,1517952.0,12,160
1782507191280,-1,-1,8402666,-1,-1,346.112903,5402.641975,7387.945783,9115.0,9115.0,9115.0,11325.0,0.3332,200000.0,132613.4,1997334.0,12,160
1782507198001,-1,-1,9326686,-1,-1,346.825396,8855.650887,10710.0,10259.0,10259.0,10259.0,12519.0,0.3382,200000.0,133846.8,2473314.0,12,160
1782507204758,-1,-1,10252889,-1,-1,347.064516,10523.053254,12550.893491,11488.0,11488.0,11488.0,16556.0,0.3432,200000.0,132314.4,2947111.0,12,160
