timestamp,outputRate,totalSent,elapsedMs
1782507054827,49593.33,250000,5041
1782507059831,49776.01,500000,10045
1782507064834,49840.51,750000,15048
1782507069836,49875.31,1000000,20050
1782507074838,49896.22,1250000,25052
1782507079841,49908.50,1500000,30055
1782507084843,49918.70,1750000,35057
1782507089845,49926.36,2000000,40059
1782507094847,49932.31,2250000,45061
1782507099848,49938.08,2500000,50062
1782507104850,49941.89,2750000,55064
1782507109852,49945.06,3000000,60066
1782507114854,49947.75,3250000,65068
1782507119856,49950.05,3500000,70070
1782507124857,49952.71,3750000,75071
1782507129859,49954.42,4000000,80073
1782507134860,49956.51,4250000,85074
1782507139862,49957.81,4500000,90076
1782507144864,49958.98,4750000,95078
1782507149865,49960.53,5000000,100079
1782507154866,49961.93,5250000,105080
1782507159868,49962.76,5500000,110082
1782507164869,49963.94,5750000,115083
1782507169871,49964.61,6000000,120085
1782507174872,55961.50,7000000,125086
1782507179874,61496.83,8000000,130088
1782507184875,66622.75,9000000,135089
1782507189877,71382.17,10000000,140091
1782507194878,75813.97,11000000,145092
1782507199880,79949.90,12000000,150094
1782507204881,83819.59,13000000,155095
1782507209883,87446.99,14000000,160097
1782507214884,90855.13,15000000,165098
1782507219886,89653.15,15250000,170100
1782507224887,88520.34,15500000,175101
1782507229889,87449.96,15750000,180103
1782507234890,86437.89,16000000,185104
1782507239891,85479.08,16250000,190105
1782507244893,84568.98,16500000,195107
1782507249894,83704.80,16750000,200108
1782507254896,82882.36,17000000,205110
1782507259897,82099.46,17250000,210111
1782507264899,81352.59,17500000,215113
1782507269900,80640.03,17750000,220114
1782507274901,79959.13,18000000,225115
1782507279903,82566.69,19000000,230117
1782507284905,85063.31,20000000,235119
1782507289906,87456.27,21000000,240120
1782507294907,89751.59,22000000,245121
1782507299909,91954.76,23000000,250123
1782507304910,93483.56,23849900,255124
1782507305288,93345.62,23849900,255501
