timestamp,jobId,taskId,idleTimeNs,kafkaQueueTimeNs,kafkaQueueTimeAvgNs,kafkaQueueTimeMaxNs,kafkaQueueSamples,inputRate,recordsRead
1782511512838,unknown,Stage0-2-0,4069363658,0,140837837,401000000,37,7039.98,37502
1782511512838,unknown,Stage0-1-0,4092783672,0,125270270,348000000,37,6992.54,37501
1782511512838,unknown,Stage0-3-0,4118731643,0,117108108,353000000,37,7070.14,37500
1782511512838,unknown,Stage0-0-0,4072672158,0,140945945,397000000,37,6933.07,37501
1782511517867,unknown,Stage0-1-0,36075708,0,2395388888,3796000000,18,3610.06,55656
1782511517908,unknown,Stage0-3-0,18969519,0,2360000000,3816000000,18,3612.43,55815
1782511517927,unknown,Stage0-0-0,18401187,0,2469111111,3957000000,18,3490.47,55264
1782511517928,unknown,Stage0-2-0,16105263,0,2419176470,3766000000,17,3433.60,54979
1782511522887,unknown,Stage0-1-0,49019652,0,4394797468,6334000000,79,15695.62,134448
1782511522908,unknown,Stage0-3-0,54467285,0,4471316455,6332000000,79,15797.00,134800
1782511522927,unknown,Stage0-0-0,51479579,0,4645693333,6373000000,75,15115.40,130841
1782511522928,unknown,Stage0-2-0,49677450,0,4727613333,6438000000,75,14895.20,129455
1782511527908,unknown,Stage0-3-0,1326667541,0,995282608,3236000000,92,18340.20,226501
1782511527927,unknown,Stage0-1-0,1600049605,0,910934782,3225000000,92,18264.29,226500
1782511527928,unknown,Stage0-2-0,621386181,0,1244360824,3412000000,97,19437.80,226644
1782511528026,unknown,Stage0-0-0,844485665,0,1159377551,3308000000,98,19054.72,228001
1782511532908,unknown,Stage0-3-0,1004297214,68000000,353809523,788000000,63,12499.80,289000
1782511532968,unknown,Stage0-1-0,1031908456,0,334078125,779000000,64,12632.41,290180
1782511533007,unknown,Stage0-2-0,902717941,0,345406250,808000000,64,12572.95,290502
1782511533106,unknown,Stage0-0-0,1006820085,0,342968750,747000000,64,12598.43,292001
1782511537988,unknown,Stage0-3-0,1048004304,0,354953125,809000000,64,12598.62,353001
1782511538047,unknown,Stage0-1-0,1085539046,0,350555555,767000000,63,12368.77,353001
1782511538068,unknown,Stage0-2-0,1026257490,0,350515625,771000000,64,12645.52,354501
1782511538126,unknown,Stage0-0-0,1091066654,0,361419354,806000000,62,12450.20,354501
1782511543028,unknown,Stage0-3-0,1063112168,0,347370967,807000000,62,12400.99,415502
1782511543068,unknown,Stage0-2-0,1016595447,0,340672131,807000000,61,12278.20,415892
1782511543087,unknown,Stage0-1-0,922523915,0,346343750,811000000,64,12698.41,417001
1782511543146,unknown,Stage0-0-0,972901787,274000000,354238095,766000000,63,12450.00,417000
1782511548088,unknown,Stage0-3-0,1044994967,0,343031250,789000000,64,12648.02,479501
1782511548128,unknown,Stage0-2-0,935089913,0,349390625,825000000,64,12571.15,479502
1782511548167,unknown,Stage0-1-0,1058736547,0,324142857,728000000,63,12567.13,480842
1782511548247,unknown,Stage0-0-0,1095406935,0,341328125,747000000,64,12546.76,481001
1782511553148,unknown,Stage0-2-0,947428102,0,346761904,772000000,63,12609.56,542802
1782511553167,unknown,Stage0-3-0,983296140,320000000,347857142,777000000,63,12305.38,542000
1782511553227,unknown,Stage0-1-0,1130062067,0,321476190,767000000,63,12383.20,543501
1782511553247,unknown,Stage0-0-0,927938768,0,357564516,797000000,62,12503.20,543517
1782511558168,unknown,Stage0-2-0,990595808,0,345290322,830000000,62,12290.64,604501
1782511558188,unknown,Stage0-3-0,938332813,0,364406250,810000000,64,12746.66,606001
1782511558268,unknown,Stage0-1-0,1059950643,0,339349206,750000000,63,12398.33,606001
1782511558306,unknown,Stage0-0-0,1042426276,0,357269841,786000000,63,12543.78,606976
