timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1782535187144,50000,0,9190,40810,50000,-1,-1,-1,8.0,8.0,8.0,146.0,-1,-1,-1,-1,-1,-1
1782535196513,530067,6091,269363,260704,523976,2330.222222,2431.315789,2431.315789,5380.0,5380.0,5380.0,7747.0,-1,-1,-1,-1,-1,-1
1782535205866,1000000,20600,917513,82487,979400,4890.955752,5794.48,5799.541666,2315.0,2315.0,2315.0,10471.0,-1,-1,-1,-1,-1,-1
1782535215309,1450000,34768,1338720,111280,1415232,3000.582089,5794.48,5799.541666,2417.0,2417.0,2417.0,6731.0,-1,-1,-1,-1,-1,-1
1782535224796,1950000,49437,1803289,146711,1900563,3064.191176,5736.92,5799.541666,1387.0,1387.0,1387.0,6621.0,-1,-1,-1,-1,-1,-1
1782535234162,2400000,65699,2398805,1195,2334301,2833.422535,5736.92,5799.541666,173.0,173.0,173.0,5817.0,0.2485,50000.0,56705.6,101195.0,12,160
1782535243535,2900000,83318,2880717,19283,2816682,2598.735294,5736.92,5799.541666,93.0,93.0,93.0,3516.0,0.2227,50000.0,53523.0,69283.0,12,160
1782535252936,3350000,98381,3336000,14000,3251619,2431.315789,5692.538461,5794.48,8.0,8.0,8.0,2507.0,0.2085,50000.0,50956.8,61000.0,12,160
1782535262358,3800000,112925,3787500,12500,3687075,2363.421052,5692.538461,5794.48,218.0,218.0,218.0,2558.0,0.2175,50000.0,49400.0,64000.0,12,160
1782535271842,4300000,126680,4286000,14000,4173320,1791.375,5692.538461,5794.48,161.0,161.0,161.0,2531.0,0.197,50000.0,49700.0,64000.0,12,160
1782535281232,4750000,141347,4736000,14000,4608653,911.315068,5217.009174,5794.48,109.0,109.0,109.0,2564.0,0.1937,50000.0,49400.0,64000.0,12,160
1782535290645,5250000,155099,5236000,14000,5094901,376.349206,5217.009174,5794.48,143.0,143.0,143.0,2507.0,0.1955,50000.0,50569.8,61151.0,12,160
1782535300086,5700000,168444,5689000,11000,5531556,361.365079,5153.135135,5794.48,138.0,138.0,138.0,2533.0,0.2008,50000.0,50283.0,61085.0,12,160
1782535309466,6600000,181223,6248693,351307,6418777,361.365079,5153.135135,5794.48,2329.0,2329.0,2329.0,3751.0,0.2383,200000.0,62239.2,751307.0,12,160
1782535318960,8600000,198686,7175843,1424157,8401314,376.349206,5794.48,7067.293103,6814.0,6814.0,6814.0,10416.0,0.2975,200000.0,92736.0,1824157.0,12,160
1782535328366,10400000,223762,8011433,2388567,10176238,652.3,9413.471074,12797.620689,12418.0,12418.0,12418.0,14822.0,0.2852,200000.0,93702.0,2788567.0,12,160
1782535337784,12400000,247218,8840670,3559330,12152782,1266.211267,12507.647058,15035.2,17088.0,17088.0,17088.0,23349.0,0.3025,200000.0,91948.4,3865145.0,12,160
1782535347114,14200000,271443,9768030,4431970,13928557,1513.482352,17725.737288,20889.413223,21210.0,21210.0,21210.0,29989.0,0.2877,200000.0,93219.0,4831970.0,12,160
1782535356550,15299963,296448,10596162,4703801,15003515,1938.172839,21870.363636,26523.466666,26400.0,26400.0,26400.0,37486.0,0.2837,50000.0,92210.4,4753838.0,12,160
1782535365953,15750000,313377,11179572,4570428,15436623,2431.315789,27554.409638,32838.605263,33633.0,33633.0,33633.0,44557.0,0.2162,50000.0,59036.4,4670428.0,12,160
1782535375378,16200000,332365,11703125,4496875,15867635,2598.735294,33645.905405,38972.972972,41956.0,41956.0,41956.0,51023.0,0.2273,50000.0,57900.0,4596875.0,12,160
1782535384806,16700000,348011,12212322,4487678,16351989,2833.422535,41058.857142,46255.246575,45769.0,45769.0,45769.0,51448.0,0.2187,50000.0,57000.0,4529178.0,12,160
1782535394152,17150000,367189,12772103,4377897,16782811,3153.881355,48283.275362,53314.955882,53834.0,53834.0,53834.0,62467.0,0.2078,50000.0,53756.2,4477897.0,12,160
1782535403542,17650000,378402,13186074,4463926,17271598,3293.468354,51133.657534,55933.133333,58509.0,58509.0,58509.0,68352.0,0.2095,50000.0,46049.8,4513926.0,12,160
1782535413006,18400000,399086,13646572,4753428,18000914,4080.614035,57866.929824,67071.122807,69022.0,69022.0,69022.0,76349.0,0.1927,200000.0,46049.8,5153428.0,12,160
1782535422410,20200000,415256,14060543,6139457,19784744,4377.227272,67125.964912,72537.620689,74702.0,74702.0,74702.0,79362.0,0.1942,200000.0,46049.8,6539457.0,12,160
1782535431813,22200000,423489,14566515,7633485,21776511,5153.135135,72537.620689,80494.739726,78505.0,78505.0,78505.0,83540.0,0.2017,200000.0,59251.2,7974851.0,12,160
1782535441242,23850000,445025,15162113,8687887,23404975,6843.703389,79606.454545,87292.44,89871.0,89871.0,89871.0,95284.0,0.252,0.0,59251.2,8687887.0,12,160
1782535450684,23850000,466440,15697534,8152466,23383560,11928.806722,83752.906666,90661.111111,77588.0,77588.0,77588.0,99942.0,0.2263,0.0,59559.8,8152466.0,12,160
1782535460014,23850000,474837,16291589,7558411,23375163,17059.775862,87292.44,91297.743243,71351.0,71351.0,71351.0,83869.0,0.2093,0.0,59868.4,7558411.0,12,160
1782535469359,23850000,496753,16851458,6998542,23353247,20573.236842,87751.302631,91366.324324,83599.0,83599.0,83599.0,97476.0,0.2755,0.0,64758.0,6998542.0,12,160
1782535478762,23850000,521404,17490266,6359734,23328596,25241.615384,87941.256756,92548.657534,70297.0,70297.0,70297.0,90510.0,0.2472,0.0,70937.4,6287311.0,12,160
