timestamp,outputRate,totalSent,elapsedMs
1782569830758,49563.84,250000,5044
1782569835761,49766.10,500000,10047
1782569840764,49833.89,750000,15050
1782569845767,49867.85,1000000,20053
1782569850769,49890.24,1250000,25055
1782569855771,49905.18,1500000,30057
1782569860773,49915.86,1750000,35059
1782569865775,49923.87,2000000,40061
1782569870777,49930.10,2250000,45063
1782569875778,49936.08,2500000,50064
1782569880780,49940.07,2750000,55066
1782569885782,49943.40,3000000,60068
1782569890784,49946.21,3250000,65070
1782569895785,49949.34,3500000,70071
1782569900787,49951.38,3750000,75073
1782569905788,49953.79,4000000,80074
1782569910789,49955.92,4250000,85075
1782569915791,49957.26,4500000,90077
1782569920793,49958.46,4750000,95079
1782569925794,49960.03,5000000,100080
1782569930796,49960.98,5250000,105082
1782569935797,49962.30,5500000,110083
1782569940798,49963.50,5750000,115084
1782569945800,49964.19,6000000,120086
1782569950801,55961.05,7000000,125087
1782569955803,61496.36,8000000,130089
1782569960804,66622.25,9000000,135090
1782569965806,71381.66,10000000,140092
1782569970807,75813.44,11000000,145093
1782569975809,79949.37,12000000,150095
1782569980810,83819.05,13000000,155096
1782569985811,87446.99,14000000,160097
1782569990814,90854.03,15000000,165100
1782569995815,89652.62,15250000,170101
1782570000816,88519.83,15500000,175102
1782570005818,87449.47,15750000,180104
1782570010819,86437.43,16000000,185105
1782570015821,85478.18,16250000,190107
1782570020822,84568.55,16500000,195108
1782570025824,83703.96,16750000,200110
1782570030825,82881.95,17000000,205111
1782570035827,82098.68,17250000,210113
1782570040828,81352.21,17500000,215114
1782570045830,80639.30,17750000,220116
1782570050831,79958.42,18000000,225117
1782570055832,82566.34,19000000,230118
1782570060834,85062.95,20000000,235120
1782570065835,87455.91,21000000,240121
1782570070836,89751.23,22000000,245122
1782570075837,91954.76,23000000,250123
1782570080839,93483.59,23850000,255125
1782570081254,93331.77,23850000,255540
