timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1783756032148,50000,0,-1,-1,50000,-1,-1,-1,12.0,12.0,12.0,2311.0,0.2973,50000.0,75000.0,50000.0,12,160
1783756042305,600000,8432,362311,237689,591568,2991.892857,3123.0,3123.0,4650.0,4650.0,4650.0,7405.0,0.1847,50000.0,21239.2,337689.0,12,160
1783756052593,1100000,17506,845530,254470,1082494,5849.821428,7854.577464,8006.887323,5003.0,5003.0,5003.0,11242.0,0.3315,50000.0,73691.8,354470.0,12,160
1783756062858,1600000,33218,1398517,201483,1566782,5849.821428,7854.577464,8006.887323,4877.0,4877.0,4877.0,14180.0,0.2395,50000.0,47577.6,351483.0,12,160
1783756073090,2100000,38788,1949491,150509,2061212,5963.923076,7831.605633,8006.887323,3454.0,3454.0,3454.0,6865.0,0.048,50000.0,62865.0,300509.0,12,160
1783756083446,2650000,38788,2621471,28529,2611212,5718.229508,7831.605633,8006.887323,8.0,8.0,8.0,515.0,0.0277,50000.0,48836.4,81818.0,12,160
1783756093738,3150000,38788,3044590,105410,3111212,5013.590163,7831.605633,8006.887323,2327.0,2327.0,2327.0,36228.0,0.0258,50000.0,54354.6,198137.0,12,160
1783756104066,3650000,38788,3616090,33910,3611212,3123.0,7400.855263,7854.577464,735.0,735.0,735.0,2228.0,0.0265,50000.0,56797.0,127925.0,12,160
1783756114310,4200000,38788,4171252,28748,4161212,3067.37037,7400.855263,7854.577464,150.0,150.0,150.0,1206.0,0.0277,50000.0,53940.2,78952.0,12,160
1783756124600,4700000,38788,4672726,27274,4661212,2298.071428,6474.189655,7854.577464,144.0,144.0,144.0,1228.0,0.0263,50000.0,49768.0,78498.0,12,160
1783756134862,5200000,38788,5172702,27298,5161212,2191.851851,6474.189655,7854.577464,114.0,114.0,114.0,1207.0,0.0263,50000.0,50413.6,76112.0,12,160
1783756145146,5700000,38788,5673536,26464,5661212,1649.842857,6444.033333,7854.577464,114.0,114.0,114.0,1203.0,0.0263,50000.0,50266.2,78454.0,12,160
1783756155377,6500000,38788,6423327,76673,6461212,922.657142,6444.033333,7854.577464,31.0,31.0,31.0,1237.0,0.0247,100000.0,102751.2,165065.0,12,160
1783756165702,7500000,38788,7434753,65247,7461212,458.913385,6444.033333,7854.577464,10.0,10.0,10.0,1239.0,0.0245,100000.0,99075.8,160043.0,12,160
1783756175906,8500000,38788,8446362,53638,8461212,440.288,6240.327868,7854.577464,31.0,31.0,31.0,1237.0,0.0262,100000.0,99958.8,154623.0,12,160
1783756186200,9500000,38788,9437552,62448,9461212,405.818181,6240.327868,7854.577464,12.0,12.0,12.0,1223.0,0.0262,100000.0,100419.8,158758.0,12,160
1783756196462,10600000,38788,10539293,60707,10561212,383.592592,6215.355932,7854.577464,11.0,11.0,11.0,1207.0,0.0268,100000.0,99611.2,159428.0,12,160
1783756206750,11600000,38788,11544932,55068,11561212,377.152,6215.355932,7854.577464,63.0,63.0,63.0,1229.0,0.0263,100000.0,101111.4,154636.0,12,160
1783756217034,12600000,38788,12546776,53224,12561212,373.730158,6215.355932,7854.577464,84.0,84.0,84.0,1214.0,0.0265,100000.0,100611.8,155013.0,12,160
1783756227246,13600000,38788,13538203,61797,13561212,370.163636,6208.777777,7831.605633,9.0,9.0,9.0,1219.0,0.025,100000.0,98057.2,164548.0,12,160
1783756237514,14700000,38788,14648000,52000,14661212,368.672,6208.777777,7831.605633,39.0,39.0,39.0,2046.0,0.0262,100000.0,97766.8,163166.0,12,160
1783756247770,15700000,38788,15631309,68691,15661212,365.296,6154.75,7831.605633,9.0,9.0,9.0,1819.0,0.0255,100000.0,100295.8,155670.0,12,160
1783756258026,16700000,38788,16644000,56000,16661212,363.96,6154.75,7831.605633,147.0,147.0,147.0,1685.0,0.0265,100000.0,99589.8,157051.0,12,160
1783756268310,17789508,38788,17741730,47778,17750720,363.104,6154.75,7831.605633,11.0,11.0,11.0,1639.0,0.0262,100000.0,100156.0,153904.0,12,160
1783756278610,18800000,38788,18746039,53961,18761212,362.68,6104.038961,7831.605633,10.0,10.0,10.0,1655.0,0.0273,100000.0,99267.4,160544.0,12,160
1783756288888,19800000,38788,19746615,53385,19761212,362.28125,6104.038961,7831.605633,9.0,9.0,9.0,1210.0,0.0262,100000.0,100030.2,160608.0,12,160
1783756299158,20800000,38788,20742386,57614,20761212,360.904,6063.506493,7831.605633,14.0,14.0,14.0,1684.0,0.0265,100000.0,99182.6,162664.0,12,160
1783756309402,21900000,38788,21839104,60896,21861212,359.359375,5043.193548,6240.327868,8.0,8.0,8.0,1607.0,0.0258,100000.0,98856.8,160716.0,12,160
1783756319666,22900000,38788,22832329,67671,22861212,358.576,2993.04065,6240.327868,11.0,11.0,11.0,1237.0,0.0253,100000.0,100576.8,161116.0,12,160
1783756329911,23850000,38788,23850000,0,23811212,357.456,2181.571428,3080.042253,1147.0,1147.0,1147.0,6921.0,0.0252,0.0,61870.2,0.0,12,160
