timestamp,jobId,executorId,taskId,inputReceiveRate,inputRate,outputRate,processingTimeNs,deserTimeNs,inBytes,serializedTimeNs,outBytes
1783756071677,unknown,VM-111,Stage3-0-0,0,1,0,0,18832,59,0,0
1783756071715,unknown,VM-112,Stage3-1-0,0,92,0,572617,6221,5519,0,0
1783756072677,unknown,VM-111,Stage3-0-0,0,437,0,1202019,27887,25782,0,0
1783756072715,unknown,VM-112,Stage3-1-0,0,459,0,790925,22111,27377,0,0
1783756073677,unknown,VM-111,Stage3-0-0,0,792,0,960628,30791,46948,0,0
1783756073715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756074677,unknown,VM-111,Stage3-0-0,0,1634,0,924958,26499,97155,0,0
1783756074715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756075677,unknown,VM-111,Stage3-0-0,0,1050,0,451427,14333,62177,0,0
1783756075715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756076677,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1783756076715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756077677,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1783756077715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756078677,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1783756078715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756079677,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1783756079715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756079768,unknown,VM-110,Stage2-1-0,0,41,0,406232,9395,11040,0,0
1783756080682,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1783756080715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756080724,unknown,VM-116,Stage2-0-0,0,3,0,306493,28362,795,0,0
1783756080768,unknown,VM-110,Stage2-1-0,0,2656,0,812316,133919,284066,0,0
1783756081677,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1783756081715,unknown,VM-112,Stage3-1-0,0,0,0,0,0,0,0,0
1783756081724,unknown,VM-116,Stage2-0-0,0,2418,0,850284,82476,273723,0,0
1783756081768,unknown,VM-110,Stage2-1-0,0,1879,22,326982,65789,169787,0,0
1783756082677,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
