timestamp,outputRate,totalSent,elapsedMs
1783756037199,49632.72,250000,5037
1783756042204,49790.88,500000,10042
1783756047207,49850.45,750000,15045
1783756052210,49880.29,1000000,20048
1783756057213,49898.21,1250000,25051
1783756062215,49911.82,1500000,30053
1783756067218,49920.13,1750000,35056
1783756072221,49926.36,2000000,40059
1783756077222,49933.42,2250000,45060
1783756082225,49937.08,2500000,50063
1783756087227,49940.98,2750000,55065
1783756092230,49943.40,3000000,60068
1783756097232,49946.21,3250000,65070
1783756102234,49948.62,3500000,70072
1783756107236,49950.72,3750000,75074
1783756112237,49953.17,4000000,80075
1783756117239,49954.75,4250000,85077
1783756122241,49956.15,4500000,90079
1783756127244,49956.88,4750000,95082
1783756132245,49958.53,5000000,100083
1783756137247,49959.56,5250000,105085
1783756142249,49960.49,5500000,110087
1783756147250,49961.77,5750000,115088
1783756152252,49962.53,6000000,120090
1783756157254,51961.76,6500000,125092
1783756162255,53807.66,7000000,130093
1783756167257,55516.49,7500000,135095
1783756172259,57103.29,8000000,140097
1783756177261,58580.69,8500000,145099
1783756182262,59960.03,9000000,150100
1783756187264,61250.02,9500000,155102
1783756192265,62459.79,10000000,160103
1783756197267,63595.89,10500000,165105
1783756202269,64665.18,11000000,170107
1783756207270,65673.76,11500000,175108
1783756212272,66625.95,12000000,180110
1783756217274,67526.69,12500000,185112
1783756222276,68380.02,13000000,190114
1783756227278,69189.61,13500000,195116
1783756232279,69959.07,14000000,200117
1783756237281,70690.67,14500000,205119
1783756242283,71387.44,15000000,210121
1783756247284,72052.14,15500000,215122
1783756252286,72686.30,16000000,220124
1783756257287,73292.62,16500000,225125
1783756262289,73872.25,17000000,230127
1783756267291,74427.23,17500000,235129
1783756272292,74959.40,18000000,240130
1783756277293,75469.85,18500000,245131
1783756282295,75959.59,19000000,250133
1783756287296,76430.42,19500000,255134
1783756292298,76882.86,20000000,260136
1783756297300,77318.23,20500000,265138
1783756302302,77737.47,21000000,270140
1783756307303,78141.75,21500000,275141
1783756312305,78531.32,22000000,280143
1783756317306,78907.50,22500000,285144
1783756322308,79270.44,23000000,290146
1783756327309,79621.34,23500000,295147
1783756331865,79578.78,23850000,299703
