timestamp,outputRate,totalSent,elapsedMs
1782534940382,16683.22,84000,5035
1782534945386,17930.07,180000,10039
1782534950388,18615.78,280000,15041
1782534955391,18758.73,376000,20044
1782534960394,19004.27,476000,25047
1782534965396,19035.58,572000,30049
1782534970398,19086.47,669000,35051
1782534975399,19137.62,766500,40052
1782534980402,19198.76,865000,45055
1782534985404,19228.08,962500,50057
1782534990406,19252.08,1060000,55059
1782534995407,19289.04,1158500,60060
1782535000409,19320.03,1257000,65062
1782535005412,19332.05,1354500,70065
1782535010413,19376.28,1454500,75066
1782535015415,19396.01,1553000,80068
1782535020416,19401.90,1650500,85069
1782535025417,19434.88,1750500,90070
1782535030419,19455.93,1849714,95072
1782535035420,19457.30,1947150,100073
1782535040422,19476.56,2046500,105075
1782535045423,19491.08,2145500,110076
1782535050425,19498.76,2243878,115078
1782535055426,19499.85,2341522,120079
1782535060427,19511.51,2440500,125080
1782535063709,19476.17,2500000,128362
