timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1782569573402,7556,0,-1,-1,7556,23.90909,24.727272,24.727272,8.0,8.0,8.0,640.0,-1,-1,-1,-1,-1,-1
1782569582769,188000,3010,159161,28839,184990,1803.076923,1951.583333,1951.583333,5.0,5.0,5.0,5196.0,-1,-1,-1,-1,-1,-1
1782569592133,372000,10307,363703,8297,361693,1039.513513,1913.083333,1951.583333,6.0,6.0,6.0,2089.0,-1,-1,-1,-1,-1,-1
1782569601536,556000,16712,538829,17171,539288,23.636363,1913.083333,1951.583333,6.0,6.0,6.0,2086.0,-1,-1,-1,-1,-1,-1
1782569610942,740000,21637,734665,5335,718363,20.48,1896.916666,1951.583333,5.0,5.0,5.0,2141.0,-1,-1,-1,-1,-1,-1
1782569620340,924000,27473,911115,12885,896527,16.708333,1896.916666,1951.583333,6.0,6.0,6.0,2153.0,0.097,20000.0,19687.4,13563.0,12,160
1782569629834,1109562,33672,1107411,2151,1075890,16.166666,1896.916666,1951.583333,6.0,6.0,6.0,2077.0,0.1075,20000.0,19799.2,13004.0,12,160
1782569639198,1295376,38712,1284500,10876,1256664,17.24,1803.076923,1913.083333,11.0,11.0,11.0,2068.0,0.1027,19500.0,19692.2,13039.0,12,160
1782569648660,1480562,44605,1461000,19562,1435957,20.44,1803.076923,1913.083333,5.0,5.0,5.0,2057.0,0.0977,18811.0,19400.0,13000.0,12,160
1782569658074,1665000,50409,1657000,8000,1614591,20.48,1803.076923,1913.083333,4.0,4.0,4.0,2045.0,0.1035,18994.0,19386.4,12778.0,12,160
1782569667465,1849312,56174,1833500,15812,1793138,23.636363,1235.736842,1913.083333,6.0,6.0,6.0,2094.0,0.1017,20000.0,19504.6,14687.0,12,160
1782569676862,2036000,61556,2031763,4237,1974444,24.52,1235.736842,1913.083333,6.0,6.0,6.0,2068.0,0.0932,20000.0,19700.0,13500.0,12,160
1782569686334,2221312,67860,2208300,13012,2153452,26.24,1208.894736,1913.083333,7.0,7.0,7.0,2058.0,0.0967,20000.0,19898.0,13541.0,12,160
1782569695803,2408500,72988,2405500,3000,2335512,28.04,1208.894736,1913.083333,6.0,6.0,6.0,2076.0,0.1048,20000.0,19677.4,14500.0,12,160
