timestamp,jobId,avgCpu,avgInput,avgProcess,queue,numExecutors,numLambdaExecutors,lastActionWasScaleOut,prevFutureCompleted
1784086933307,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086934306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086935306,nx-q6-nexmark-auto-213939,0.0008,0.0000,0.0000,-100,4,0,false,true
1784086936306,nx-q6-nexmark-auto-213939,0.0019,0.0000,0.0000,-100,4,0,false,true
1784086937306,nx-q6-nexmark-auto-213939,0.0015,0.0000,0.0000,-100,4,0,false,true
1784086938306,nx-q6-nexmark-auto-213939,0.0020,0.0000,0.0000,-100,4,0,false,true
1784086939306,nx-q6-nexmark-auto-213939,0.0025,0.0000,0.0000,-100,4,0,false,true
1784086940306,nx-q6-nexmark-auto-213939,0.0020,0.0000,0.0000,-100,4,0,false,true
1784086941306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086942306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086943306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086944306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086945306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086946306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086947306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086948306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086949306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086950306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086951306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086952306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086953306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086954306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086955306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086956306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086957306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086958306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086959306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086960306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086961306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086962306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086963306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086964306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086965306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086966306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086967306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086968306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086969306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086970306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086971306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086972306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086973306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086974306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086975306,nx-q6-nexmark-auto-213939,0.0015,0.0000,0.0000,-100,4,0,false,true
1784086976306,nx-q6-nexmark-auto-213939,0.0015,0.0000,0.0000,-100,4,0,false,true
1784086977305,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086978306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086979306,nx-q6-nexmark-auto-213939,0.0010,0.0000,0.0000,-100,4,0,false,true
1784086980306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086981306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086982306,nx-q6-nexmark-auto-213939,0.0005,0.0000,0.0000,-100,4,0,false,true
1784086983306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086984306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086985306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086986306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784086987306,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
