timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1784087025462,-1,-1,100,-1,-1,-1,-1,-1,93189.0,93189.0,93189.0,93251.0,0.2477,20000.0,16000.0,-100.0,6,160
1784087035512,-1,-1,220100,-1,-1,27.733333,35.1,35.1,7.0,7.0,7.0,3836.0,0.2315,20000.0,20000.0,-100.0,4,160
1784087045667,-1,-1,420100,-1,-1,22.6,33.3,35.1,6.0,6.0,6.0,3833.0,0.2005,20000.0,20000.0,-100.0,4,160
1784087055988,-1,-1,620100,-1,-1,22.6,33.3,35.1,8.0,8.0,8.0,3839.0,0.196,20000.0,20000.0,-100.0,4,160
1784087066076,-1,-1,840100,-1,-1,20.6,30.633333,35.1,6.0,6.0,6.0,3831.0,0.1975,20000.0,20000.0,-100.0,4,160
1784087076456,-1,-1,1040100,-1,-1,19.68,30.633333,35.1,6.0,6.0,6.0,3831.0,0.179,20000.0,20000.0,-100.0,4,160
1784087086717,-1,-1,1240100,-1,-1,19.68,30.633333,35.1,8.0,8.0,8.0,3832.0,0.1735,20000.0,20000.0,-100.0,4,160
1784087096808,-1,-1,1440100,-1,-1,19.52,27.733333,33.3,6.0,6.0,6.0,3829.0,0.1645,20000.0,20000.0,-100.0,4,160
1784087107251,-1,-1,1660100,-1,-1,19.08,27.733333,33.3,8.0,8.0,8.0,3831.0,0.1775,20000.0,20000.0,-100.0,4,160
1784087117280,-1,-1,1860100,-1,-1,18.92,26.16,33.3,6.0,6.0,6.0,3825.0,0.177,20000.0,20000.0,-100.0,4,160
1784087127291,-1,-1,2250669,-1,-1,19.04,34.022222,35.577777,8.0,8.0,8.0,3830.0,0.53,100000.0,103910.8,-76209.0,4,160
1784087137575,-1,-1,3238325,-1,-1,19.36,44.784,47.12,7.0,7.0,7.0,3781.0,0.565,100000.0,101527.0,-59452.0,4,160
1784087147567,-1,-1,4260955,-1,-1,19.64,47.416,52.376,8.0,8.0,8.0,3806.0,0.5385,100000.0,97545.2,-42942.0,4,160
1784087157680,-1,-1,5221962,-1,-1,20.2,49.552,52.376,54.0,54.0,54.0,4033.0,0.529,100000.0,96822.2,-43465.0,4,160
1784087167752,-1,-1,6256660,-1,-1,20.76,53.176,61.6,6.0,6.0,6.0,3781.0,0.5395,100000.0,93400.0,-25899.0,4,160
1784087177912,-1,-1,7254237,-1,-1,21.68,54.16,61.6,6.0,6.0,6.0,3778.0,0.551,100000.0,100992.8,-59369.0,4,160
1784087187860,-1,-1,8216326,-1,-1,22.6,56.416,61.664,6.0,6.0,6.0,4144.0,0.5495,100000.0,95015.2,-20476.0,4,160
1784087197928,-1,-1,9215698,-1,-1,24.76,274.08,343.968,8.0,8.0,8.0,3801.0,0.529,100000.0,100434.8,-15637.0,4,160
1784087208128,-1,-1,10220506,-1,-1,27.733333,343.968,355.88,14.0,14.0,14.0,3807.0,0.5355,100000.0,99337.0,-14605.0,4,160
1784087217988,-1,-1,11216146,-1,-1,34.555555,347.96,355.88,6.0,6.0,6.0,3957.0,0.5295,100000.0,100487.8,-17387.0,4,160
1784087228007,-1,-1,12312112,-1,-1,36.288888,353.696,357.928,8.0,8.0,8.0,3959.0,0.5365,100000.0,98969.4,-13285.0,4,160
1784087238151,-1,-1,13312131,-1,-1,41.432,353.848,357.928,7.0,7.0,7.0,3799.0,0.534,100000.0,98353.2,-15534.0,4,160
1784087248219,-1,-1,14318743,-1,-1,44.44,354.472,361.344,8.0,8.0,8.0,3974.0,0.5255,100000.0,99661.4,-17524.0,4,160
1784087258172,-1,-1,15320568,-1,-1,45.536,354.472,361.344,8.0,8.0,8.0,3957.0,0.5545,100000.0,101046.8,-18169.0,4,160
1784087268129,-1,-1,16318247,-1,-1,46.848,354.472,361.344,8.0,8.0,8.0,3959.0,0.551,100000.0,99400.8,-18100.0,4,160
1784087278260,-1,-1,17356723,-1,-1,47.416,355.88,365.257575,807.0,807.0,807.0,3802.0,0.739,200000.0,114007.2,414698.0,4,160
1784087288296,-1,-1,18751182,-1,-1,49.984,365.257575,4168.278195,4612.0,4612.0,4612.0,5786.0,0.0785,200000.0,228546.0,817583.0,4,160
