timestamp,jobId,executorId,taskId,inputReceiveRate,inputRate,outputRate,processingTimeNs,deserTimeNs,inBytes,serializedTimeNs,outBytes
1784086805978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086806978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086807978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086808978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086809978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086810978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086811978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086812978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086813978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086814978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086815978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086816978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086817978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086818978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086819978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086820978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086821978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086822978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086823978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086824978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086825978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086826978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086827978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086828978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086829978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086830978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086831978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086832978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086833978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086834978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
1784086835978,nx-q6-nexmark-auto-171129,Executor4,Stage1-3-0,0,0,0,0,0,0,0,0
