timestamp,outputRate,totalSent,elapsedMs,targetRate,phase
1784087030528,19849.15,100000,5038,20000,1
1784087035531,19918.33,200000,10041,20000,1
1784087040533,19942.83,300000,15043,20000,1
1784087045535,19955.10,400000,20045,20000,1
1784087050537,19962.47,500000,25047,20000,1
1784087055539,19967.39,600000,30049,20000,1
1784087060540,19971.47,700000,35050,20000,1
1784087065541,19974.53,800000,40051,20000,1
1784087070543,19976.47,900000,45053,20000,1
1784087075544,19978.42,1000000,50054,20000,1
1784087080546,19979.66,1100000,55056,20000,1
1784087085547,19981.02,1200000,60057,20000,1
1784087090548,19982.17,1300000,65058,20000,1
1784087095550,19982.87,1400000,70060,20000,1
1784087100551,19983.75,1500000,75061,20000,1
1784087105552,19984.51,1600000,80062,20000,1
1784087110553,19985.19,1700000,85063,20000,1
1784087115555,19985.57,1800000,90065,20000,1
1784087120556,19986.11,1900000,95066,20000,1
1784087125557,19986.61,2000000,100067,100000,2
1784087130558,23794.11,2500000,105068,100000,2
1784087135560,27255.38,3000000,110070,100000,2
1784087140561,30416.00,3500000,115071,100000,2
1784087145562,33313.35,4000000,120072,100000,2
1784087150563,35978.99,4500000,125073,100000,2
1784087155565,38439.36,5000000,130075,100000,2
1784087160566,40717.82,5500000,135076,100000,2
1784087165567,42833.58,6000000,140077,100000,2
1784087170568,44803.49,6500000,145078,100000,2
1784087175569,46642.10,7000000,150079,100000,2
1784087180571,48361.82,7500000,155081,100000,2
1784087185572,49974.39,8000000,160082,100000,2
1784087190573,51489.25,8500000,165083,100000,2
1784087195574,52915.03,9000000,170084,100000,2
1784087200576,54259.05,9500000,175086,100000,2
1784087205577,55528.72,10000000,180087,100000,2
1784087210578,56729.77,10500000,185088,100000,2
1784087215579,57867.63,11000000,190089,100000,2
1784087220580,58947.15,11500000,195090,100000,2
1784087225582,59972.41,12000000,200092,100000,2
1784087230583,60947.96,12500000,205093,100000,2
1784087235584,61877.06,13000000,210094,100000,2
1784087240586,62762.67,13500000,215096,100000,2
1784087245587,63608.32,14000000,220097,100000,2
1784087250588,64416.39,14500000,225098,100000,2
1784087255589,65189.33,15000000,230099,100000,2
1784087260590,65929.39,15500000,235100,100000,2
1784087265592,66638.35,16000000,240102,100000,2
1784087270593,67318.64,16500000,245103,100000,2
1784087275594,67971.72,17000000,250104,200000,3
1784087280595,70559.18,18000000,255105,200000,3
1784087285596,73047.14,19000000,260106,200000,3
1784087290597,75441.24,20000000,265107,200000,3
1784087295598,77746.68,21000000,270108,200000,3
1784087300599,79968.30,22000000,275109,200000,3
1784087305601,82110.31,23000000,280111,200000,3
1784087310602,84177.45,24000000,285112,200000,3
1784087315603,86173.32,25000000,290113,200000,3
1784087320604,88101.55,26000000,295114,200000,3
1784087325605,89965.51,27000000,300115,200000,3
1784087330606,91768.38,28000000,305116,200000,3
1784087335607,93513.09,29000000,310117,200000,3
1784087340608,95202.43,30000000,315118,200000,3
1784087345609,96838.99,31000000,320119,200000,3
1784087350611,98424.89,32000000,325121,200000,3
1784087355612,99963.04,33000000,330122,200000,3
1784087360613,101455.29,34000000,335123,200000,3
1784087365614,102903.65,35000000,340124,200000,3
1784087370615,104310.03,36000000,345125,200000,3
1784087375616,105676.24,37000000,350126,200000,3
1784087380617,107003.97,38000000,355127,200000,3
1784087385619,108294.53,39000000,360129,200000,3
1784087390620,109550.02,40000000,365130,200000,3
1784087395621,110771.59,41000000,370131,200000,3
1784087400622,111960.59,42000000,375132,200000,3
1784087405623,113118.30,43000000,380133,200000,3
1784087410624,114245.95,44000000,385134,200000,3
1784087415625,115344.69,45000000,390135,200000,3
1784087420627,116415.32,46000000,395137,200000,3
1784087425628,117459.48,47000000,400138,200000,3
1784087426217,117287.12,47000000,400726,200000,3
