timestamp,jobId,avgCpu,avgInput,avgProcess,queue,numExecutors,numLambdaExecutors,lastActionWasScaleOut,prevFutureCompleted
1784087026312,nx-q6-nexmark-auto-213939,0.0000,0.0000,0.0000,-100,4,0,false,true
1784087027305,nx-q6-nexmark-auto-213939,0.0560,67.0000,0.0000,-33,4,62,false,true
1784087028306,nx-q6-nexmark-auto-213939,0.1363,39933.0000,7366.8000,3066,6,160,false,true
1784087029306,nx-q6-nexmark-auto-213939,0.2007,20000.0000,12000.0000,-100,6,160,false,true
1784087030305,nx-q6-nexmark-auto-213939,0.2477,20000.0000,16000.0000,-100,6,160,false,true
1784087031305,nx-q6-nexmark-auto-213939,0.3017,20000.0000,20000.0000,-100,4,160,false,true
1784087032305,nx-q6-nexmark-auto-213939,0.2987,20000.0000,24000.0000,-100,4,160,false,true
1784087033306,nx-q6-nexmark-auto-213939,0.2638,20000.0000,20633.2000,-100,4,160,false,true
1784087034306,nx-q6-nexmark-auto-213939,0.2475,20000.0000,20000.0000,-100,4,160,false,true
1784087035306,nx-q6-nexmark-auto-213939,0.2465,20000.0000,20000.0000,-100,4,160,false,true
1784087036305,nx-q6-nexmark-auto-213939,0.2440,20000.0000,20000.0000,-100,4,160,false,true
1784087037306,nx-q6-nexmark-auto-213939,0.2375,20000.0000,20000.0000,-100,4,160,false,true
1784087038306,nx-q6-nexmark-auto-213939,0.2370,20000.0000,20000.0000,-100,4,160,false,true
1784087039305,nx-q6-nexmark-auto-213939,0.2340,20000.0000,20000.0000,-100,4,160,false,true
1784087040306,nx-q6-nexmark-auto-213939,0.2315,20000.0000,20000.0000,-100,4,160,false,true
1784087041306,nx-q6-nexmark-auto-213939,0.2220,20000.0000,20000.0000,-100,4,160,false,true
1784087042306,nx-q6-nexmark-auto-213939,0.2225,20000.0000,20000.0000,-100,4,160,false,true
1784087043306,nx-q6-nexmark-auto-213939,0.2135,20000.0000,20000.0000,-100,4,160,false,true
1784087044306,nx-q6-nexmark-auto-213939,0.2070,20000.0000,20000.0000,-100,4,160,false,true
1784087045306,nx-q6-nexmark-auto-213939,0.2050,20000.0000,20000.0000,-100,4,160,false,true
1784087046306,nx-q6-nexmark-auto-213939,0.2030,20000.0000,20000.0000,-100,4,160,false,true
1784087047306,nx-q6-nexmark-auto-213939,0.1965,20000.0000,20000.0000,-100,4,160,false,true
1784087048305,nx-q6-nexmark-auto-213939,0.2040,20000.0000,20000.0000,-100,4,160,false,true
1784087049306,nx-q6-nexmark-auto-213939,0.2035,20000.0000,20000.0000,-100,4,160,false,true
1784087050306,nx-q6-nexmark-auto-213939,0.2005,20000.0000,20000.0000,-100,4,160,false,true
1784087051306,nx-q6-nexmark-auto-213939,0.1995,20000.0000,20000.0000,-100,4,160,false,true
1784087052306,nx-q6-nexmark-auto-213939,0.1990,20000.0000,20000.0000,-100,4,160,false,true
1784087053305,nx-q6-nexmark-auto-213939,0.1980,20000.0000,20000.0000,-100,4,160,false,true
1784087054305,nx-q6-nexmark-auto-213939,0.2005,20000.0000,20000.0000,-100,4,160,false,true
1784087055306,nx-q6-nexmark-auto-213939,0.1995,20000.0000,20000.0000,-100,4,160,false,true
1784087056306,nx-q6-nexmark-auto-213939,0.2015,20000.0000,20000.0000,-100,4,160,false,true
1784087057305,nx-q6-nexmark-auto-213939,0.2015,20000.0000,20000.0000,-100,4,160,false,true
1784087058306,nx-q6-nexmark-auto-213939,0.1980,20000.0000,20000.0000,-100,4,160,false,true
1784087059306,nx-q6-nexmark-auto-213939,0.1950,20000.0000,20000.0000,-100,4,160,false,true
1784087060306,nx-q6-nexmark-auto-213939,0.1960,20000.0000,20000.0000,-100,4,160,false,true
1784087061305,nx-q6-nexmark-auto-213939,0.1975,20000.0000,20000.0000,-100,4,160,false,true
1784087062306,nx-q6-nexmark-auto-213939,0.1945,20000.0000,20000.0000,-100,4,160,false,true
1784087063305,nx-q6-nexmark-auto-213939,0.1930,20000.0000,20000.0000,-100,4,160,false,true
1784087064306,nx-q6-nexmark-auto-213939,0.1970,20000.0000,20000.0000,-100,4,160,false,true
1784087065306,nx-q6-nexmark-auto-213939,0.1950,20000.0000,20000.0000,-100,4,160,false,true
1784087066305,nx-q6-nexmark-auto-213939,0.1925,20000.0000,20000.0000,-100,4,160,false,true
1784087067305,nx-q6-nexmark-auto-213939,0.1965,20000.0000,20000.0000,-100,4,160,false,true
1784087068306,nx-q6-nexmark-auto-213939,0.1975,20000.0000,20000.0000,-100,4,160,false,true
1784087069306,nx-q6-nexmark-auto-213939,0.1960,20000.0000,20000.0000,-100,4,160,false,true
1784087070306,nx-q6-nexmark-auto-213939,0.1975,20000.0000,20000.0000,-100,4,160,false,true
1784087071305,nx-q6-nexmark-auto-213939,0.1975,20000.0000,20000.0000,-100,4,160,false,true
1784087072305,nx-q6-nexmark-auto-213939,0.1955,20000.0000,20000.0000,-100,4,160,false,true
1784087073305,nx-q6-nexmark-auto-213939,0.1965,20000.0000,20000.0000,-100,4,160,false,true
1784087074306,nx-q6-nexmark-auto-213939,0.1945,20000.0000,20000.0000,-100,4,160,false,true
1784087075305,nx-q6-nexmark-auto-213939,0.1905,20000.0000,20000.0000,-100,4,160,false,true
1784087076305,nx-q6-nexmark-auto-213939,0.1885,20000.0000,20000.0000,-100,4,160,false,true
1784087077306,nx-q6-nexmark-auto-213939,0.1855,20000.0000,20000.0000,-100,4,160,false,true
1784087078306,nx-q6-nexmark-auto-213939,0.1800,20000.0000,20000.0000,-100,4,160,false,true
1784087079306,nx-q6-nexmark-auto-213939,0.1780,20000.0000,20000.0000,-100,4,160,false,true
1784087080305,nx-q6-nexmark-auto-213939,0.1815,20000.0000,20000.0000,-100,4,160,false,true
1784087081305,nx-q6-nexmark-auto-213939,0.1790,20000.0000,20000.0000,-100,4,160,false,true
1784087082306,nx-q6-nexmark-auto-213939,0.1775,20000.0000,20000.0000,-100,4,160,false,true
1784087083306,nx-q6-nexmark-auto-213939,0.1765,20000.0000,20000.0000,-100,4,160,false,true
1784087084305,nx-q6-nexmark-auto-213939,0.1715,20000.0000,20000.0000,-100,4,160,false,true
1784087085305,nx-q6-nexmark-auto-213939,0.1655,20000.0000,20000.0000,-100,4,160,false,true
1784087086305,nx-q6-nexmark-auto-213939,0.1610,20000.0000,20000.0000,-100,4,160,false,true
1784087087305,nx-q6-nexmark-auto-213939,0.1590,20000.0000,20000.0000,-100,4,160,false,true
1784087088305,nx-q6-nexmark-auto-213939,0.1590,20000.0000,20000.0000,-100,4,160,false,true
1784087089305,nx-q6-nexmark-auto-213939,0.1625,20000.0000,20000.0000,-100,4,160,false,true
1784087090306,nx-q6-nexmark-auto-213939,0.1700,20000.0000,20000.0000,-100,4,160,false,true
1784087091306,nx-q6-nexmark-auto-213939,0.1735,20000.0000,20000.0000,-100,4,160,false,true
1784087092306,nx-q6-nexmark-auto-213939,0.1760,20000.0000,20000.0000,-100,4,160,false,true
1784087093306,nx-q6-nexmark-auto-213939,0.1810,20000.0000,20000.0000,-100,4,160,false,true
1784087094305,nx-q6-nexmark-auto-213939,0.1810,20000.0000,20000.0000,-100,4,160,false,true
1784087095306,nx-q6-nexmark-auto-213939,0.1765,20000.0000,20000.0000,-100,4,160,false,true
1784087096306,nx-q6-nexmark-auto-213939,0.1780,20000.0000,20000.0000,-100,4,160,false,true
1784087097306,nx-q6-nexmark-auto-213939,0.1760,20000.0000,20000.0000,-100,4,160,false,true
1784087098305,nx-q6-nexmark-auto-213939,0.1730,20000.0000,20000.0000,-100,4,160,false,true
1784087099305,nx-q6-nexmark-auto-213939,0.1710,20000.0000,20000.0000,-100,4,160,false,true
1784087100306,nx-q6-nexmark-auto-213939,0.1680,20000.0000,20000.0000,-100,4,160,false,true
1784087101306,nx-q6-nexmark-auto-213939,0.1645,20000.0000,20000.0000,-100,4,160,false,true
1784087102305,nx-q6-nexmark-auto-213939,0.1620,20000.0000,20000.0000,-100,4,160,false,true
1784087103305,nx-q6-nexmark-auto-213939,0.1595,20000.0000,20000.0000,-100,4,160,false,true
1784087104306,nx-q6-nexmark-auto-213939,0.1615,20000.0000,20000.0000,-100,4,160,false,true
1784087105305,nx-q6-nexmark-auto-213939,0.1640,20000.0000,20000.0000,-100,4,160,false,true
1784087106306,nx-q6-nexmark-auto-213939,0.1675,20000.0000,20000.0000,-100,4,160,false,true
1784087107306,nx-q6-nexmark-auto-213939,0.1720,20000.0000,20000.0000,-100,4,160,false,true
1784087108306,nx-q6-nexmark-auto-213939,0.1775,20000.0000,20000.0000,-100,4,160,false,true
1784087109305,nx-q6-nexmark-auto-213939,0.1785,20000.0000,20000.0000,-100,4,160,false,true
1784087110306,nx-q6-nexmark-auto-213939,0.1780,20000.0000,20000.0000,-100,4,160,false,true
1784087111306,nx-q6-nexmark-auto-213939,0.1775,20000.0000,20000.0000,-100,4,160,false,true
1784087112306,nx-q6-nexmark-auto-213939,0.1775,20000.0000,20000.0000,-100,4,160,false,true
1784087113306,nx-q6-nexmark-auto-213939,0.1750,20000.0000,20000.0000,-100,4,160,false,true
1784087114306,nx-q6-nexmark-auto-213939,0.1710,20000.0000,20000.0000,-100,4,160,false,true
1784087115306,nx-q6-nexmark-auto-213939,0.1695,20000.0000,20000.0000,-100,4,160,false,true
1784087116305,nx-q6-nexmark-auto-213939,0.1670,20000.0000,20000.0000,-100,4,160,false,true
1784087117305,nx-q6-nexmark-auto-213939,0.1655,20000.0000,20000.0000,-100,4,160,false,true
1784087118306,nx-q6-nexmark-auto-213939,0.1645,20000.0000,20000.0000,-100,4,160,false,true
1784087119306,nx-q6-nexmark-auto-213939,0.1680,20000.0000,20000.0000,-100,4,160,false,true
1784087120305,nx-q6-nexmark-auto-213939,0.1720,20000.0000,20000.0000,-100,4,160,false,true
1784087121305,nx-q6-nexmark-auto-213939,0.1770,20000.0000,20000.0000,-100,4,160,false,true
1784087122305,nx-q6-nexmark-auto-213939,0.1805,20000.0000,20000.0000,-100,4,160,false,true
1784087123305,nx-q6-nexmark-auto-213939,0.1805,20000.0000,20000.0000,-100,4,160,false,true
1784087124305,nx-q6-nexmark-auto-213939,0.1770,20000.0000,20000.0000,-100,4,160,false,true
1784087125306,nx-q6-nexmark-auto-213939,0.1765,20000.0000,20000.0000,-100,4,160,false,true
1784087126306,nx-q6-nexmark-auto-213939,0.1695,20000.0000,20000.0000,-100,4,160,false,true
1784087127306,nx-q6-nexmark-auto-213939,0.1625,100000.0000,27311.0000,43345,4,160,false,true
1784087128305,nx-q6-nexmark-auto-213939,0.2155,100000.0000,45264.0000,33580,4,160,false,true
1784087129306,nx-q6-nexmark-auto-213939,0.2900,100000.0000,58113.8000,-50669,4,160,false,true
1784087130305,nx-q6-nexmark-auto-213939,0.3655,100000.0000,75180.8000,-56004,4,160,false,true
1784087131305,nx-q6-nexmark-auto-213939,0.4425,100000.0000,91468.0000,-57440,4,160,false,true
1784087132305,nx-q6-nexmark-auto-213939,0.5300,100000.0000,103910.8000,-76209,4,160,false,true
1784087133306,nx-q6-nexmark-auto-213939,0.5530,100000.0000,100002.8000,-66434,4,160,false,true
1784087134305,nx-q6-nexmark-auto-213939,0.5510,100000.0000,101480.2000,-58070,4,160,false,true
1784087135305,nx-q6-nexmark-auto-213939,0.5480,100000.0000,99585.4000,-53931,4,160,false,true
1784087136306,nx-q6-nexmark-auto-213939,0.5525,100000.0000,101323.0000,-64055,4,160,false,true
1784087137305,nx-q6-nexmark-auto-213939,0.5450,100000.0000,95121.6000,-51817,4,160,false,true
1784087138305,nx-q6-nexmark-auto-213939,0.5570,100000.0000,99230.6000,-62587,4,160,false,true
1784087139306,nx-q6-nexmark-auto-213939,0.5660,100000.0000,96051.0000,-38325,4,160,false,true
1784087140305,nx-q6-nexmark-auto-213939,0.5750,100000.0000,100019.6000,-54029,4,160,false,true
1784087141305,nx-q6-nexmark-auto-213939,0.5685,100000.0000,99481.6000,-61463,4,160,false,true
