timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors,registeredVmWorkers,activeVmWorkers,vmWorkerRunningTasks,consumerCommittedOffset,consumerLogEndOffset,consumerLag,kafkaQueueTimeUnweightedMeanMs,kafkaQueueTimeWeightedMeanMs,kafkaQueueTimeTotalSamples,kafkaQueueTimeValidTasks,kafkaQueueTimeValidIntervals,kafkaQueueTimeLatestTimestamp
1786601577697,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.000179,0.0,-1.0,-1,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
1786601593777,2278698,-1,2083942,194756,-1,104.05999842857143,144.398687,144.398687,-1,-1,-1,-1,0.024848,225000.0,224871.2,-1,4,-1,-1,-1,-1,1856250,2756250,900000,84.93323898095238,117.82251981940114,3206,8,114,1786601602455
1786601609702,5878698,-1,5683176,195522,-1,102.48016393333334,121.7609332,121.7609332,-1,-1,-1,-1,0.024027,225000.0,224899.4,-1,4,-1,-1,-1,-1,6356250,6356250,0,76.23135951666667,107.51586076134005,3373,8,120,1786601617467
1786601625506,9471810,-1,9281712,190098,-1,108.4343246875,123.243536375,123.243536375,-1,-1,-1,-1,0.026107,225000.0,224909.8,-1,4,-1,-1,-1,-1,9731250,9956250,225000,77.5767035078125,110.23534267713254,3599,8,128,1786601633479
1786601641412,12944641,-1,12881250,63391,-1,88.3754984375,97.600575625,97.600575625,-1,-1,-1,-1,0.024625,225000.0,225000.0,-1,4,-1,-1,-1,-1,13106250,13556250,450000,64.533195234375,89.03275911771237,3602,8,128,1786601649491
1786601657067,16453698,-1,16256250,197448,-1,68.7650576875,73.2152344375,73.2152344375,-1,-1,-1,-1,0.024259,225000.0,225000.0,-1,4,-1,-1,-1,-1,16481250,17114574,633324,49.4805071796875,67.74826296443456,3599,8,128,1786601665503
1786601673051,20053698,-1,19856250,197448,-1,68.9409013125,73.0820768125,73.0820768125,-1,-1,-1,-1,0.026214,225000.0,225000.0,-1,4,-1,-1,-1,-1,19856250,20612359,756109,49.0788398125,68.5255693204558,3598,8,128,1786601681513
1786601688931,23653698,-1,23456250,197448,-1,60.0364655,70.5761288125,70.5761288125,-1,-1,-1,-1,0.024107,225000.0,225000.0,-1,4,-1,-1,-1,-1,23231250,24131250,900000,46.93058953125,63.67518704473465,3599,8,128,1786601697525
1786601704711,27246202,-1,27056250,189952,-1,66.5472418,71.3676096,71.3676096,-1,-1,-1,-1,0.024813,225000.0,225000.0,-1,4,-1,-1,-1,-1,26606250,27731250,1125000,49.02033409166667,66.02191897393365,3376,8,120,1786601712533
1786601720557,30790537,-1,30656250,134287,-1,68.247164875,71.702104,71.702104,-1,-1,-1,-1,0.02161,225000.0,225000.0,-1,4,-1,-1,-1,-1,31106250,31331250,225000,48.40015125,66.70527737361111,3600,8,128,1786601728543
1786601736239,34707396,-1,34312500,394896,-1,72.8902692,91.27459826666667,91.27459826666667,-1,-1,-1,-1,0.025357,450000.0,450000.0,-1,4,-1,-1,-1,-1,35212500,35662500,450000,59.936478483333325,86.41321735124593,4615,8,120,1786601744476
1786601751697,41760278,-1,41512500,247778,-1,115.497556625,129.841119,129.841119,-1,-1,-1,-1,0.030304,450000.0,450000.0,-1,4,-1,-1,-1,-1,41962500,42862500,900000,88.90526815989584,119.59200059811138,7201,8,127,1786601759625
1786601767534,48790532,-1,48712500,78032,-1,111.021596625,123.6185636875,123.6185636875,-1,-1,-1,-1,0.028333,450000.0,450000.0,-1,4,-1,-1,-1,-1,48712500,50062500,1350000,84.495099371875,111.67898780030572,7196,8,127,1786601775635
