timestamp,totalEvents,deltaEvents,remainingEvents,baselineOffsetTotal
1786601578291,0,0,101250000,0
1786601579291,0,0,101250000,0
1786601580291,0,0,101250000,0
1786601581291,0,0,101250000,0
1786601582291,0,0,101250000,0
1786601583291,0,0,101250000,0
1786601584291,0,0,101250000,0
1786601585291,0,0,101250000,0
1786601586291,0,0,101250000,0
1786601587291,0,0,101250000,0
1786601588291,56250,56250,101193750,0
1786601589291,281250,225000,100968750,0
1786601590291,506250,225000,100743750,0
1786601591291,731250,225000,100518750,0
1786601592291,956250,225000,100293750,0
1786601593291,1181250,225000,100068750,0
1786601594291,1406250,225000,99843750,0
1786601595292,1631250,225000,99618750,0
1786601596292,1856250,225000,99393750,0
1786601597292,2081250,225000,99168750,0
1786601598292,2306250,225000,98943750,0
1786601599292,2531250,225000,98718750,0
1786601600292,2756250,225000,98493750,0
1786601601292,2981250,225000,98268750,0
1786601602292,3206250,225000,98043750,0
1786601603292,3431250,225000,97818750,0
1786601604292,3656250,225000,97593750,0
1786601605292,3881250,225000,97368750,0
1786601606292,4106250,225000,97143750,0
1786601607292,4331250,225000,96918750,0
1786601608292,4556250,225000,96693750,0
1786601609292,4781250,225000,96468750,0
1786601610292,5006250,225000,96243750,0
1786601611292,5231250,225000,96018750,0
1786601612292,5456250,225000,95793750,0
1786601613292,5681250,225000,95568750,0
1786601614292,5906250,225000,95343750,0
1786601615292,6131250,225000,95118750,0
1786601616292,6356250,225000,94893750,0
1786601617292,6581250,225000,94668750,0
1786601618292,6806250,225000,94443750,0
1786601619292,7031250,225000,94218750,0
1786601620292,7256250,225000,93993750,0
1786601621292,7481250,225000,93768750,0
1786601622292,7706250,225000,93543750,0
1786601623292,7931250,225000,93318750,0
1786601624292,8156250,225000,93093750,0
1786601625292,8381250,225000,92868750,0
1786601626292,8606250,225000,92643750,0
1786601627292,8831250,225000,92418750,0
1786601628292,9056250,225000,92193750,0
1786601629292,9281250,225000,91968750,0
1786601630292,9506250,225000,91743750,0
1786601631292,9731250,225000,91518750,0
1786601632292,9956250,225000,91293750,0
1786601633292,10181250,225000,91068750,0
1786601634292,10406250,225000,90843750,0
1786601635292,10631250,225000,90618750,0
1786601636292,10856250,225000,90393750,0
1786601637292,11081250,225000,90168750,0
1786601638292,11306250,225000,89943750,0
1786601639292,11531250,225000,89718750,0
1786601640292,11756250,225000,89493750,0
1786601641292,11981250,225000,89268750,0
1786601642292,12206250,225000,89043750,0
1786601643292,12431250,225000,88818750,0
1786601644292,12656250,225000,88593750,0
1786601645292,12881250,225000,88368750,0
1786601646292,13106250,225000,88143750,0
1786601647292,13331250,225000,87918750,0
1786601648293,13556250,225000,87693750,0
1786601649293,13781250,225000,87468750,0
1786601650293,14006250,225000,87243750,0
1786601651293,14231250,225000,87018750,0
1786601652293,14456250,225000,86793750,0
1786601653293,14681250,225000,86568750,0
1786601654293,14906250,225000,86343750,0
1786601655293,15131250,225000,86118750,0
1786601656293,15356250,225000,85893750,0
1786601657293,15581250,225000,85668750,0
1786601658293,15806250,225000,85443750,0
1786601659293,16031250,225000,85218750,0
1786601660293,16256250,225000,84993750,0
1786601661293,16481250,225000,84768750,0
1786601662293,16706250,225000,84543750,0
1786601663293,16931250,225000,84318750,0
1786601664293,17156250,225000,84093750,0
1786601665293,17381250,225000,83868750,0
1786601666294,17606250,225000,83643750,0
1786601667294,17831250,225000,83418750,0
1786601668294,18056250,225000,83193750,0
1786601669294,18281250,225000,82968750,0
1786601670295,18506250,225000,82743750,0
1786601671295,18731250,225000,82518750,0
1786601672296,18956250,225000,82293750,0
1786601673296,19181250,225000,82068750,0
1786601674296,19406250,225000,81843750,0
1786601675296,19631250,225000,81618750,0
1786601676296,19856250,225000,81393750,0
1786601677296,20081250,225000,81168750,0
1786601678296,20306250,225000,80943750,0
1786601679296,20531250,225000,80718750,0
1786601680296,20756250,225000,80493750,0
1786601681296,20981250,225000,80268750,0
1786601682296,21206250,225000,80043750,0
1786601683296,21431250,225000,79818750,0
1786601684296,21656250,225000,79593750,0
1786601685296,21881250,225000,79368750,0
1786601686296,22106250,225000,79143750,0
1786601687296,22331250,225000,78918750,0
1786601688296,22556250,225000,78693750,0
1786601689296,22781250,225000,78468750,0
1786601690296,23006250,225000,78243750,0
