timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1786601577697,nexmark-auction,0,0,0,0
1786601577697,nexmark-bid,0,0,0,0
1786601593777,nexmark-auction,113652,113652,168756,55104
1786601593777,nexmark-bid,2165046,1742598,2587494,844896
1786601609702,nexmark-auction,334068,389172,389172,0
1786601609702,nexmark-bid,5544630,5967078,5967078,0
1786601625506,nexmark-auction,547596,595812,609588,13776
1786601625506,nexmark-bid,8924214,9135438,9346662,211224
1786601641412,nexmark-auction,761124,802452,830004,27552
1786601641412,nexmark-bid,12183517,12303798,12726246,422448
1786601657067,nexmark-auction,981540,1009092,1050420,41328
1786601657067,nexmark-bid,15472158,15472158,16064154,591996
1786601673051,nexmark-auction,1201956,1215732,1269035,53303
1786601673051,nexmark-bid,18851742,18640518,19343324,702806
1786601688931,nexmark-auction,1422372,1422372,1477476,55104
1786601688931,nexmark-bid,22231326,21808878,22653774,844896
1786601704711,nexmark-auction,1635292,1629012,1697892,68880
1786601704711,nexmark-bid,25610910,24977238,26033358,1056120
1786601720557,nexmark-auction,1849428,1904532,1918308,13776
1786601720557,nexmark-bid,28941109,29201718,29412942,211224
1786601736239,nexmark-auction,2073288,2155944,2183496,27552
1786601736239,nexmark-bid,32634108,33056556,33479004,422448
1786601751697,nexmark-auction,2495520,2569224,2624328,55104
1786601751697,nexmark-bid,39264758,39393276,40238172,844896
1786601767534,nexmark-auction,2927400,2982504,3065160,82656
1786601767534,nexmark-bid,45863132,45729996,46997340,1267344
1786601783428,nexmark-auction,3368232,3395784,3505992,110208
1786601783428,nexmark-bid,52489164,52066716,53639033,1572317
1786601799174,nexmark-auction,3809064,3809064,3920205,111141
1786601799174,nexmark-bid,59248332,58403436,60093228,1689792
1786601814788,nexmark-auction,4245843,4360104,4360104,0
1786601814788,nexmark-bid,66007500,66852396,66852396,0
1786601830738,nexmark-auction,4682994,4773384,4800936,27552
1786601830738,nexmark-bid,72708646,73189116,73611564,422448
1786601846360,nexmark-auction,5104008,5186664,5241768,55104
1786601846360,nexmark-bid,79103388,79525836,80195050,669214
1786601862163,nexmark-auction,5544840,5599944,5655048,55104
1786601862163,nexmark-bid,85862556,85862556,86707452,844896
1786601877795,nexmark-auction,5961908,6013224,6095880,82656
1786601877795,nexmark-bid,92411439,92199276,93466620,1267344
1786601893495,nexmark-auction,6199200,6199200,6199200,0
1786601893495,nexmark-bid,95050800,95050800,95050800,0
1786601909683,nexmark-auction,6199200,6199200,6199200,0
1786601909683,nexmark-bid,95050800,95050800,95050800,0
1786601925751,nexmark-auction,6199200,6199200,6199200,0
1786601925751,nexmark-bid,95050800,95050800,95050800,0
1786601941811,nexmark-auction,6199200,6199200,6199200,0
1786601941811,nexmark-bid,95050800,95050800,95050800,0
