[metrics] ignoring invalid sourceCount=2758173 > inputOffset=2278698
[metrics] ignoring invalid sourceCount=2533343 > inputOffset=2278698
[metrics] ignoring invalid sourceCount=2308622 > inputOffset=2278698
[metrics] ignoring invalid sourceCount=6357862 > inputOffset=5878698
[metrics] ignoring invalid sourceCount=6132893 > inputOffset=5878698
[metrics] ignoring invalid sourceCount=5908108 > inputOffset=5878698
[metrics] ignoring invalid sourceCount=9956474 > inputOffset=9471810
[metrics] ignoring invalid sourceCount=9731462 > inputOffset=9471810
[metrics] ignoring invalid sourceCount=9506531 > inputOffset=9471810
[metrics] ignoring invalid sourceCount=13331250 > inputOffset=12944641
[metrics] ignoring invalid sourceCount=13106250 > inputOffset=12944641
[metrics] ignoring invalid sourceCount=16931250 > inputOffset=16453698
[metrics] ignoring invalid sourceCount=16706250 > inputOffset=16453698
[metrics] ignoring invalid sourceCount=16481250 > inputOffset=16453698
[metrics] ignoring invalid sourceCount=20531250 > inputOffset=20053698
[metrics] ignoring invalid sourceCount=20306250 > inputOffset=20053698
[metrics] ignoring invalid sourceCount=20081250 > inputOffset=20053698
[metrics] ignoring invalid sourceCount=24131250 > inputOffset=23653698
[metrics] ignoring invalid sourceCount=23906250 > inputOffset=23653698
[metrics] ignoring invalid sourceCount=23681250 > inputOffset=23653698
[metrics] ignoring invalid sourceCount=27731250 > inputOffset=27246202
[metrics] ignoring invalid sourceCount=27506250 > inputOffset=27246202
[metrics] ignoring invalid sourceCount=27281250 > inputOffset=27246202
[metrics] ignoring invalid sourceCount=31106250 > inputOffset=30790537
[metrics] ignoring invalid sourceCount=30881250 > inputOffset=30790537
[metrics] ignoring invalid sourceCount=35662500 > inputOffset=34707396
[metrics] ignoring invalid sourceCount=35212500 > inputOffset=34707396
[metrics] ignoring invalid sourceCount=34762500 > inputOffset=34707396
[metrics] ignoring invalid sourceCount=42862500 > inputOffset=41760278
[metrics] ignoring invalid sourceCount=42412500 > inputOffset=41760278
[metrics] ignoring invalid sourceCount=41962500 > inputOffset=41760278
[metrics] ignoring invalid sourceCount=50062500 > inputOffset=48790532
[metrics] ignoring invalid sourceCount=49612500 > inputOffset=48790532
[metrics] ignoring invalid sourceCount=49162500 > inputOffset=48790532
[metrics] ignoring invalid sourceCount=56812500 > inputOffset=55857396
[metrics] ignoring invalid sourceCount=56362500 > inputOffset=55857396
[metrics] ignoring invalid sourceCount=55912500 > inputOffset=55857396
[metrics] ignoring invalid sourceCount=64012500 > inputOffset=63057396
[metrics] ignoring invalid sourceCount=63562500 > inputOffset=63057396
[metrics] ignoring invalid sourceCount=63112500 > inputOffset=63057396
[metrics] ignoring invalid sourceCount=71212500 > inputOffset=70253343
[metrics] ignoring invalid sourceCount=70762500 > inputOffset=70253343
[metrics] ignoring invalid sourceCount=70312500 > inputOffset=70253343
[metrics] ignoring invalid sourceCount=78412500 > inputOffset=77391640
[metrics] ignoring invalid sourceCount=77962500 > inputOffset=77391640
[metrics] ignoring invalid sourceCount=77512500 > inputOffset=77391640
[metrics] ignoring invalid sourceCount=85162500 > inputOffset=84207396
[metrics] ignoring invalid sourceCount=84712500 > inputOffset=84207396
[metrics] ignoring invalid sourceCount=84262500 > inputOffset=84207396
[metrics] ignoring invalid sourceCount=92362500 > inputOffset=91407396
[metrics] ignoring invalid sourceCount=91912500 > inputOffset=91407396
[metrics] ignoring invalid sourceCount=91462500 > inputOffset=91407396
[metrics] ignoring invalid sourceCount=99562500 > inputOffset=98373347
[metrics] ignoring invalid sourceCount=99112500 > inputOffset=98373347
[metrics] ignoring invalid sourceCount=98662500 > inputOffset=98373347
