timestamp,jobId,executorId,taskId,inputReceiveRate,inputRate,outputRate,processingTimeNs,deserTimeNs,inBytes,serializedTimeNs,outBytes
1784138139613,unknown,VM-112,Stage3-3-0,0,29,0,70904,3966,1717,0,0
1784138139619,unknown,VM-111,Stage3-0-0,0,1,0,0,1424,62,0,0
1784138140613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138140620,unknown,VM-111,Stage3-0-0,0,198,0,135806,6005,11821,0,0
1784138141613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138141620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138142552,unknown,VM-116,Stage2-0-0,0,116,0,178252,6712,31631,0,0
1784138142613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138142620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138142602,unknown,VM-110,Stage2-2-0,0,2391,0,414312,41563,248299,0,0
1784138143552,unknown,VM-116,Stage2-0-0,0,12631,0,835090,85789,978030,0,0
1784138143602,unknown,VM-110,Stage2-2-0,0,1694,222,176665,39650,123597,0,0
1784138143613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138143620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138144552,unknown,VM-116,Stage2-0-0,0,1153,228,72733,21090,108831,0,0
1784138144602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138144613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138144620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138145552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138145602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138145613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138145620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138146509,unknown,VM-115,Stage1-3-0,0,48909,47951,322026,270230,5878161,0,0
1784138146552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138146602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138146613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138146620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138147510,unknown,VM-115,Stage1-3-0,0,5122,5027,33522,63414,612715,0,0
1784138147552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138147602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138147612,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138147620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138148510,unknown,VM-115,Stage1-3-0,0,4960,4872,90766,14782,597144,0,0
1784138148552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138148602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138148612,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138148620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138149510,unknown,VM-115,Stage1-3-0,0,4867,4781,60720,27694,581873,0,0
1784138149552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138149602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138149613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138149620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138150510,unknown,VM-115,Stage1-3-0,0,3585,3511,18788,32625,429018,0,0
1784138150552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138150602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138150613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138150620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138151510,unknown,VM-115,Stage1-3-0,0,4997,4893,50886,18930,605878,0,0
1784138151552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138151602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138151612,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138151620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138152510,unknown,VM-115,Stage1-3-0,0,4978,4872,63114,13495,592441,0,0
1784138152552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138152602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138152613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138152620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138153510,unknown,VM-115,Stage1-3-0,0,4938,4845,36630,106882,593395,0,0
1784138153554,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138153603,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138153613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138153620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138154510,unknown,VM-115,Stage1-3-0,0,4841,4748,39139,9769,581579,0,0
1784138154552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138154602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138154613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138154620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138155510,unknown,VM-115,Stage1-3-0,0,5227,5128,20358,18783,626728,0,0
1784138155552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138155602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138155613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138155620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138156510,unknown,VM-115,Stage1-3-0,0,4945,4829,20775,14836,596133,0,0
1784138156552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138156602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138156613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138156620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138157510,unknown,VM-115,Stage1-3-0,0,5228,5123,24160,12484,628595,0,0
1784138157552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138157602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138157613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138157620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138158510,unknown,VM-115,Stage1-3-0,0,4840,4745,36519,20233,577090,0,0
1784138158552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138158602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138158614,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138158620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138159510,unknown,VM-115,Stage1-3-0,0,5228,5129,30131,13156,633142,0,0
1784138159552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138159602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138159613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138159620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138160510,unknown,VM-115,Stage1-3-0,0,4561,4471,21338,19248,545298,0,0
1784138160552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138160602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138160613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138160620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138161510,unknown,VM-115,Stage1-3-0,0,5164,5075,27062,15763,617409,0,0
1784138161552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138161602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138161613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138161621,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138162510,unknown,VM-115,Stage1-3-0,0,5249,5144,25002,25032,632042,0,0
1784138162552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138162602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138162613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138162620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138163510,unknown,VM-115,Stage1-3-0,0,4642,4559,18313,21843,559766,0,0
1784138163552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138163602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138163613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138163620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138164510,unknown,VM-115,Stage1-3-0,0,4991,4901,26121,17948,598182,0,0
1784138164552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138164602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138164613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138164620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138165510,unknown,VM-115,Stage1-3-0,0,5163,5069,22834,10488,621191,0,0
1784138165552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138165605,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138165613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138165620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138166509,unknown,VM-115,Stage1-3-0,0,4775,4689,29887,10546,568211,0,0
1784138166552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138166602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138166613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138166620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
1784138167510,unknown,VM-115,Stage1-3-0,0,4979,4882,32061,8192,602269,0,0
1784138167552,unknown,VM-116,Stage2-0-0,0,0,0,0,0,0,0,0
1784138167602,unknown,VM-110,Stage2-2-0,0,0,0,0,0,0,0,0
1784138167613,unknown,VM-112,Stage3-3-0,0,0,0,0,0,0,0,0
1784138167620,unknown,VM-111,Stage3-0-0,0,0,0,0,0,0,0,0
