
Consumer group 'disaggregated-streaming' has no active members.

GROUP                   TOPIC                             PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID     HOST            CLIENT-ID
disaggregated-streaming nexmark-auto-181034               7          2625013         2625013         0               -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  5          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-auto-201537               6          650012          650012          0               -               -               -
disaggregated-streaming nexmark-auto-165237               6          61              61              0               -               -               -
disaggregated-streaming nexmark-auto-202953               1          2489577         2950012         460435          -               -               -
disaggregated-streaming nexmark-auto-212300               7          2600012         5875012         3275000         -               -               -
disaggregated-streaming nexmark-auto-213939               4          5875012         5875012         0               -               -               -
disaggregated-streaming nexmark-auto-194255               4          925010          925010          0               -               -               -
disaggregated-streaming nexmark-auto-165237               7          60              60              0               -               -               -
disaggregated-streaming nexmark-auto-201537               7          650012          650012          0               -               -               -
disaggregated-streaming nexmark-formal-q6-20260715-060813 1          12              12              0               -               -               -
disaggregated-streaming nexmark-auto-190851               4          4700013         4700013         0               -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  4          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-auto-171129               5          12502           12502           0               -               -               -
disaggregated-streaming nexmark-auto-172533               1          12500           12500           0               -               -               -
disaggregated-streaming nexmark-auto-181034               0          2625012         2625012         0               -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  6          5875012         5875012         0               -               -               -
disaggregated-streaming nexmark-auto-165237               5          63              63              0               -               -               -
disaggregated-streaming nexmark-auto-202953               2          2481519         2950013         468494          -               -               -
disaggregated-streaming nexmark-auto-213939               5          5875012         5875012         0               -               -               -
disaggregated-streaming nexmark-auto-194255               5          925012          925012          0               -               -               -
disaggregated-streaming nexmark-auto-190851               5          4700013         4700013         0               -               -               -
disaggregated-streaming nexmark-auto-154848               0          500000          15012500        14512500        -               -               -
disaggregated-streaming nexmark-formal-q6-20260715-060813 2          13              13              0               -               -               -
disaggregated-streaming nexmark-auto-171129               4          12497           12497           0               -               -               -
disaggregated-streaming nexmark-auto-172533               0          12497           12497           0               -               -               -
disaggregated-streaming nexmark-auto-181034               1          2625012         2625012         0               -               -               -
disaggregated-streaming nexmark-auto-201537               4          650013          650013          0               -               -               -
disaggregated-streaming q6-formal-20260715T174017Z-topic  7          5875012         5875012         0               -               -               -
disaggregated-streaming nexmark-auto-165237               4          61              61              0               -               -               -
disaggregated-streaming nexmark-auto-194255               7          925013          925013          0               -               -               -
disaggregated-streaming nexmark-auto-212300               5          2600013         5875013         3275000         -               -               -
disaggregated-streaming nexmark-auto-194255               6          925013          925013          0               -               -               -
disaggregated-streaming nexmark-auto-172533               7          12501           12501           0               -               -               -
disaggregated-streaming nexmark-auto-190851               6          4700012         4700012         0               -               -               -
disaggregated-streaming nexmark-formal-q6-20260715-060813 3          13              13              0               -               -               -
disaggregated-streaming nexmark-auto-213939               2          5875013         5875013         0               -               -               -
disaggregated-streaming nexmark-auto-171129               3          12503           12503           0               -               -               -
disaggregated-streaming nexmark-auto-181034               2          2625013         2625013         0               -               -               -
disaggregated-streaming nexmark-auto-201537               5          650013          650013          0               -               -               -
disaggregated-streaming nexmark-auto-165237               3          66              66              0               -               -               -
disaggregated-streaming nexmark-auto-202953               0          2475012         2950012         475000          -               -               -
disaggregated-streaming nexmark-auto-212300               6          2429930         5875012         3445082         -               -               -
disaggregated-streaming nexmark-auto-190851               7          4700012         4700012         0               -               -               -
disaggregated-streaming nexmark-auto-172533               6          12503           12503           0               -               -               -
