timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784137686005,node0,control-producer,0.0133,452892,0,462176,463188,0,0,0,0,0,14579050,14341031,370121216,41376416256
1784137687341,node0,control-producer,0.0191,452892,0,462176,463188,0,0,0,0,0,14579212,14341141,370121216,41376416256
1784137688673,node0,control-producer,0.0189,452892,0,462176,463188,0,0,0,0,0,14579369,14341244,370121216,41376416256
1784137690001,node0,control-producer,0.0191,452892,0,462176,463188,0,0,0,0,0,14579512,14341336,370121216,41377350144
1784137691334,node0,control-producer,0.0189,452892,0,462176,463188,0,0,0,0,0,14579675,14341441,370121216,41377350144
1784137692659,node0,control-producer,0.0194,452892,0,462176,463188,0,0,0,0,0,14579825,14341545,370121216,41377350144
1784137693993,node0,control-producer,0.0194,452892,0,462176,463188,0,0,0,0,0,14579989,14341678,370121216,41377350144
1784137695328,node0,control-producer,0.0067,452892,0,462176,463188,0,0,0,0,0,14580097,14341746,370121216,41378079232
1784137696652,node0,control-producer,0.0066,452892,0,462176,463188,0,0,0,0,0,14580251,14341870,370121216,41378181632
1784137697978,node0,control-producer,0.0069,452892,0,462176,463188,0,0,0,0,0,14580457,14341998,370121216,41378181632
1784137699303,node0,control-producer,0.0067,452892,0,462176,463188,0,0,0,0,0,14580664,14342123,370121216,41378189824
1784137700632,node0,control-producer,0.0074,452892,0,462176,463188,0,0,0,0,0,14580783,14342190,370121216,41378210304
1784137701943,node0,control-producer,0.0101,452892,0,462176,463188,0,0,0,0,0,14580877,14342219,370121216,41379475968
1784137703277,node0,control-producer,0.0159,452892,0,462176,463188,0,0,0,0,0,14581039,14342266,370121216,41379475968
1784137704613,node0,control-producer,0.0166,452892,0,462176,463188,0,0,0,0,0,14581130,14342312,370121216,41379484160
1784137705942,node0,control-producer,0.0173,452892,0,462176,463188,0,0,0,0,0,14581228,14342359,370121216,41379504640
1784137707279,node0,control-producer,0.0215,452892,0,462176,463188,0,0,0,0,0,14581352,14342443,370121216,41379516928
1784137708615,node0,control-producer,0.0179,452892,0,462176,463188,0,0,0,0,0,14581530,14342557,370121216,41379828224
1784137709937,node0,control-producer,0.0178,452892,0,462176,463188,0,0,0,0,0,14581727,14342669,370121216,41379844608
1784137711259,node0,control-producer,0.0177,452892,0,462176,463188,0,0,0,0,0,14581877,14342776,370121216,41379856896
1784137712581,node0,control-producer,0.0180,452892,0,462176,463188,0,0,0,0,0,14582096,14342881,370121216,41380729344
1784137713910,node0,control-producer,0.0175,452892,0,462176,463188,0,0,0,0,0,14582269,14342988,370121216,41381028352
1784137715237,node0,control-producer,0.0176,452892,0,462176,463188,0,0,0,0,0,14582416,14343091,370121216,41381052928
1784137716564,node0,control-producer,0.0174,452892,0,462176,463188,0,0,0,0,0,14582579,14343198,370121216,41381065216
1784137717892,node0,control-producer,0.0178,452892,0,462176,463188,0,0,0,0,0,14582730,14343296,370121216,41381069312
1784137719215,node0,control-producer,0.0176,452892,0,462176,463188,0,0,0,0,0,14582893,14343404,370121216,41381102080
1784137720542,node0,control-producer,0.0182,452892,0,462176,463188,0,0,0,0,0,14583075,14343584,370121216,41381335552
