timestamp,outputRate,totalSent,elapsedMs,targetRate,phase
1784138132688,19876.76,100000,5031,20000,1
1784138137692,19930.24,200000,10035,20000,1
1784138142694,19950.79,300000,15037,20000,1
1784138147696,19961.08,400000,20039,20000,1
1784138152698,19967.25,500000,25041,20000,1
1784138157700,19971.37,600000,30043,20000,1
1784138162701,19974.89,700000,35044,20000,1
1784138167703,19977.03,800000,40046,20000,1
1784138172704,19979.13,900000,45047,20000,1
1784138177706,19980.42,1000000,50049,20000,1
1784138182707,19981.83,1100000,55050,20000,1
1784138187708,19983.01,1200000,60051,20000,1
1784138192709,19984.01,1300000,65052,20000,1
1784138197711,19984.58,1400000,70054,20000,1
1784138202712,19985.34,1500000,75055,20000,1
1784138207714,19985.76,1600000,80057,20000,1
1784138212715,19986.36,1700000,85058,20000,1
1784138217716,19986.90,1800000,90059,20000,1
1784138222717,19987.38,1900000,95060,20000,1
1784138227719,19987.61,2000000,100062,100000,2
1784138232720,23795.25,2500000,105063,100000,2
1784138237721,27256.87,3000000,110064,100000,2
1784138242723,30417.33,3500000,115066,100000,2
1784138247724,33314.73,4000000,120067,100000,2
1784138252725,35980.43,4500000,125068,100000,2
1784138257726,38441.14,5000000,130069,100000,2
1784138262728,40719.33,5500000,135071,100000,2
1784138267729,42835.11,6000000,140072,100000,2
1784138272730,44805.03,6500000,145073,100000,2
1784138277731,46643.66,7000000,150074,100000,2
1784138282732,48363.69,7500000,155075,100000,2
1784138287734,49975.95,8000000,160077,100000,2
1784138292735,51490.81,8500000,165078,100000,2
1784138297736,52916.59,9000000,170079,100000,2
1784138302737,54260.91,9500000,175080,100000,2
1784138307739,55530.26,10000000,180082,100000,2
1784138312740,56731.30,10500000,185083,100000,2
1784138317741,57869.15,11000000,190084,100000,2
1784138322742,58948.66,11500000,195085,100000,2
1784138327744,59973.91,12000000,200087,100000,2
1784138332745,60949.45,12500000,205088,100000,2
1784138337746,61878.54,13000000,210089,100000,2
1784138342747,62764.42,13500000,215090,100000,2
1784138347749,63609.76,14000000,220092,100000,2
1784138352750,64417.82,14500000,225093,100000,2
1784138357751,65190.75,15000000,230094,100000,2
1784138362752,65930.79,15500000,235095,100000,2
1784138367753,66640.01,16000000,240096,100000,2
1784138372754,67320.29,16500000,245097,100000,2
1784138377755,67973.35,17000000,250098,200000,3
1784138382757,70560.56,18000000,255100,200000,3
1784138387758,73048.55,19000000,260101,200000,3
1784138392759,75442.66,20000000,265102,200000,3
1784138397760,77748.12,21000000,270103,200000,3
1784138402761,79969.76,22000000,275104,200000,3
1784138407762,82112.07,23000000,280105,200000,3
1784138412763,84179.22,24000000,285106,200000,3
1784138417765,86174.80,25000000,290108,200000,3
1784138422766,88103.04,26000000,295109,200000,3
1784138427767,89967.01,27000000,300110,200000,3
1784138432768,91769.88,28000000,305111,200000,3
1784138437769,93514.60,29000000,310112,200000,3
1784138442770,95203.94,30000000,315113,200000,3
1784138447771,96840.50,31000000,320114,200000,3
1784138452773,98426.41,32000000,325116,200000,3
1784138457774,99964.56,33000000,330117,200000,3
1784138462775,101456.80,34000000,335118,200000,3
1784138467776,102905.16,35000000,340119,200000,3
1784138472777,104311.54,36000000,345120,200000,3
1784138477778,105677.75,37000000,350121,200000,3
1784138482779,107005.48,38000000,355122,200000,3
1784138487781,108296.03,39000000,360124,200000,3
1784138492782,109551.52,40000000,365125,200000,3
1784138497783,110773.09,41000000,370126,200000,3
1784138502784,111962.08,42000000,375127,200000,3
1784138507785,113119.79,43000000,380128,200000,3
1784138512786,114247.43,44000000,385129,200000,3
1784138517787,115346.17,45000000,390130,200000,3
1784138522788,116417.09,46000000,395131,200000,3
1784138527789,117461.24,47000000,400132,200000,3
1784138528359,117294.44,47000000,400701,200000,3
