timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784155381473,node12,compute,0.0004,0,241220,0,0,0,0,0,0,0,7771610,2093798,253082112,18575122944
1784155382780,node12,compute,0.0049,0,241220,0,0,0,0,0,0,0,7771648,2093802,253082112,18575122944
1784155384089,node12,compute,0.0052,0,241420,0,0,0,0,0,0,0,7771690,2093804,253082112,18575122944
1784155385407,node12,compute,0.0046,0,241420,0,0,0,0,0,0,0,7771733,2093806,253082112,18576036352
1784155386721,node12,compute,0.0053,0,241420,0,0,0,0,0,0,0,7771777,2093810,253082112,18576036352
1784155388036,node12,compute,0.0052,0,241420,0,0,0,0,0,0,0,7771816,2093812,253082112,18576036352
1784155389353,node12,compute,0.0054,0,241420,0,0,0,0,0,0,0,7771851,2093814,253082112,18576036352
1784155390672,node12,compute,0.0054,0,241420,0,0,0,0,0,0,0,7771938,2093819,253082112,18576126464
1784155391992,node12,compute,0.0051,0,241420,0,0,0,0,0,0,0,7772008,2093821,253082112,18576130560
1784155393310,node12,compute,0.0051,0,241420,0,0,0,0,0,0,0,7772069,2093823,253082112,18576130560
1784155394623,node12,compute,0.0050,0,241676,0,0,0,0,0,0,0,7772121,2093828,253082112,18576130560
1784155395933,node12,compute,0.0050,0,241676,0,0,0,0,0,0,0,7772213,2093831,253082112,18576138752
1784155397252,node12,compute,0.0053,0,241676,0,0,0,0,0,0,0,7772295,2093833,253082112,18576159232
1784155398572,node12,compute,0.0053,0,241676,0,0,0,0,0,0,0,7772374,2093837,253082112,18576159232
1784155399892,node12,compute,0.0055,0,241676,0,0,0,0,0,0,0,7772417,2093839,253082112,18576159232
1784155401201,node12,compute,0.0053,0,241676,0,0,0,0,0,0,0,7772487,2093842,253082112,18576167424
1784155402513,node12,compute,0.0053,0,241676,0,0,0,0,0,0,0,7772537,2093844,253082112,18576171520
1784155403827,node12,compute,0.0050,0,241676,0,0,0,0,0,0,0,7772630,2093848,253082112,18576187904
1784155405144,node12,compute,0.0052,0,241676,0,0,0,0,0,0,0,7772682,2093852,253082112,18576187904
1784155406465,node12,compute,0.0053,0,241676,0,0,0,0,0,0,0,7772733,2093854,253082112,18576196096
1784155407782,node12,compute,0.0054,0,241676,0,0,0,0,0,0,0,7772784,2093858,253082112,18576200192
1784155409086,node12,compute,0.0049,0,241676,0,0,0,0,0,0,0,7772842,2093861,253082112,18576200192
1784155410405,node12,compute,0.0054,0,241676,0,0,0,0,0,0,0,7772888,2093863,253082112,18576216576
1784155411722,node12,compute,0.0052,0,241676,0,0,0,0,0,0,0,7772932,2093868,253082112,18576224768
1784155413027,node12,compute,0.0048,0,241676,0,0,0,0,0,0,0,7773006,2093871,253082112,18576228864
1784155414342,node12,compute,0.0053,0,241676,0,0,0,0,0,0,0,7773066,2093874,253082112,18576228864
1784155415646,node12,compute,0.0051,0,241676,0,0,0,0,0,0,0,7773112,2093878,253082112,18576253440
1784155416968,node12,compute,0.0054,0,241676,0,0,0,0,0,0,0,7773281,2093881,253082112,18576253440
1784155418281,node12,compute,0.0050,0,241676,0,0,0,0,0,0,0,7773335,2093883,253082112,18576257536
1784155419595,node12,compute,0.0053,0,241676,0,0,0,0,0,0,0,7773442,2093885,253082112,18576257536
1784155420911,node12,compute,0.0050,0,241676,0,0,0,0,0,0,0,7773487,2093890,253082112,18576286208
1784155422231,node12,compute,0.0051,0,241676,0,0,0,0,0,0,0,7773556,2093892,253082112,18576286208
1784155423548,node12,compute,0.0052,0,241676,0,0,0,0,0,0,0,7773616,2093894,253082112,18576290304
1784155424856,node12,compute,0.0048,0,241676,0,0,0,0,0,0,0,7773666,2093898,253082112,18576290304
1784155426171,node12,compute,0.0052,0,241676,0,0,0,0,0,0,0,7773733,2093901,253082112,18576298496
1784155427491,node12,compute,0.0055,0,241676,0,0,0,0,0,0,0,7773768,2093903,253082112,18576314880
