timestamp,outputRate,totalSent,elapsedMs,targetRate,phase
1784155632713,19770.66,100000,5058,20000,1
1784155637717,19876.76,200000,10062,20000,1
1784155642719,19915.03,300000,15064,20000,1
1784155647721,19934.22,400000,20066,20000,1
1784155652722,19946.54,500000,25067,20000,1
1784155657724,19954.11,600000,30069,20000,1
1784155662725,19960.08,700000,35070,20000,1
1784155667727,19964.06,800000,40072,20000,1
1784155672728,19967.61,900000,45073,20000,1
1784155677730,19970.04,1000000,50075,20000,1
1784155682731,19972.40,1100000,55076,20000,1
1784155687732,19974.37,1200000,60077,20000,1
1784155692734,19975.72,1300000,65079,20000,1
1784155697735,19977.17,1400000,70080,20000,1
1784155702737,19978.16,1500000,75082,20000,1
1784155707738,19979.27,1600000,80083,20000,1
1784155712739,19980.25,1700000,85084,20000,1
1784155717741,19980.91,1800000,90086,20000,1
1784155722742,19981.70,1900000,95087,20000,1
1784155727743,19982.42,2000000,100088,100000,2
1784155732745,23789.13,2500000,105090,100000,2
1784155737746,27250.18,3000000,110091,100000,2
1784155742747,30410.45,3500000,115092,100000,2
1784155747748,33307.52,4000000,120093,100000,2
1784155752750,35972.66,4500000,125095,100000,2
1784155757751,38433.16,5000000,130096,100000,2
1784155762752,40711.49,5500000,135097,100000,2
1784155767753,42827.16,6000000,140098,100000,2
1784155772755,44796.69,6500000,145100,100000,2
1784155777756,46635.27,7000000,150101,100000,2
1784155782757,48355.28,7500000,155102,100000,2
1784155787758,49967.83,8000000,160103,100000,2
1784155792760,51482.39,8500000,165105,100000,2
1784155797761,52908.19,9000000,170106,100000,2
1784155802762,54252.54,9500000,175107,100000,2
1784155807763,55522.24,10000000,180108,100000,2
1784155812765,56723.03,10500000,185110,100000,2
1784155817766,57860.93,11000000,190111,100000,2
1784155822767,58940.51,11500000,195112,100000,2
1784155827768,59966.12,12000000,200113,100000,2
1784155832770,60941.42,12500000,205115,100000,2
1784155837771,61870.59,13000000,210116,100000,2
1784155842772,62756.55,13500000,215117,100000,2
1784155847774,63601.96,14000000,220119,100000,2
1784155852775,64410.09,14500000,225120,100000,2
1784155857776,65183.10,15000000,230121,100000,2
1784155862777,65923.22,15500000,235122,100000,2
1784155867778,66632.52,16000000,240123,100000,2
1784155872779,67312.87,16500000,245124,100000,2
1784155877780,67966.02,17000000,250125,200000,3
1784155882782,70553.10,18000000,255127,200000,3
1784155887783,73040.96,19000000,260128,200000,3
1784155892784,75434.98,20000000,265129,200000,3
1784155897785,77740.35,21000000,270130,200000,3
1784155902786,79961.91,22000000,275131,200000,3
1784155907788,82103.86,23000000,280133,200000,3
1784155912789,84170.95,24000000,285134,200000,3
1784155917790,86166.78,25000000,290135,200000,3
1784155922791,88094.98,26000000,295136,200000,3
1784155927792,89958.92,27000000,300137,200000,3
1784155932793,91761.76,28000000,305138,200000,3
1784155937794,93506.46,29000000,310139,200000,3
1784155942796,95195.48,30000000,315141,200000,3
1784155947797,96832.03,31000000,320142,200000,3
1784155952798,98418.23,32000000,325143,200000,3
1784155957799,99956.38,33000000,330144,200000,3
1784155962800,101448.63,34000000,335145,200000,3
1784155967801,102896.99,35000000,340146,200000,3
1784155972802,104303.38,36000000,345147,200000,3
1784155977803,105669.60,37000000,350148,200000,3
1784155982805,106997.04,38000000,355150,200000,3
1784155987806,108287.91,39000000,360151,200000,3
1784155992807,109543.42,40000000,365152,200000,3
1784155997808,110765.01,41000000,370153,200000,3
1784156002809,111954.02,42000000,375154,200000,3
1784156007810,113111.76,43000000,380155,200000,3
1784156012811,114239.43,44000000,385156,200000,3
1784156017813,115337.89,45000000,390158,200000,3
1784156022814,116408.84,46000000,395159,200000,3
1784156027815,117453.02,47000000,400160,200000,3
1784156028312,117307.32,47000000,400657,200000,3
