timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors,consumerCommittedOffset,consumerLogEndOffset,consumerLag,kafkaQueueTimeUnweightedMeanMs,kafkaQueueTimeWeightedMeanMs,kafkaQueueTimeTotalSamples,kafkaQueueTimeValidTasks
1785282225981,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.071,0.0,-1.0,0.0,4,160,0,0,0,-1,-1,-1,-1
1785282238659,160052,-1,142500,17552,-1,29.130434,73.08,75.565217,-1,-1,-1,-1,0.109,20000.0,20000.0,20000.0,4,160,142500,202500,60000,32.3894381875,57.05472596517413,201,16
1785282251622,420052,-1,402500,17552,-1,6.0,313.608695,324.75,-1,-1,-1,-1,0.112,20000.0,20000.0,20000.0,4,160,442306,462500,20194,86.734263,163.0324996475,400,33
1785282264491,680052,-1,662500,17552,-1,29.130434,324.75,334.260869,-1,-1,-1,-1,0.1,20000.0,20000.0,20000.0,4,160,642306,722500,80194,119.98797658928572,221.62750680945558,698,56
1785282277310,940052,-1,922500,17552,-1,24.5,331.0,341.625,-1,-1,-1,-1,0.1035,20000.0,20000.0,20000.0,4,160,942112,962500,20388,128.71000613513513,238.15749695685005,927,74
1785282290339,1200052,-1,1182500,17552,-1,29.130434,334.260869,351.083333,-1,-1,-1,-1,0.101,20000.0,20000.0,20000.0,4,160,1142500,1222500,80000,136.49315609375,252.45348800332226,1204,96
1785282303219,1460052,-1,1442500,17552,-1,29.130434,341.625,356.25,-1,-1,-1,-1,0.1035,20000.0,20000.0,20000.0,4,160,1442500,1482500,40000,141.44226035,262.1543575948104,1503,120
1785282316190,1705970,-1,1702500,3470,-1,29.130434,335.791666,356.25,-1,-1,-1,-1,0.106,20000.0,20000.0,20000.0,4,160,1648285,1742500,94215,143.13359606617647,264.6859984727592,1707,136
1785282329072,1961276,-1,1942500,18776,-1,29.130434,341.625,356.25,-1,-1,-1,-1,0.1045,100000.0,22263.6,178682.0,4,160,1942500,2012500,70000,146.0550344,270.6143137574553,2012,160
1785282342059,3106380,-1,3012500,93880,-1,43.0,349.043478,635.730769,-1,-1,-1,-1,0.3715,100000.0,100000.0,100000.0,4,160,3210103,3312500,102397,156.1718429322034,344.428384118051,3058,177
1785282355046,4406380,-1,4312500,93880,-1,50.375,348.25,635.730769,-1,-1,-1,-1,0.3245,100000.0,100000.0,100000.0,4,160,4211238,4612500,401262,157.40212016499999,328.1626011839156,4551,200
1785282368109,5706380,-1,5610075,96305,-1,261.708333,348.25,635.730769,-1,-1,-1,-1,0.3215,100000.0,100000.0,100000.0,4,160,5710599,5912500,201901,168.49584055000003,330.04867925920604,5567,200
1785282381304,7100260,-1,7012500,87760,-1,261.708333,348.25,635.730769,-1,-1,-1,-1,0.343,100000.0,100000.0,100000.0,4,160,6860450,7212500,352050,169.06093168,326.08812270971185,6559,200
1785282394419,8400260,-1,8312500,87760,-1,261.708333,349.043478,635.730769,-1,-1,-1,-1,0.329,100000.0,100000.0,100000.0,4,160,8210530,8512500,301970,170.041563095,322.9519015217279,7755,200
1785282407563,9700260,-1,9612500,87760,-1,261.708333,348.25,635.730769,-1,-1,-1,-1,0.3165,100000.0,100000.0,100000.0,4,160,9712500,9912500,200000,169.84278663499998,318.65412201254424,8769,200
1785282420707,11000260,-1,10912500,87760,-1,261.708333,346.825,635.730769,-1,-1,-1,-1,0.295,100000.0,99506.0,102470.0,4,160,10712500,11212500,500000,169.619847805,316.32427673877385,9754,200
1785282433936,12306380,-1,12210030,96350,-1,261.708333,346.0,635.730769,-1,-1,-1,-1,0.2765,100000.0,100000.0,100000.0,4,160,12210500,12512500,302000,170.06733431,314.40796151990503,10952,200
1785282447099,13606380,-1,13512500,93880,-1,274.179487,345.638655,635.730769,-1,-1,-1,-1,0.3125,100000.0,99973.0,101421.0,4,160,13711837,13812500,100663,170.40428231,313.1489700574273,11754,200
1785282460354,15000260,-1,14910030,90230,-1,274.179487,341.754237,347.966101,-1,-1,-1,-1,0.2955,100000.0,100150.4,100000.0,4,160,14712500,15112500,400000,162.47041678,296.90355036900195,12504,200
1785282473726,16300260,-1,16212500,87760,-1,274.179487,341.754237,349.128205,-1,-1,-1,-1,0.304,100000.0,99762.4,103658.0,4,160,16210385,16512500,302115,162.620349115,296.9456212754098,12505,200
1785282487007,18212752,-1,18073863,138889,-1,274.179487,343.245762,1104.523404,-1,-1,-1,-1,0.5875,200000.0,235111.0,212653.0,4,160,18315873,18625000,309127,178.75883994999998,349.91626748062976,12958,200
