timestamp,totalEvents,deltaEvents,remainingEvents,baselineOffsetTotal
1785282226557,0,0,47000000,0
1785282227557,0,0,47000000,0
1785282228557,0,0,47000000,0
1785282229557,0,0,47000000,0
1785282230558,0,0,47000000,0
1785282231558,0,0,47000000,0
1785282232558,0,0,47000000,0
1785282233559,2500,2500,46997500,0
1785282234559,22500,20000,46977500,0
1785282235559,42500,20000,46957500,0
1785282236559,62500,20000,46937500,0
1785282237559,82500,20000,46917500,0
1785282238559,102500,20000,46897500,0
1785282239559,122500,20000,46877500,0
1785282240559,142500,20000,46857500,0
1785282241559,162500,20000,46837500,0
1785282242559,182500,20000,46817500,0
1785282243559,202500,20000,46797500,0
1785282244559,222500,20000,46777500,0
1785282245559,242500,20000,46757500,0
1785282246559,262500,20000,46737500,0
1785282247559,282500,20000,46717500,0
1785282248560,302500,20000,46697500,0
1785282249561,322500,20000,46677500,0
1785282250561,342500,20000,46657500,0
1785282251561,362500,20000,46637500,0
1785282252561,382500,20000,46617500,0
1785282253561,402500,20000,46597500,0
1785282254562,422500,20000,46577500,0
1785282255563,442500,20000,46557500,0
1785282256563,462500,20000,46537500,0
1785282257564,482500,20000,46517500,0
1785282258564,502500,20000,46497500,0
1785282259564,522500,20000,46477500,0
1785282260564,542500,20000,46457500,0
1785282261564,562500,20000,46437500,0
1785282262564,582500,20000,46417500,0
1785282263564,602500,20000,46397500,0
1785282264564,622500,20000,46377500,0
1785282265564,642500,20000,46357500,0
1785282266564,662500,20000,46337500,0
1785282267564,682500,20000,46317500,0
1785282268564,702500,20000,46297500,0
1785282269564,722500,20000,46277500,0
1785282270565,742500,20000,46257500,0
1785282271565,762500,20000,46237500,0
1785282272566,782500,20000,46217500,0
1785282273566,802500,20000,46197500,0
1785282274566,822500,20000,46177500,0
1785282275566,842500,20000,46157500,0
1785282276566,862500,20000,46137500,0
1785282277566,882500,20000,46117500,0
1785282278566,902500,20000,46097500,0
1785282279567,922500,20000,46077500,0
1785282280567,942500,20000,46057500,0
1785282281567,962500,20000,46037500,0
