timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1785282225981,nexmark-auction,0,0,0,0
1785282225981,nexmark-bid,0,0,0,0
1785282238659,nexmark-auction,7497,8721,12393,3672
1785282238659,nexmark-bid,152555,133779,190107,56328
1785282251622,nexmark-auction,23409,27081,28305,1224
1785282251622,nexmark-bid,396643,415225,434195,18970
1785282264491,nexmark-auction,39321,39321,44217,4896
1785282264491,nexmark-bid,640731,602985,678283,75298
1785282277310,nexmark-auction,55233,57681,58905,1224
1785282277310,nexmark-bid,884819,884431,903595,19164
1785282290339,nexmark-auction,71145,69921,74817,4896
1785282290339,nexmark-bid,1128907,1072579,1147683,75104
1785282303219,nexmark-auction,87057,88281,90729,2448
1785282303219,nexmark-bid,1372995,1354219,1391771,37552
1785282316190,nexmark-auction,102969,106641,106641,0
1785282316190,nexmark-bid,1603001,1541644,1635859,94215
1785282329072,nexmark-auction,118881,118881,123165,4284
1785282329072,nexmark-bid,1842395,1823619,1889335,65716
1785282342059,nexmark-auction,184365,196605,202725,6120
1785282342059,nexmark-bid,2922015,3013498,3109775,96277
1785282355046,nexmark-auction,263925,257805,282285,24480
1785282355046,nexmark-bid,4142455,3953433,4330215,376782
1785282368109,nexmark-auction,343485,349605,361845,12240
1785282368109,nexmark-bid,5362895,5360994,5550655,189661
1785282381304,nexmark-auction,423045,441405,441405,0
1785282381304,nexmark-bid,6677215,6419045,6771095,352050
1785282394419,nexmark-auction,502605,502605,520965,18360
1785282394419,nexmark-bid,7897655,7707925,7991535,283610
1785282407563,nexmark-auction,582165,594405,606645,12240
1785282407563,nexmark-bid,9118095,9118095,9305855,187760
1785282420707,nexmark-auction,661725,655605,686205,30600
1785282420707,nexmark-bid,10338535,10056895,10526295,469400
1785282433936,nexmark-auction,747405,747405,765765,18360
1785282433936,nexmark-bid,11558975,11463095,11746735,283640
1785282447099,nexmark-auction,826965,839205,845325,6120
1785282447099,nexmark-bid,12779415,12872632,12967175,94543
1785282460354,nexmark-auction,906525,900405,924885,24480
1785282460354,nexmark-bid,14093735,13812095,14187615,375520
1785282473726,nexmark-auction,986085,992205,1010565,18360
1785282473726,nexmark-bid,15314175,15218180,15501935,283755
1785282487007,nexmark-auction,1103171,1127667,1139915,12248
1785282487007,nexmark-bid,17109581,17188206,17485085,296879
1785282500442,nexmark-auction,1262395,1250147,1302201,52054
1785282500442,nexmark-bid,19738109,19174853,19947634,772781
1785282513871,nexmark-auction,1433867,1433867,1470611,36744
1785282513871,nexmark-bid,22178885,21989966,22554389,564423
1785282527592,nexmark-auction,1593091,1617587,1641994,24407
1785282527592,nexmark-bid,24807413,24807413,25116938,309525
1785282541159,nexmark-auction,1764563,1801307,1801307,0
1785282541159,nexmark-bid,27248189,26684933,27623693,938760
1785282554685,nexmark-auction,1923787,1923787,1972779,48992
1785282554685,nexmark-bid,29876717,29501213,30252221,751008
1785282568171,nexmark-auction,2095259,2107507,2132003,24496
1785282568171,nexmark-bid,32317493,32317493,32692997,375504
1785282581738,nexmark-auction,2254483,2291227,2303475,12248
1785282581738,nexmark-bid,34946021,35133773,35321525,187752
1785282595371,nexmark-auction,2425955,2413707,2474947,61240
1785282595371,nexmark-bid,37574549,37011293,37948600,937307
1785282609139,nexmark-auction,2597427,2597427,2634171,36744
1785282609139,nexmark-bid,40015325,39790947,40390829,599882
1785282622700,nexmark-auction,2756651,2781147,2805643,24496
1785282622700,nexmark-bid,42643853,42640910,43019357,378447
1785282636460,nexmark-auction,2877600,2877600,2877600,0
1785282636460,nexmark-bid,44122400,44122400,44122400,0
1785282650273,nexmark-auction,2877600,2877600,2877600,0
1785282650273,nexmark-bid,44122400,44122400,44122400,0
1785282664136,nexmark-auction,2877600,2877600,2877600,0
1785282664136,nexmark-bid,44122400,44122400,44122400,0
1785282677925,nexmark-auction,2877600,2877600,2877600,0
1785282677925,nexmark-bid,44122400,44122400,44122400,0
