timestamp,jobId,taskId,idleTimeNs,kafkaQueueTimeNs,kafkaQueueTimeAvgNs,kafkaQueueTimeMaxNs,kafkaQueueSamples,inputRate,recordsRead
1785282233019,unknown,Stage0-0-0,151706743378,0,-1,0,0,0.01,1
1785282233019,unknown,Stage3-0-0,151706237646,0,-1,0,0,0.01,1
1785282234005,unknown,Stage3-3-0,152708754441,0,-1,0,0,0.01,1
1785282234006,unknown,Stage0-3-0,152683190266,0,-1,0,0,0.01,1
1785282234043,unknown,Stage3-2-0,152733137214,0,-1,0,0,0.01,1
1785282234045,unknown,Stage3-1-0,152705058670,0,-1,0,0,0.01,1
1785282234065,unknown,Stage0-1-0,152748405880,0,-1,0,0,0.01,1
1785282234080,unknown,Stage0-2-0,152799923894,0,-1,0,0,0.01,1
1785282238060,unknown,Stage3-0-0,4881884995,0,4000000,4000000,1,303.51,1531
1785282238061,unknown,Stage0-0-0,4143896488,0,66304347,241000000,23,4575.76,23072
1785282239005,unknown,Stage3-3-0,4869120155,0,5000000,5000000,1,306.00,1531
1785282239006,unknown,Stage0-3-0,4138307009,0,75565217,266000000,23,4694.00,23471
1785282239045,unknown,Stage3-2-0,4900584500,0,5000000,5000000,1,305.88,1531
1785282239046,unknown,Stage3-1-0,4910418317,0,5000000,5000000,1,305.94,1531
1785282239065,unknown,Stage0-1-0,4171106934,0,71680000,234000000,25,5097.60,25489
1785282239083,unknown,Stage0-2-0,4146751608,0,73080000,233000000,25,5041.58,25224
1785282243063,unknown,Stage3-0-0,4971818421,0,5000000,6000000,2,305.82,3061
1785282243064,unknown,Stage0-0-0,4363683466,0,29130434,149000000,23,4770.94,46941
1785282244007,unknown,Stage3-3-0,4972013797,0,4000000,5000000,2,305.88,3061
1785282244008,unknown,Stage0-3-0,4235379278,0,57695652,206000000,23,4692.12,46941
1785282244049,unknown,Stage3-2-0,4971701632,0,4500000,5000000,2,305.76,3061
1785282244049,unknown,Stage3-1-0,4969385884,0,4500000,5000000,2,305.82,3061
1785282244065,unknown,Stage0-1-0,4258982595,0,52608695,149000000,23,4544.80,48213
1785282244163,unknown,Stage0-2-0,4276092319,0,55166666,187000000,24,4832.68,49774
1785282248064,unknown,Stage0-0-0,2771819051,0,207681818,636000000,22,4374.40,68813
1785282248067,unknown,Stage3-0-0,4973677890,0,3000000,3000000,1,305.76,4591
1785282249010,unknown,Stage3-3-0,4973492461,0,4000000,4000000,1,305.82,4591
1785282249011,unknown,Stage0-3-0,2121088455,0,260125000,678000000,24,4691.19,70411
1785282249052,unknown,Stage3-1-0,4970718952,0,4000000,4000000,1,305.82,4591
1785282249052,unknown,Stage3-2-0,4974763945,0,4000000,4000000,1,305.82,4591
1785282249163,unknown,Stage0-1-0,2128010629,0,294565217,687000000,23,4471.95,71011
1785282249202,unknown,Stage0-2-0,2109770153,0,304227272,722000000,22,4333.60,71611
1785282253069,unknown,Stage3-0-0,4971435488,0,4500000,5000000,2,305.88,6121
1785282253141,unknown,Stage0-0-0,1581367188,0,276916666,632000000,24,4711.64,92734
1785282254014,unknown,Stage3-3-0,4974838500,0,5000000,6000000,2,305.76,6121
1785282254014,unknown,Stage0-3-0,1550262905,0,313608695,731000000,23,4691.19,93881
1785282254055,unknown,Stage3-1-0,4967677523,0,4000000,4000000,2,305.82,6121
1785282254055,unknown,Stage3-2-0,4972928339,0,4500000,5000000,2,305.82,6121
1785282254243,unknown,Stage0-1-0,1578885509,0,324750000,723000000,24,4738.19,95081
1785282254263,unknown,Stage0-2-0,1522338390,0,323125000,698000000,24,4637.42,95081
1785282258071,unknown,Stage3-0-0,4970302036,0,6000000,6000000,1,305.88,7651
1785282258221,unknown,Stage0-0-0,1594955176,0,301333333,633000000,24,4738.19,116804
1785282259016,unknown,Stage3-3-0,4966037609,0,5000000,5000000,1,305.88,7651
1785282259018,unknown,Stage0-3-0,1405363128,0,309583333,688000000,24,4690.25,117351
1785282259058,unknown,Stage3-1-0,4969525585,0,4000000,4000000,1,305.82,7651
1785282259058,unknown,Stage3-2-0,4971224833,0,5000000,5000000,1,305.82,7651
1785282259263,unknown,Stage0-1-0,1551977485,0,324043478,745000000,23,4675.30,118551
1785282259342,unknown,Stage0-2-0,1475375726,0,334260869,716000000,23,4709.19,118999
1785282263073,unknown,Stage3-0-0,4970893139,0,24500000,45000000,2,305.88,9181
1785282263241,unknown,Stage0-0-0,1711479695,0,280041666,611000000,24,4675.30,140274
1785282264019,unknown,Stage3-3-0,4972292976,0,4500000,5000000,2,305.82,9181
1785282264020,unknown,Stage0-3-0,1544075299,0,331000000,708000000,23,4692.12,140821
1785282264062,unknown,Stage3-2-0,4972715937,0,4000000,4000000,2,305.76,9181
1785282264062,unknown,Stage3-1-0,4928698416,0,3500000,4000000,2,305.76,9181
1785282264283,unknown,Stage0-1-0,1588277033,0,319916666,739000000,24,4786.85,142581
1785282264362,unknown,Stage0-2-0,1336529796,0,341625000,773000000,24,4705.58,142621
1785282268076,unknown,Stage3-0-0,4973965053,0,4000000,4000000,1,305.82,10711
1785282268282,unknown,Stage0-0-0,1620977856,0,282173913,667000000,23,4655.82,163744
1785282269022,unknown,Stage3-3-0,4973823367,0,4000000,4000000,1,305.82,10711
1785282269023,unknown,Stage0-3-0,1357982130,0,320791666,682000000,24,4691.19,164291
1785282269064,unknown,Stage3-2-0,4975332001,0,4000000,4000000,1,305.88,10711
1785282269065,unknown,Stage3-1-0,4972903095,0,4000000,4000000,1,305.82,10711
1785282269283,unknown,Stage0-1-0,1585101279,0,322826086,696000000,23,4650.00,165831
1785282269423,unknown,Stage0-2-0,1483694599,0,323000000,715000000,24,4755.98,166691
1785282273079,unknown,Stage3-0-0,4968402671,0,5000000,6000000,2,305.82,12241
1785282273342,unknown,Stage0-0-0,1549175919,0,291166666,641000000,24,4756.92,187814
1785282274025,unknown,Stage3-3-0,4972429000,0,4500000,5000000,2,305.82,12241
1785282274026,unknown,Stage0-3-0,1632548796,0,282130434,660000000,23,4691.19,187761
1785282274068,unknown,Stage3-2-0,4977932446,0,4500000,5000000,2,305.76,12241
1785282274069,unknown,Stage3-1-0,4973641446,0,4500000,5000000,2,305.76,12241
1785282274323,unknown,Stage0-1-0,1525500187,0,302250000,714000000,24,4708.33,189561
1785282274483,unknown,Stage0-2-0,1557415247,0,308083333,688000000,24,4683.40,190389
1785282278081,unknown,Stage3-0-0,4975193126,0,5000000,5000000,1,305.88,13771
1785282278421,unknown,Stage0-0-0,1626172119,0,284375000,590000000,24,4620.99,211284
1785282279029,unknown,Stage3-3-0,4977228857,0,5000000,5000000,1,305.76,13771
1785282279029,unknown,Stage0-3-0,1374796756,0,328750000,733000000,24,4691.19,211231
1785282279071,unknown,Stage3-2-0,4970105065,0,6000000,6000000,1,305.82,13771
1785282279072,unknown,Stage3-1-0,4976106136,0,5000000,5000000,1,305.82,13771
1785282279404,unknown,Stage0-1-0,1422318411,0,351083333,749000000,24,4619.17,213031
1785282279543,unknown,Stage0-2-0,1456372581,0,335791666,746000000,24,4711.86,214231
1785282283084,unknown,Stage3-0-0,4976013314,0,3500000,4000000,2,305.82,15301
1785282283461,unknown,Stage0-0-0,1642732244,0,278583333,649000000,24,4775.79,235354
1785282284032,unknown,Stage3-3-0,4976833069,0,3500000,4000000,2,305.82,15301
1785282284032,unknown,Stage0-3-0,1383322516,0,333304347,756000000,23,4691.19,234701
1785282284074,unknown,Stage3-2-0,4972136440,0,4000000,5000000,2,305.82,15301
1785282284075,unknown,Stage3-1-0,4974543283,0,4000000,4000000,2,305.82,15301
1785282284423,unknown,Stage0-1-0,1394954503,0,331916666,745000000,24,4795.78,237101
1785282284546,unknown,Stage0-2-0,1457492716,0,324826086,703000000,23,4691.19,237701
1785282288087,unknown,Stage3-0-0,4978048180,0,5000000,5000000,1,305.82,16831
1785282288482,unknown,Stage0-0-0,1636257662,0,300043478,656000000,23,4674.37,258824
1785282289035,unknown,Stage3-3-0,4974764549,0,5000000,5000000,1,305.82,16831
1785282289036,unknown,Stage0-3-0,1419839140,0,334166666,752000000,24,4690.25,258171
