timestamp,jobId,taskId,idleTimeNs,kafkaQueueTimeNs,kafkaQueueTimeAvgNs,kafkaQueueTimeMaxNs,kafkaQueueSamples,inputRate,recordsRead
1784664226645,unknown,Stage0-2-0,147634467641,0,-1,0,0,0.18,26
1784664226645,unknown,Stage0-3-0,147632026669,0,-1,0,0,0.17,25
1784664226645,unknown,Stage0-0-0,147643086960,0,-1,0,0,0.17,26
1784664226645,unknown,Stage0-1-0,147622835215,0,-1,0,0,0.18,27
1784664232237,unknown,Stage0-2-0,5053562232,0,37666666,137000000,30,5364.81,30026
1784664232237,unknown,Stage0-0-0,5044449969,0,39766666,137000000,30,5364.81,30026
1784664232237,unknown,Stage0-3-0,5000350918,0,44166666,143000000,30,5364.81,30025
1784664232237,unknown,Stage0-1-0,5009092426,0,44200000,143000000,30,5364.81,30027
1784664237238,unknown,Stage0-3-0,4724940792,0,26160000,47000000,25,4999.60,55028
1784664237238,unknown,Stage0-1-0,4747854784,0,22240000,42000000,25,4998.40,55024
1784664237238,unknown,Stage0-2-0,4767006232,0,19640000,31000000,25,4999.20,55027
1784664237238,unknown,Stage0-0-0,4766482730,0,18960000,29000000,25,4998.80,55025
1784664242239,unknown,Stage0-1-0,4728514315,0,24240000,44000000,25,4999.60,80027
1784664242239,unknown,Stage0-3-0,4708059485,0,27280000,49000000,25,4998.40,80025
1784664242239,unknown,Stage0-0-0,4783214540,0,17520000,30000000,25,4999.20,80026
1784664242239,unknown,Stage0-2-0,4744725879,0,21160000,34000000,25,4998.80,80026
1784664247239,unknown,Stage0-1-0,4750064078,0,21600000,44000000,25,4999.40,105024
1784664247239,unknown,Stage0-3-0,4747165914,0,22480000,44000000,25,5000.60,105028
1784664247239,unknown,Stage0-0-0,4783032136,0,17480000,28000000,25,4999.80,105025
1784664247239,unknown,Stage0-2-0,4746775948,0,22520000,34000000,25,5000.20,105027
1784664252239,unknown,Stage0-1-0,4747204847,0,22720000,49000000,25,5010.40,130076
1784664252239,unknown,Stage0-2-0,4739928647,0,23160000,38000000,25,5008.60,130070
1784664252239,unknown,Stage0-3-0,4750887757,0,23120000,47000000,25,4999.40,130025
1784664252239,unknown,Stage0-0-0,4788037842,0,18080000,30000000,25,5000.20,130026
1784664257240,unknown,Stage0-0-0,4796062771,0,12600000,31000000,25,4998.80,155025
1784664257240,unknown,Stage0-1-0,4767718266,0,22120000,36000000,25,4988.60,155024
1784664257240,unknown,Stage0-2-0,4767853830,0,22240000,34000000,25,4990.40,155027
1784664257240,unknown,Stage0-3-0,4762581807,0,23120000,35000000,25,4999.60,155028
1784664262240,unknown,Stage0-3-0,4759714640,0,23440000,41000000,25,4999.40,180025
1784664262240,unknown,Stage0-1-0,4762038072,0,21760000,34000000,25,5000.60,180027
1784664262240,unknown,Stage0-2-0,4766854543,0,21800000,34000000,25,4999.80,180026
1784664262240,unknown,Stage0-0-0,4797184027,0,9000000,31000000,25,5000.20,180026
1784664267240,unknown,Stage0-1-0,4764445288,0,21920000,34000000,25,4999.40,205024
1784664267240,unknown,Stage0-2-0,4768364100,0,21400000,34000000,25,5000.20,205027
1784664267240,unknown,Stage0-3-0,4763957553,0,22040000,34000000,25,5000.60,205028
1784664267240,unknown,Stage0-0-0,4785812061,0,16320000,32000000,25,4999.80,205025
1784664272240,unknown,Stage0-3-0,4776783227,0,20240000,33000000,25,4999.40,230025
1784664272240,unknown,Stage0-1-0,4777637075,0,19680000,31000000,25,5000.60,230027
1784664272240,unknown,Stage0-0-0,4786482881,0,19720000,31000000,25,5000.20,230026
1784664272240,unknown,Stage0-2-0,4782236930,0,19920000,32000000,25,4999.80,230026
1784664277240,unknown,Stage0-3-0,4784951936,0,18440000,30000000,25,5012.20,255086
1784664277240,unknown,Stage0-1-0,4789308167,0,16840000,28000000,25,5014.80,255101
1784664277240,unknown,Stage0-0-0,4785267377,0,17760000,32000000,25,5009.20,255072
1784664277240,unknown,Stage0-2-0,4789057093,0,17600000,29000000,25,5014.00,255096
1784664282240,unknown,Stage0-1-0,4791487369,0,16480000,27000000,25,4985.20,280027
1784664282240,unknown,Stage0-2-0,4791717367,0,16960000,26000000,25,4986.00,280026
1784664282240,unknown,Stage0-3-0,4787743085,0,17920000,29000000,25,4987.80,280025
1784664282240,unknown,Stage0-0-0,4789652336,0,17360000,28000000,25,4990.80,280026
1784664287240,unknown,Stage0-1-0,4788523368,0,16160000,25000000,25,4999.40,305024
1784664287240,unknown,Stage0-3-0,4785866121,0,17480000,27000000,25,5000.60,305028
1784664287240,unknown,Stage0-2-0,4802396610,0,10640000,26000000,25,5000.20,305027
1784664287240,unknown,Stage0-0-0,4787473434,0,17400000,27000000,25,4999.80,305025
1784664292240,unknown,Stage0-2-0,4758494279,0,15040000,52000000,25,5010.40,330079
1784664292240,unknown,Stage0-3-0,4750435431,0,15600000,54000000,25,5011.40,330085
1784664292240,unknown,Stage0-0-0,4759967737,0,15720000,53000000,25,5006.80,330059
1784664292240,unknown,Stage0-1-0,4756595263,0,14640000,53000000,25,5015.20,330100
1784664297240,unknown,Stage0-1-0,4786990286,0,9720000,17000000,25,4984.80,355024
1784664297240,unknown,Stage0-2-0,4788552747,0,10240000,17000000,25,4989.60,355027
1784664297240,unknown,Stage0-3-0,4783509295,0,12360000,20000000,25,4988.60,355028
1784664297240,unknown,Stage0-0-0,4793618208,0,10240000,18000000,25,4993.20,355025
1784664302240,unknown,Stage0-1-0,4784525776,0,9720000,18000000,25,5000.60,380027
1784664302240,unknown,Stage0-3-0,4782522781,0,9920000,19000000,25,4999.40,380025
1784664302240,unknown,Stage0-2-0,4785731281,0,9280000,19000000,25,4999.80,380026
