timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors,consumerCommittedOffset,consumerLogEndOffset,consumerLag,kafkaQueueTimeUnweightedMeanMs,kafkaQueueTimeWeightedMeanMs,kafkaQueueTimeTotalSamples,kafkaQueueTimeValidTasks
1784664225569,40100,-1,40100,0,-1,-1,-1,-1,1.0,1.0,1.0,764.0,0.2535,20000.0,20000.0,-100.0,4,160,-1,-1,-1,-1,-1,-1,-1
1784664239530,320100,-1,320100,0,-1,26.16,44.166666,44.2,1.0,1.0,1.0,764.0,0.2215,20000.0,20000.0,-100.0,4,160,-1,-1,-1,28.58333316666667,29.3874998125,320,12
1784664253730,600100,-1,600100,0,-1,22.52,44.166666,44.2,1.0,1.0,1.0,764.0,0.222,20000.0,20000.0,-100.0,4,160,-1,-1,-1,24.75999991666667,25.298387,620,24
1784664269306,900100,-1,900100,0,-1,22.04,39.766666,44.2,1.0,1.0,1.0,764.0,0.217,20000.0,20000.0,-100.0,4,160,-1,-1,-1,23.09666661111111,23.49565210869565,920,36
1784664283365,1200100,-1,1200100,0,-1,21.16,39.766666,44.2,1.0,1.0,1.0,764.0,0.1815,20000.0,20000.0,-100.0,4,160,-1,-1,-1,21.510833291666668,21.83770486885246,1220,48
1784664297477,1480100,-1,1480100,0,-1,18.96,37.666666,44.166666,1.0,1.0,1.0,764.0,0.179,20000.0,20000.0,-100.0,4,160,-1,-1,-1,19.580666633333333,19.868421013157892,1520,60
1784664311558,1760100,-1,1760100,0,-1,17.52,27.28,44.166666,1.0,1.0,1.0,764.0,0.187,20000.0,20000.0,-100.0,4,160,-1,-1,-1,17.908333305555555,18.167032934065933,1820,72
1784664325682,2200100,-1,2200100,0,-1,17.76,40.08,53.32,1.0,1.0,1.0,764.0,0.5365,100000.0,100000.0,-100.0,4,160,-1,-1,-1,19.14874070238095,23.697307648076922,2600,84
1784664339822,3600100,-1,3600100,0,-1,18.96,44.976,53.32,1.0,1.0,1.0,764.0,0.53,100000.0,100000.0,-100.0,4,160,-1,-1,-1,21.299719771739127,29.304999968055554,3600,92
1784664354162,5000100,-1,5000100,0,-1,21.16,46.648,53.32,1.0,1.0,1.0,764.0,0.543,100000.0,100000.0,-100.0,4,160,-1,-1,-1,23.68152133653846,33.02176468333333,5100,104
1784664368362,6500100,-1,6500100,0,-1,22.04,46.648,53.32,1.0,1.0,1.0,764.0,0.549,100000.0,100000.0,-100.0,4,160,-1,-1,-1,25.4486053362069,34.78121210378788,6600,116
1784664382529,7900100,-1,7900100,0,-1,22.72,46.648,53.32,1.0,1.0,1.0,764.0,0.513,100000.0,87050.8,64646.0,4,160,-1,-1,-1,26.4864235859375,35.10296294876544,8100,128
1784664396734,9300100,-1,9236100,64000,-1,24.24,328.696,346.576,0.0,0.0,0.0,2820.0,0.5365,100000.0,100000.0,63900.0,4,160,-1,-1,-1,52.86227299285714,81.8376041546875,9600,140
1784664410638,10700100,-1,10635413,64687,-1,26.16,332.248,346.576,145.0,145.0,145.0,2963.0,0.53,100000.0,100137.4,63900.0,4,160,-1,-1,-1,67.82063661486487,105.21066036650944,10600,148
1784664424513,12100100,-1,12036100,64000,-1,34.352,335.608,342.248,0.0,0.0,0.0,2833.0,0.5485,100000.0,100027.4,63763.0,4,160,-1,-1,-1,87.54043886875,133.17024792438016,12100,160
1784664438450,13500100,-1,13436100,64000,-1,37.472,335.608,342.248,7.0,7.0,7.0,2948.0,0.546,100000.0,99742.6,65187.0,4,160,-1,-1,-1,104.33547801744186,154.68852940330882,13600,172
1784664452398,14900100,-1,14832497,67603,-1,38.552,336.392,342.248,154.0,154.0,154.0,2826.0,0.5495,100000.0,100720.6,63900.0,4,160,-1,-1,-1,118.74877292934782,171.64059601887416,15100,184
1784664466390,16290121,-1,16234261,55860,-1,39.528,336.392,342.248,64.0,64.0,64.0,2808.0,0.5495,100000.0,100367.8,63900.0,4,160,-1,-1,-1,131.522276627551,185.71367469186748,16600,196
1784664480274,18200100,-1,18059827,140273,-1,40.08,342.248,1581.125683,2005.0,2005.0,2005.0,3521.0,0.011,200000.0,200565.2,494439.0,4,160,-1,-1,-1,166.56390137,249.80560092139515,17747,200
1784664494298,21001198,-1,20763094,238104,-1,44.976,1581.125683,2335.861111,1268.0,1268.0,1268.0,20930.0,0.01,200000.0,185560.4,509105.0,4,160,-1,-1,-1,271.40589847,476.6506242520401,20342,200
1784664508194,23800100,-1,23708652,91448,-1,308.704,1784.747252,2338.809027,327.0,327.0,327.0,2139.0,0.01,200000.0,225497.8,163859.0,4,160,-1,-1,-1,370.405800855,656.9227490137629,23469,200
1784664522054,26600100,-1,26456165,143935,-1,322.392,1784.747252,2338.809027,48.0,48.0,48.0,1133.0,0.008,200000.0,198566.0,139450.0,4,160,-1,-1,-1,394.12503390499995,636.479183928305,26278,200
