timestamp,outputRate,totalSent,elapsedMs,targetRate,phase
1784664230639,19900.50,100000,5025,20000,1
1784664235643,19942.17,200000,10029,20000,1
1784664240644,19960.08,300000,15030,20000,1
1784664245646,19968.05,400000,20032,20000,1
1784664250648,19972.84,500000,25034,20000,1
1784664255650,19976.03,600000,30036,20000,1
1784664260651,19978.88,700000,35037,20000,1
1784664265653,19980.52,800000,40039,20000,1
1784664270654,19982.24,900000,45040,20000,1
1784664275655,19983.61,1000000,50041,20000,1
1784664280657,19984.38,1100000,55043,20000,1
1784664285658,19985.34,1200000,60044,20000,1
1784664290659,19986.16,1300000,65045,20000,1
1784664295661,19986.58,1400000,70047,20000,1
1784664300662,19987.21,1500000,75048,20000,1
1784664305663,19987.76,1600000,80049,20000,1
1784664310665,19988.01,1700000,85051,20000,1
1784664315666,19988.45,1800000,90052,20000,1
1784664320667,19988.85,1900000,95053,20000,1
1784664325668,19989.21,2000000,100054,100000,2
1784664330669,23797.06,2500000,105055,100000,2
1784664335671,27258.60,3000000,110057,100000,2
1784664340672,30419.44,3500000,115058,100000,2
1784664345673,33316.95,4000000,120059,100000,2
1784664350674,35982.73,4500000,125060,100000,2
1784664355676,38443.20,5000000,130062,100000,2
1784664360677,40721.74,5500000,135063,100000,2
1784664365678,42837.56,6000000,140064,100000,2
1784664370679,44807.50,6500000,145065,100000,2
1784664375680,46646.14,7000000,150066,100000,2
1784664380682,48365.88,7500000,155068,100000,2
1784664385683,49978.45,8000000,160069,100000,2
1784664390684,51493.31,8500000,165070,100000,2
1784664395685,52919.07,9000000,170071,100000,2
1784664400686,54263.39,9500000,175072,100000,2
1784664405688,55532.73,10000000,180074,100000,2
1784664410689,56733.76,10500000,185075,100000,2
1784664415690,57871.59,11000000,190076,100000,2
1784664420691,58951.08,11500000,195077,100000,2
1784664425692,59976.61,12000000,200078,100000,2
1784664430694,60951.82,12500000,205080,100000,2
1784664435695,61880.89,13000000,210081,100000,2
1784664440696,62766.76,13500000,215082,100000,2
1784664445698,63612.08,14000000,220084,100000,2
1784664450699,64420.11,14500000,225085,100000,2
1784664455700,65193.01,15000000,230086,100000,2
1784664460701,65933.04,15500000,235087,100000,2
1784664465702,66642.23,16000000,240088,100000,2
1784664470703,67322.48,16500000,245089,100000,2
1784664475705,67975.26,17000000,250091,200000,3
1784664480706,70562.78,18000000,255092,200000,3
1784664485707,73050.79,19000000,260093,200000,3
1784664490708,75444.94,20000000,265094,200000,3
1784664495709,77750.42,21000000,270095,200000,3
1784664500710,79972.08,22000000,275096,200000,3
1784664505711,82114.41,23000000,280097,200000,3
1784664510713,84181.28,24000000,285099,200000,3
1784664515714,86177.18,25000000,290100,200000,3
1784664520715,88105.43,26000000,295101,200000,3
1784664525716,89969.41,27000000,300102,200000,3
1784664530717,91772.29,28000000,305103,200000,3
1784664535718,93517.01,29000000,310104,200000,3
1784664540719,95206.36,30000000,315105,200000,3
1784664545720,96842.92,31000000,320106,200000,3
1784664550722,98428.83,32000000,325108,200000,3
1784664555723,99966.98,33000000,330109,200000,3
1784664560724,101459.22,34000000,335110,200000,3
1784664565725,102907.58,35000000,340111,200000,3
1784664570726,104313.96,36000000,345112,200000,3
1784664575727,105680.17,37000000,350113,200000,3
1784664580728,107007.89,38000000,355114,200000,3
1784664585730,108298.44,39000000,360116,200000,3
1784664590731,109553.92,40000000,365117,200000,3
1784664595732,110775.48,41000000,370118,200000,3
1784664600733,111964.47,42000000,375119,200000,3
1784664605734,113122.17,43000000,380120,200000,3
1784664610735,114249.81,44000000,385121,200000,3
1784664615736,115348.53,45000000,390122,200000,3
1784664620737,116419.44,46000000,395123,200000,3
1784664625738,117463.59,47000000,400124,200000,3
1784664626301,117298.83,47000000,400686,200000,3
