timestamp,outputRate,totalSent,elapsedMs
1781924236695,49583.50,250000,5042
1781924241699,49771.05,500000,10046
1781924246701,49840.51,750000,15048
1781924251704,49872.82,1000000,20051
1781924256707,49892.23,1250000,25054
1781924261709,49906.84,1500000,30056
1781924266712,49915.86,1750000,35059
1781924271713,49925.11,2000000,40060
1781924276715,49931.21,2250000,45062
1781924281717,49936.08,2500000,50064
1781924286719,49940.07,2750000,55066
1781924291721,49943.40,3000000,60068
1781924296722,49946.98,3250000,65069
1781924301724,49949.34,3500000,70071
1781924306726,49951.38,3750000,75073
1781924311727,49953.79,4000000,80074
1781924316729,49955.33,4250000,85076
1781924321731,49956.70,4500000,90078
1781924326732,49958.46,4750000,95079
1781924331734,49959.53,5000000,100081
1781924336735,49960.98,5250000,105082
1781924341737,49961.85,5500000,110084
1781924346738,49963.07,5750000,115085
1781924351740,49963.78,6000000,120087
1781924356742,55960.16,7000000,125089
1781924361744,61495.41,8000000,130091
1781924366745,66621.27,9000000,135092
1781924371747,71379.93,9999900,140094
1781924372130,71185.32,9999900,140477
