timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1781925541082,100100,30376,82258,17842,69724,649.5,673.75,673.75,-1,-1,-1,-1,0.0108,0.0,0.0,16218104.0,8,0
1781925553010,700100,709100,667840,32260,0,631.75,1100.185185,1127.939759,-1,-1,-1,-1,0.0133,0.0,0.0,16218104.0,8,0
1781925565355,1300100,1356895,1267200,32900,0,350.709677,1100.185185,1127.939759,-1,-1,-1,-1,0.014,0.0,0.0,16218104.0,8,0
1781925578455,1950100,2008503,1915222,34878,0,351.63492,1093.457831,1127.939759,-1,-1,-1,-1,0.13,50000.0,50422.2,32667.0,8,170
1781925591655,2600100,2656784,2564989,35111,0,351.63492,1093.457831,1127.939759,-1,-1,-1,-1,0.1433,50000.0,49722.2,36400.0,8,170
1781925605207,3300100,3359212,3265957,34143,0,351.435483,1070.746987,1100.185185,-1,-1,-1,-1,0.1365,50000.0,49645.0,35579.0,8,170
1781925617507,3900100,3957931,3866089,34011,0,352.349206,1070.746987,1100.185185,-1,-1,-1,-1,0.1535,50000.0,49824.2,35779.0,8,170
1781925629491,4500100,4557775,4465230,34870,0,352.79365,673.75,1100.185185,-1,-1,-1,-1,0.1463,50000.0,49700.0,36400.0,8,170
1781925641842,5100100,5180013,5065280,34820,0,352.349206,673.75,1100.185185,-1,-1,-1,-1,0.156,50000.0,49664.0,36400.0,8,170
1781925654707,5750100,5806848,5716198,33902,0,351.693548,649.5,1100.185185,-1,-1,-1,-1,0.1488,50000.0,50467.8,33882.0,8,170
1781925666990,7537857,6114123,7271153,266704,1423734,352.428571,673.385714,1100.185185,-1,-1,-1,-1,0.0143,0.0,0.0,16218104.0,8,0
1781925679375,10000000,6176391,7271153,2728847,3823609,352.428571,673.385714,1100.185185,-1,-1,-1,-1,0.0128,0.0,0.0,2728747.0,8,170
1781925692059,10000000,6742654,8561945,1438055,3257346,354.698412,20294.837696,21706.090395,-1,-1,-1,-1,0.012,0.0,130427.8,1189566.0,8,170
1781925705019,10000000,7612702,9617363,382637,2387298,356.222222,23924.210526,27278.935064,-1,-1,-1,-1,0.011,0.0,83171.4,176702.0,8,170
1781925717554,10000000,8985884,10000000,0,1014116,356.222222,23924.210526,27278.935064,-1,-1,-1,-1,0.015,0.0,0.0,-100.0,8,170
1781925730226,10000000,9807267,10000000,0,192733,356.222222,23924.210526,27278.935064,-1,-1,-1,-1,0.0153,0.0,0.0,-100.0,8,170
