timestamp,jobId,executorId,taskId,inputReceiveRate,inputRate,outputRate,processingTimeNs,deserTimeNs,inBytes,serializedTimeNs,outBytes
1781925667978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925667987,unknown,VM-112,Stage1-3-0,0,0,0,0,0,110,0,0
1781925668979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925668987,unknown,VM-112,Stage1-3-0,0,454,0,683743,293893,56330,0,0
1781925669979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925669987,unknown,VM-112,Stage1-3-0,0,0,0,0,0,0,0,0
1781925670979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925670987,unknown,VM-112,Stage1-3-0,0,0,0,0,0,0,0,0
1781925671978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925671987,unknown,VM-112,Stage1-3-0,0,2059,0,814329,98392,257963,0,0
1781925672979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925672987,unknown,VM-112,Stage1-3-0,0,6132,0,574817,135173,764941,0,0
1781925673979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925673987,unknown,VM-112,Stage1-3-0,0,3122,0,254242,63793,388724,0,0
1781925674979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925674988,unknown,VM-112,Stage1-3-0,0,7350,0,638626,217592,919386,0,0
1781925675979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925675987,unknown,VM-112,Stage1-3-0,0,6130,0,514391,114197,763227,0,0
1781925676979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925676987,unknown,VM-112,Stage1-3-0,0,2304,0,195820,39419,285652,0,0
1781925677979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925677988,unknown,VM-112,Stage1-3-0,0,2686,0,179479,60258,334502,0,0
1781925678979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925678987,unknown,VM-112,Stage1-3-0,0,1922,0,184820,7571,240104,0,0
1781925679978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925679987,unknown,VM-112,Stage1-3-0,0,512,0,45526,2590,64035,0,0
1781925680982,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925680987,unknown,VM-112,Stage1-3-0,0,0,0,0,0,0,0,0
1781925681978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925681987,unknown,VM-112,Stage1-3-0,0,0,0,0,0,0,0,0
1781925682979,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925682987,unknown,VM-112,Stage1-3-0,0,0,0,0,0,0,0,0
1781925683978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925683987,unknown,VM-112,Stage1-3-0,0,0,0,0,0,0,0,0
1781925684978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925684987,unknown,VM-112,Stage1-3-0,0,11473,0,744024,46953,1439819,0,0
1781925685978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
1781925685987,unknown,VM-112,Stage1-3-0,0,13867,0,875380,99297,1729722,0,0
1781925686978,unknown,VM-111,Stage1-1-0,0,0,0,0,0,0,0,0
