timestamp,outputRate,totalSent,elapsedMs
1781925546187,49593.33,250000,5041
1781925551191,49776.01,500000,10045
1781925556195,49837.20,750000,15049
1781925561198,49870.34,1000000,20052
1781925566200,49892.23,1250000,25054
1781925571203,49905.18,1500000,30057
1781925576205,49915.86,1750000,35059
1781925581207,49923.87,2000000,40061
1781925586209,49930.10,2250000,45063
1781925591211,49935.08,2500000,50065
1781925596213,49939.17,2750000,55067
1781925601214,49943.40,3000000,60068
1781925606216,49946.21,3250000,65070
1781925611218,49948.62,3500000,70072
1781925616220,49950.72,3750000,75074
1781925621222,49952.55,4000000,80076
1781925626224,49954.16,4250000,85078
1781925631226,49955.60,4500000,90080
1781925636227,49957.40,4750000,95081
1781925641229,49958.53,5000000,100083
1781925646230,49960.03,5250000,105084
1781925651232,49960.94,5500000,110086
1781925656234,49961.77,5750000,115088
1781925661235,49962.94,6000000,120089
1781925666236,55959.71,7000000,125090
1781925671238,61494.94,8000000,130092
1781925676240,66620.28,9000000,135094
1781925681241,71379.42,9999900,140095
1781925681637,71178.73,9999900,140490
