timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1783116536641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0147,50000.0,-1.0,50000,12,0
1783116537640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0324,50000.0,9090.0,90910,17,4
1783116538640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0496,50000.0,50000.0,50000,86,91
1783116539640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0645,50000.0,50000.0,50000,86,160
1783116540640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0772,50000.0,46937.25,62251,81,160
1783116541640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0869,50000.0,50000.0,50000,12,160
1783116542640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.076,50000.0,58182.0,50000,12,160
1783116543640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0655,50000.0,50000.0,50000,12,160
1783116544640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0571,50000.0,50000.0,50000,12,160
1783116545640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0512,50000.0,52450.2,50000,12,160
1783116546640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0485,50000.0,50000.0,50000,12,160
1783116547640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0478,50000.0,50000.0,50000,12,160
1783116548640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0462,50000.0,50000.0,50000,12,160
1783116549640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0447,50000.0,47200.0,64000,12,160
1783116550640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.045,50000.0,46900.0,65500,12,160
1783116551640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0455,50000.0,46700.0,66500,12,160
1783116552640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.046,50000.0,46609.0,66955,12,160
1783116553640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0473,50000.0,46992.0,65040,12,160
1783116554640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0487,50000.0,49736.4,65318,12,160
1783116555640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0487,50000.0,49400.0,68500,12,160
1783116556640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0467,50000.0,50500.0,64000,12,160
1783116557640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0448,50000.0,49711.4,68398,12,160
1783116558640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0435,50000.0,49308.0,68500,12,160
1783116559640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0415,50000.0,50263.6,64000,12,160
1783116560640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0393,50000.0,50422.8,66386,12,160
1783116561640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.039,50000.0,50000.0,64000,12,160
1783116562640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0395,50000.0,50043.0,68183,12,160
1783116563640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0398,50000.0,50600.0,65500,12,160
1783116564640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,50000.0,49793.8,65031,12,160
1783116565640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0398,50000.0,49648.6,68143,12,160
1783116566640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,50000.0,49100.0,68500,12,160
1783116567640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0397,50000.0,50712.8,64619,12,160
1783116568640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0398,50000.0,50300.0,64000,12,160
1783116569640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0398,50000.0,49438.4,67839,12,160
1783116570640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0403,50000.0,50328.0,66503,12,160
1783116571640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0398,50000.0,50600.0,65500,12,160
1783116572640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0402,50000.0,49617.6,66531,12,160
1783116573640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0395,50000.0,49770.6,65147,12,160
