timestamp,outputRate,totalSent,elapsedMs
1781905706003,92588.91,466000,5033
1781905711007,95795.56,961500,10037
1781905716010,95976.40,1443485,15040
1781905721012,95948.51,1923000,20042
1781905726014,95671.62,2396000,25044
1781905731016,95653.33,2874000,30046
1781905736018,95697.33,3354000,35048
1781905741020,95730.34,3834000,40050
1781905746021,95702.65,4311500,45051
1781905751023,95688.57,4789500,50053
1781905756026,95450.18,5255105,55056
1781905761028,95480.79,5734385,60058
1781905766029,95490.25,6212500,65059
1781905771031,95509.63,6691500,70061
1781905776032,94375.32,7084000,75062
1781905781034,91739.11,7345000,80064
1781905786035,89175.64,7585726,85065
1781905791037,86907.52,7827500,90067
1781905796039,84856.53,8067225,95069
1781905801040,83032.76,8309088,100070
1781905806042,81382.29,8551000,105072
1781905811043,79883.35,8793000,110073
1781905816045,78509.67,9034500,115075
1781905821047,77238.33,9274547,120077
1781905826048,76064.83,9514037,125078
1781905831050,74988.47,9754500,130080
1781905836052,74369.64,10046000,135082
1781905841053,73998.99,10366000,140083
1781905846055,74041.08,10742250,145085
1781905851056,74204.12,11137000,150086
1781905856058,74380.35,11535500,155088
1781905861060,74533.08,11932000,160090
1781905866062,74706.83,12333500,165092
1781905871064,74849.79,12731500,170094
1781905876065,74996.35,13131486,175095
1781905881067,75120.63,13529000,180097
1781905886068,75246.76,13928025,185098
1781905891070,75360.36,14326004,190100
1781905896071,75478.85,14726000,195101
1781905901073,75596.07,15127000,200103
1781905906074,75703.06,15527000,205104
1781905911076,75803.47,15926764,210106
1781905916077,75908.73,16328500,215107
1781905921079,75991.89,16726500,220109
1781905926081,76066.92,17123500,225111
1781905931082,76145.53,17522000,230112
1781905936083,76023.04,17874005,235113
1781905941085,75559.52,18142975,240115
1781905946087,74749.92,18322475,245117
1781905951088,73978.98,18503475,250118
1781905956090,73237.99,18684475,255120
1781905961091,72531.53,18866975,260121
1781905966092,71844.19,19047475,265122
1781905971094,71183.88,19228475,270124
1781905976095,70546.02,19408975,275125
1781905981096,69927.37,19588475,280126
1781905986098,69331.82,19768442,285128
1781905991099,68758.98,19948975,290129
1781905996101,68205.15,20129453,295131
1781906001102,67675.14,20311475,300132
1781906006103,67055.06,20460712,305133
1781906011105,66391.89,20590449,310135
1781906016106,65696.04,20703187,315136
1781906021108,64952.26,20793687,320138
1781906026109,64231.57,20884187,325139
1781906031110,63532.70,20974687,330140
1781906036112,62854.51,21065187,335142
1781906041113,62192.04,21154187,340143
1781906046114,61548.34,21243039,345144
1781906051116,60925.12,21332687,350146
1781906056118,60319.04,21422187,355148
1781906061119,59731.35,21512187,360149
1781906066120,59161.13,21602687,365150
1781906071122,58607.51,21693687,370152
1781906076123,58068.81,21784687,375153
1781906081124,57855.99,21994187,380154
1781906086127,57932.71,22313187,385157
1781906091128,58033.38,22642187,390158
1781906096129,58127.98,22969796,395159
1781906101130,58223.43,23298687,400160
1781906106132,58307.89,23624140,405162
1781906109790,58338.53,23849900,408819
