timestamp,topicOffset,sourceCount,kafkaLag,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors
1781913506299,66034,8215025,-8148991,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913514083,450100,320240,129860,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913521910,850100,543750,306350,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913529818,1250100,1222999,27101,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913537670,1650100,8215025,-6564925,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913545518,2050100,78000000,-75949900,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913553406,2450100,2372570,77530,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913561286,2850100,2772600,77500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913569274,3241674,3174100,67574,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913577270,3632549,3572406,60143,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913585242,4031378,3973605,57773,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913593311,4450100,4374100,76000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913601350,4850100,4772342,77758,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913609306,5249391,5172600,76791,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913617278,5605388,5572975,32413,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913625271,6066389,5971448,94941,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913633291,7792713,78000000,-70207287,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913641570,9400100,8215025,1185075,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913649598,11000100,8215025,2785075,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913657742,12600100,8215025,4385075,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913665927,14200100,13675059,525041,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913674275,15200100,15199441,659,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913682382,15650100,15572002,78098,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913690526,16050100,8215025,7835075,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913698811,16450100,16422220,27880,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913707103,16850100,16824100,26000,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913715287,17287576,17222600,64976,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913723682,17700100,17672600,27500,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913731978,18400100,18078637,321463,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913740179,20000100,19878315,121785,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913748371,21800100,8215025,13585075,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913756887,23400100,23256024,144076,-1,-1,-1,-1,0.1408,200000.0,49939.2,179554.0,179
1781913765191,23850000,23850000,0,-1,-1,-1,-1,0.013,0.0,0.0,-100.0,179
1781913773655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913799241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913824861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913850512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913876191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781913901900,23850000,23850000,0,-1,-1,-1,-1,0.013,0.0,0.0,-100.0,179
1781913913306,23850000,78000000,-54150000,-1,-1,-1,-1,0.013,0.0,0.0,-100.0,179
