timestamp,jobId,totalSourceCount,executorId,executorSourceCount
1781923207329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,100,Executor0,100
1781923208329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,100,Executor0,100
1781923209329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,100,Executor0,100
1781923210329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,4108,Executor0,4108
1781923211329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,27060,Executor0,27060
1781923212329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,71360,Executor0,71360
1781923213329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,168153,Executor0,168153
1781923214329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,250100,Executor0,250100
1781923215329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,298793,Executor0,298793
1781923216329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,337127,Executor0,337127
1781923217329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,384468,Executor0,384468
1781923218329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,436720,Executor0,436720
1781923219329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,496858,Executor0,496858
1781923220329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,550100,Executor0,550100
1781923221329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,600100,Executor0,600100
1781923222329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,630100,Executor0,630100
1781923223329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,681600,Executor0,681600
1781923224329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,730100,Executor0,730100
1781923225329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,783100,Executor0,783100
1781923226329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,830100,Executor0,830100
1781923227329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,880100,Executor0,880100
1781923228329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,931600,Executor0,931600
1781923229329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,980100,Executor0,980100
1781923230329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1030100,Executor0,1030100
1781923231329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1081600,Executor0,1081600
1781923232329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1131600,Executor0,1131600
1781923233329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1180100,Executor0,1180100
1781923234329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1230100,Executor0,1230100
1781923235329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1280100,Executor0,1280100
1781923236329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1331600,Executor0,1331600
1781923237329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1379997,Executor0,1379997
1781923238329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1432475,Executor0,1432475
1781923239329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1480086,Executor0,1480086
1781923240329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1533626,Executor0,1533626
1781923241329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1580100,Executor0,1580100
1781923242329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1630100,Executor0,1630100
1781923243329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1683100,Executor0,1683100
1781923244329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1731600,Executor0,1731600
1781923245329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1780100,Executor0,1780100
1781923246329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1830100,Executor0,1830100
1781923247329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1880100,Executor0,1880100
1781923248329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1930054,Executor0,1930054
1781923249329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,1981600,Executor0,1981600
1781923250329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2031600,Executor0,2031600
1781923251329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2080100,Executor0,2080100
1781923252329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2130100,Executor0,2130100
1781923253329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2181017,Executor0,2181017
1781923254329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2230100,Executor0,2230100
1781923255329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2280100,Executor0,2280100
1781923256330,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2330100,Executor0,2330100
1781923257329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2381600,Executor0,2381600
1781923258329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2429937,Executor0,2429937
1781923259329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2480060,Executor0,2480060
1781923260329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2529847,Executor0,2529847
1781923261329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2580100,Executor0,2580100
1781923262329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2633100,Executor0,2633100
1781923263329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2678600,Executor0,2678600
1781923264329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2729739,Executor0,2729739
1781923265329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2781564,Executor0,2781564
1781923266329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2830100,Executor0,2830100
1781923267329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2881600,Executor0,2881600
1781923268329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2930100,Executor0,2930100
1781923269329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,2981600,Executor0,2981600
1781923270329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3030100,Executor0,3030100
1781923271329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3079689,Executor0,3079689
1781923272329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3129767,Executor0,3129767
1781923273329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3182295,Executor0,3182295
1781923274329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3230614,Executor0,3230614
1781923275329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3280100,Executor0,3280100
1781923276329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3330100,Executor0,3330100
1781923277329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3380100,Executor0,3380100
1781923278329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3430100,Executor0,3430100
1781923279329,nx-q0-nexmark-sponge-q0-20260619-213819-213914,3478258,Executor0,3478258
