timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1782950156083,43121,0,-1,-1,43121,-1,-1,-1,7.0,7.0,7.0,2110.0,0.0635,50000.0,50000.0,50000.0,93,160
1782950165500,550000,10499,496404,53596,539501,1363.016666,1457.810344,1457.810344,1315.0,1315.0,1315.0,4286.0,0.2413,50000.0,47044.0,103596.0,12,160
1782950174939,1000000,25357,957872,42128,974643,1457.810344,1743.22807,1806.983333,1047.0,1047.0,1047.0,4313.0,0.2468,50000.0,54575.6,92128.0,12,160
1782950184375,1450000,40506,1450000,0,1409494,1307.239436,1743.22807,1806.983333,8.0,8.0,8.0,3133.0,0.2155,50000.0,52006.6,50000.0,12,160
1782950193806,1950000,54557,1950000,0,1895443,628.287671,1743.22807,1806.983333,7.0,7.0,7.0,3320.0,0.1965,50000.0,50000.0,50000.0,12,160
1782950203194,2400000,69804,2400000,0,2330196,494.525423,1646.867647,1806.983333,118.0,118.0,118.0,3030.0,0.204,50000.0,50000.0,50000.0,12,160
1782950212568,2898957,83703,2850000,48957,2815254,435.92647,1646.867647,1806.983333,60.0,60.0,60.0,3039.0,0.2035,50000.0,50000.0,50000.0,12,160
1782950221904,3350000,98233,3350000,0,3251767,367.126984,1633.57377,1743.22807,138.0,138.0,138.0,3264.0,0.1922,50000.0,50000.0,50000.0,12,160
1782950231343,3800000,112396,3800000,0,3687604,361.032258,1633.57377,1743.22807,271.0,271.0,271.0,3043.0,0.1872,50000.0,50000.0,50000.0,12,160
1782950240844,4300000,126034,4300000,0,4173966,360.725806,1633.57377,1743.22807,7.0,7.0,7.0,3044.0,0.1823,50000.0,50000.0,50000.0,12,160
1782950250260,4750000,140188,4750000,0,4609812,357.460317,1617.084745,1743.22807,113.0,113.0,113.0,3052.0,0.1868,50000.0,50000.0,50000.0,12,160
1782950259743,5250000,153166,5250000,0,5096834,356.571428,1617.084745,1743.22807,140.0,140.0,140.0,3193.0,0.1782,50000.0,50000.0,50000.0,12,160
1782950269079,5700000,167682,5700000,0,5532318,355.112903,1617.084745,1743.22807,8.0,8.0,8.0,2998.0,0.1973,50000.0,50000.0,50000.0,12,160
1782950278279,6600000,178020,6196767,403233,6421980,355.112903,1603.814285,1743.22807,2201.0,2201.0,2201.0,2870.0,0.1792,200000.0,68794.2,706029.0,12,160
1782950287644,8600000,179786,7583655,1016345,8420214,357.460317,2840.814814,4082.152343,4677.0,4677.0,4677.0,7378.0,0.0372,200000.0,157197.0,1216345.0,12,160
1782950297115,10400000,179786,7606493,2793507,10220214,359.714285,4779.76923,10840.5,12746.0,12746.0,12746.0,13782.0,0.0165,200000.0,446.0,3193507.0,12,160
1782950306503,12267882,179786,7606564,4661318,12088096,359.714285,4779.76923,10840.5,30743.0,30743.0,30743.0,30772.0,0.0157,200000.0,0.0,4993436.0,12,160
1782950315951,14200000,179786,7606564,6593436,14020214,359.714285,4779.76923,10840.5,40241.0,40241.0,40241.0,41128.0,0.0157,200000.0,0.0,6793436.0,12,160
1782950325314,16000000,179786,7606564,8393436,15820214,359.714285,4779.76923,10840.5,49151.0,49151.0,49151.0,49165.0,0.0148,200000.0,0.0,8793436.0,12,160
1782950334735,18000000,179786,7606564,10393436,17820214,359.714285,4779.76923,10840.5,59420.0,59420.0,59420.0,59830.0,0.0155,200000.0,0.0,10593436.0,12,160
1782950344139,19800000,179786,7606564,12193436,19620214,359.714285,4779.76923,10840.5,68089.0,68089.0,68089.0,69030.0,0.0145,200000.0,0.0,12593436.0,12,160
1782950353535,21779721,179786,7606564,14173157,21599935,359.714285,4779.76923,10840.5,75984.0,75984.0,75984.0,76925.0,0.015,200000.0,0.0,14393436.0,12,160
1782950363059,23600000,179786,7606564,15993436,23420214,359.714285,4779.76923,10840.5,86336.0,86336.0,86336.0,86337.0,0.0145,200000.0,0.0,16393436.0,12,160
1782950372487,25411218,179786,7606564,17804654,25231432,359.714285,4779.76923,10840.5,95997.0,95997.0,95997.0,96481.0,0.0152,200000.0,0.0,18193436.0,12,160
