timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors
1781926352963,100100,30354,15817,84283,69746,779.666666,806.333333,806.333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781926364934,700100,749100,700100,0,0,1087.023529,2687.790322,2707.915254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781926377508,1300100,1350100,1300100,0,0,769.666666,2687.790322,2707.915254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781926390263,1950100,1999100,1950100,0,0,354.903225,2621.587301,2707.915254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781926402987,2600100,2649100,2600100,0,0,354.714285,2621.587301,2707.915254,-1,-1,-1,-1,0.1523,50000.0,50000.0,49900.0,8,170
1781926416459,3298883,3349600,3250100,48783,0,352.079365,2553.365079,2687.790322,-1,-1,-1,-1,0.1563,50000.0,50000.0,49900.0,8,170
1781926429936,3950100,3998599,3950100,0,0,350.451612,2553.365079,2687.790322,-1,-1,-1,-1,0.1458,50000.0,50000.0,49900.0,8,170
1781926442570,4550100,4619163,4550100,0,0,350.142857,1206.170454,2687.790322,-1,-1,-1,-1,0.1558,50000.0,50000.0,49900.0,8,170
1781926455292,5200100,5249600,5200100,0,0,349.451612,1206.170454,2687.790322,-1,-1,-1,-1,0.1535,50000.0,50000.0,49900.0,8,170
1781926467920,5850100,5899101,5850100,0,0,349.951612,1087.023529,2687.790322,-1,-1,-1,-1,0.132,200000.0,50000.0,199900.0,8,170
1781926480728,7999555,6133241,7220376,779179,1866314,350.269841,1087.023529,2687.790322,-1,-1,-1,-1,0.018,200000.0,0.0,1579624.0,8,170
1781926494172,10600100,6697814,8773706,1826394,3902286,352.015873,10758.304166,11417.108695,-1,-1,-1,-1,0.0163,200000.0,246190.4,2145659.0,8,170
1781926506940,13200100,7690233,12588245,611855,5509867,354.587301,10758.304166,11417.108695,-1,-1,-1,-1,0.0198,200000.0,230882.2,1013208.0,8,170
1781926520455,15200100,9163096,15058073,142027,6037004,356.904761,9823.621621,11417.108695,-1,-1,-1,-1,0.021,50000.0,111196.0,205943.0,8,170
1781926532794,15800100,10989383,15742037,58063,4810717,357.32258,9823.621621,11417.108695,-1,-1,-1,-1,0.0205,50000.0,53496.2,152462.0,8,170
1781926545051,16450100,12827194,16431538,18562,3622906,358.5,9403.554687,11286.231958,-1,-1,-1,-1,0.0205,50000.0,53199.8,111463.0,8,170
1781926557621,17050100,14699385,17012672,37428,2350715,358.758064,9403.554687,11286.231958,-1,-1,-1,-1,0.02,50000.0,51600.0,82828.0,8,170
1781926569876,17700100,16540126,17684672,15428,1159974,358.5,8917.951653,11286.231958,-1,-1,-1,-1,0.0208,50000.0,51300.0,63328.0,8,170
1781926582178,19200100,18115817,19172965,27135,1084283,359.290322,8917.951653,11286.231958,-1,-1,-1,-1,0.0188,200000.0,223156.0,212544.0,8,170
1781926594420,21600100,19895717,21594978,5122,1704383,360.63492,8917.951653,11286.231958,-1,-1,-1,-1,0.019,200000.0,207548.8,199900.0,8,170
1781926606648,23850000,21695915,23850000,0,2154085,360.63492,8632.451612,11286.231958,-1,-1,-1,-1,0.02,0.0,49980.0,-100.0,8,170
1781926618943,23850000,23140288,23850000,0,709712,360.63492,8632.451612,11286.231958,-1,-1,-1,-1,0.0245,0.0,0.0,-100.0,8,170
1781926631147,23850000,23573256,23850000,0,276744,360.63492,8632.451612,11286.231958,-1,-1,-1,-1,0.02,0.0,0.0,-100.0,8,170
