timestamp,jobId,executorId,taskId,inputReceiveRate,inputRate,outputRate,processingTimeNs,deserTimeNs,inBytes,serializedTimeNs,outBytes
1781926479847,unknown,VM-112,Stage1-1-0,0,0,0,0,0,0,0,0
1781926479895,unknown,VM-111,Stage1-2-0,0,0,0,0,0,0,0,0
1781926480847,unknown,VM-112,Stage1-1-0,0,0,0,0,0,0,0,0
1781926480896,unknown,VM-111,Stage1-2-0,0,0,0,0,0,0,0,0
1781926481848,unknown,VM-112,Stage1-1-0,0,0,0,0,0,0,0,0
1781926481896,unknown,VM-111,Stage1-2-0,0,0,0,0,0,0,0,0
1781926482847,unknown,VM-112,Stage1-1-0,0,0,0,0,0,0,0,0
1781926482896,unknown,VM-111,Stage1-2-0,0,0,0,0,0,0,0,0
1781926483847,unknown,VM-112,Stage1-1-0,0,0,0,0,0,0,0,0
1781926483896,unknown,VM-111,Stage1-2-0,0,0,0,0,0,0,0,0
1781926484847,unknown,VM-112,Stage1-1-0,0,32,0,384191,149877,4002,0,0
1781926484896,unknown,VM-111,Stage1-2-0,0,0,0,0,0,0,0,0
1781926485847,unknown,VM-112,Stage1-1-0,0,1429,0,745583,169651,187748,0,0
1781926485895,unknown,VM-111,Stage1-2-0,0,1,0,0,40263,299,0,0
1781926486847,unknown,VM-112,Stage1-1-0,0,5483,0,844931,136948,713260,0,0
1781926486895,unknown,VM-111,Stage1-2-0,0,1038,0,1154503,137716,131433,0,0
1781926487847,unknown,VM-112,Stage1-1-0,0,3185,0,331332,28897,407085,0,0
1781926487895,unknown,VM-111,Stage1-2-0,0,4851,0,703154,268915,627722,0,0
1781926488848,unknown,VM-112,Stage1-1-0,0,9015,0,781845,189649,1161622,0,0
1781926488895,unknown,VM-111,Stage1-2-0,0,8015,0,802803,164842,1032185,0,0
1781926489847,unknown,VM-112,Stage1-1-0,0,10049,0,822823,135892,1290410,0,0
1781926489895,unknown,VM-111,Stage1-2-0,0,8050,0,876447,109408,1037050,0,0
1781926490847,unknown,VM-112,Stage1-1-0,0,10365,0,794347,166799,1335359,0,0
1781926490895,unknown,VM-111,Stage1-2-0,0,7640,0,834878,138401,974906,0,0
1781926491895,unknown,VM-111,Stage1-2-0,0,7722,0,857015,120973,1000579,0,0
1781926491900,unknown,VM-112,Stage1-1-0,0,11028,0,786961,148365,1423274,0,0
1781926492847,unknown,VM-112,Stage1-1-0,0,13278,0,741704,283421,1711609,0,0
1781926492895,unknown,VM-111,Stage1-2-0,0,6605,0,726100,222861,851057,0,0
1781926493847,unknown,VM-112,Stage1-1-0,0,17385,0,838953,89724,2245757,0,0
1781926493895,unknown,VM-111,Stage1-2-0,0,8045,0,866222,120005,1033972,0,0
1781926494847,unknown,VM-112,Stage1-1-0,0,19215,0,883221,75743,2489095,0,0
1781926494895,unknown,VM-111,Stage1-2-0,0,9393,0,812528,148030,1214079,0,0
1781926495847,unknown,VM-112,Stage1-1-0,0,15071,0,897755,72587,1939080,0,0
1781926495895,unknown,VM-111,Stage1-2-0,0,10820,0,832973,129501,1388452,0,0
1781926496847,unknown,VM-112,Stage1-1-0,0,18181,0,879418,71115,2343830,0,0
1781926496895,unknown,VM-111,Stage1-2-0,0,10292,0,836144,136970,1325929,0,0
1781926497847,unknown,VM-112,Stage1-1-0,0,17765,0,825992,131116,2285740,0,0
1781926497895,unknown,VM-111,Stage1-2-0,0,14215,0,863749,87828,1824160,0,0
1781926498847,unknown,VM-112,Stage1-1-0,0,15242,0,874235,95165,1964468,0,0
1781926498895,unknown,VM-111,Stage1-2-0,0,11570,0,868127,85682,1496063,0,0
1781926499847,unknown,VM-112,Stage1-1-0,0,13489,0,892865,70530,1742712,0,0
1781926499896,unknown,VM-111,Stage1-2-0,0,14352,0,833624,98414,1846349,0,0
1781926500847,unknown,VM-112,Stage1-1-0,0,21678,0,849175,85211,2791987,0,0
1781926500895,unknown,VM-111,Stage1-2-0,0,14669,0,883318,69665,1886891,0,0
1781926501847,unknown,VM-112,Stage1-1-0,0,18690,0,855746,95988,2403091,0,0
1781926501895,unknown,VM-111,Stage1-2-0,0,14149,0,834953,100373,1830976,0,0
1781926502847,unknown,VM-112,Stage1-1-0,0,15846,0,636130,76095,2044891,0,0
1781926502896,unknown,VM-111,Stage1-2-0,0,9714,0,885523,80885,1256888,0,0
1781926503847,unknown,VM-112,Stage1-1-0,0,22380,0,834245,347980,2898138,0,0
1781926503895,unknown,VM-111,Stage1-2-0,0,14946,0,866208,93697,1924459,0,0
1781926504847,unknown,VM-112,Stage1-1-0,0,21375,0,829952,116416,2742911,0,0
1781926504895,unknown,VM-111,Stage1-2-0,0,12975,0,847308,112753,1677017,0,0
1781926505895,unknown,VM-111,Stage1-2-0,0,11332,0,834821,111054,1453914,0,0
1781926506198,unknown,VM-112,Stage1-1-0,0,19944,0,901147,46646,2566436,0,0
1781926506847,unknown,VM-112,Stage1-1-0,0,13562,0,923117,54359,1745298,0,0
1781926506895,unknown,VM-111,Stage1-2-0,0,13128,0,875729,81775,1700838,0,0
1781926507847,unknown,VM-112,Stage1-1-0,0,24012,0,812473,119064,3092351,0,0
1781926507895,unknown,VM-111,Stage1-2-0,0,9265,0,901064,84402,1189260,0,0
1781926508847,unknown,VM-112,Stage1-1-0,0,24362,0,869290,84186,3143095,0,0
1781926508895,unknown,VM-111,Stage1-2-0,0,12582,0,882079,93455,1621762,0,0
1781926509848,unknown,VM-112,Stage1-1-0,0,17425,0,916600,50001,2242250,0,0
1781926509895,unknown,VM-111,Stage1-2-0,0,13660,0,905735,69745,1761643,0,0
1781926510847,unknown,VM-112,Stage1-1-0,0,26514,0,831637,111430,3425257,0,0
1781926510895,unknown,VM-111,Stage1-2-0,0,15003,0,829878,119202,1937395,0,0
1781926511987,unknown,VM-112,Stage1-1-0,0,31033,0,789852,77983,3989950,0,0
1781926512174,unknown,VM-111,Stage1-2-0,0,15709,0,805172,73266,2026073,0,0
