timestamp,outputRate,totalSent,elapsedMs
1781926358075,49573.67,250000,5043
1781926363080,49761.15,500000,10048
1781926368082,49833.89,750000,15050
1781926373086,49865.36,1000000,20054
1781926378088,49888.25,1250000,25056
1781926383091,49901.86,1500000,30059
1781926388093,49913.01,1750000,35061
1781926393096,49920.13,2000000,40064
1781926398098,49926.77,2250000,45066
1781926403099,49933.09,2500000,50067
1781926408101,49937.35,2750000,55069
1781926413104,49940.07,3000000,60072
1781926418106,49943.14,3250000,65074
1781926423107,49946.49,3500000,70075
1781926428109,49948.72,3750000,75077
1781926433111,49950.67,4000000,80079
1781926438113,49952.40,4250000,85081
1781926443114,49954.49,4500000,90082
1781926448117,49955.30,4750000,95085
1781926453118,49957.04,5000000,100086
1781926458120,49958.13,5250000,105088
1781926463121,49959.58,5500000,110089
1781926468123,49960.47,5750000,115091
1781926473124,49961.70,6000000,120092
1781926478126,55957.92,7000000,125094
1781926483127,61493.52,8000000,130095
1781926488129,66618.80,9000000,135097
1781926493131,71378.10,10000000,140099
1781926498132,75809.79,11000000,145100
1781926503134,79945.64,12000000,150102
1781926508135,83815.27,13000000,155103
1781926513137,87442.62,14000000,160105
1781926518138,90850.73,15000000,165106
1781926523140,89648.93,15250000,170108
1781926528141,88516.30,15500000,175109
1781926533144,87445.59,15750000,180112
1781926538145,86433.69,16000000,185113
1781926543147,85474.58,16250000,190115
1781926548149,84564.65,16500000,195117
1781926553151,83700.20,16750000,200119
1781926558153,82877.91,17000000,205121
1781926563154,82095.16,17250000,210122
1781926568156,81348.43,17500000,215124
1781926573157,80636.00,17750000,220125
1781926578158,79955.23,18000000,225126
1781926583160,82562.75,19000000,230128
1781926588161,85059.69,20000000,235129
1781926593163,87452.27,21000000,240131
1781926598165,89747.20,22000000,245133
1781926603167,91950.35,23000000,250135
1781926608168,93479.16,23849900,255136
1781926608528,93347.82,23849900,255495
