timestamp,jobId,executorId,taskId,inputReceiveRate,inputRate,outputRate,processingTimeNs,deserTimeNs,inBytes,serializedTimeNs,outBytes
1781926479830,unknown,VM-78,Stage1-3-0,0,0,0,0,0,0,0,0
1781926479844,unknown,VM-79,Stage1-0-0,0,0,0,0,0,0,0,0
1781926480830,unknown,VM-78,Stage1-3-0,0,0,0,0,0,0,0,0
1781926480844,unknown,VM-79,Stage1-0-0,0,0,0,0,0,0,0,0
1781926481830,unknown,VM-78,Stage1-3-0,0,0,0,0,0,0,0,0
1781926481844,unknown,VM-79,Stage1-0-0,0,0,0,0,0,0,0,0
1781926482830,unknown,VM-78,Stage1-3-0,0,1,0,0,33049,113,0,0
1781926482844,unknown,VM-79,Stage1-0-0,0,0,0,0,0,0,0,0
1781926483829,unknown,VM-78,Stage1-3-0,0,865,0,1026897,148772,109852,0,0
1781926483844,unknown,VM-79,Stage1-0-0,0,193,0,513233,230416,24137,0,0
1781926484829,unknown,VM-78,Stage1-3-0,0,3020,0,906458,90594,388605,0,0
1781926484844,unknown,VM-79,Stage1-0-0,0,1580,0,839274,156306,201078,0,0
1781926485830,unknown,VM-78,Stage1-3-0,0,6524,0,642825,108593,842662,0,0
1781926485844,unknown,VM-79,Stage1-0-0,0,6089,0,829026,131081,781838,0,0
1781926486830,unknown,VM-78,Stage1-3-0,0,0,0,0,0,0,0,0
1781926486844,unknown,VM-79,Stage1-0-0,0,8144,0,760599,227700,1041001,0,0
1781926487830,unknown,VM-78,Stage1-3-0,0,7960,0,714793,132618,1031613,0,0
1781926487844,unknown,VM-79,Stage1-0-0,0,9181,0,792230,185681,1190155,0,0
1781926488830,unknown,VM-78,Stage1-3-0,0,230,0,50812,3191,29256,0,0
1781926488844,unknown,VM-79,Stage1-0-0,0,11118,0,843231,117227,1441606,0,0
1781926489830,unknown,VM-78,Stage1-3-0,0,873,0,72312,9899,113416,0,0
1781926489844,unknown,VM-79,Stage1-0-0,0,9639,0,726674,233388,1242433,0,0
1781926490829,unknown,VM-78,Stage1-3-0,0,10462,0,788364,170939,1352653,0,0
1781926490844,unknown,VM-79,Stage1-0-0,0,13785,0,853078,99180,1780753,0,0
1781926491830,unknown,VM-78,Stage1-3-0,0,10051,0,755598,222436,1289717,0,0
1781926491844,unknown,VM-79,Stage1-0-0,0,17676,0,866638,87756,2277736,0,0
1781926492844,unknown,VM-79,Stage1-0-0,0,17172,0,839315,115494,2211407,0,0
1781926492884,unknown,VM-78,Stage1-3-0,0,11229,0,814008,124878,1452976,0,0
1781926493829,unknown,VM-78,Stage1-3-0,0,14871,0,856093,144713,1923902,0,0
1781926493844,unknown,VM-79,Stage1-0-0,0,17609,0,888945,63995,2270627,0,0
1781926494829,unknown,VM-78,Stage1-3-0,0,16983,0,889842,77202,2183005,0,0
1781926494844,unknown,VM-79,Stage1-0-0,0,15026,0,851450,119949,1929997,0,0
1781926495829,unknown,VM-78,Stage1-3-0,0,17933,0,818429,127023,2311641,0,0
1781926495844,unknown,VM-79,Stage1-0-0,0,17388,0,830407,123797,2252830,0,0
1781926496830,unknown,VM-78,Stage1-3-0,0,15614,0,921825,58348,2012592,0,0
1781926496844,unknown,VM-79,Stage1-0-0,0,21026,0,891073,69743,2708770,0,0
1781926497829,unknown,VM-78,Stage1-3-0,0,21062,0,884782,59004,2716964,0,0
1781926497844,unknown,VM-79,Stage1-0-0,0,15656,0,605844,336614,2018402,0,0
1781926498829,unknown,VM-78,Stage1-3-0,0,18484,0,810674,130111,2373190,0,0
1781926498844,unknown,VM-79,Stage1-0-0,0,18653,0,813951,124860,2405078,0,0
1781926499829,unknown,VM-78,Stage1-3-0,0,13000,0,766480,167194,1675511,0,0
1781926499844,unknown,VM-79,Stage1-0-0,0,17597,0,846686,117114,2270905,0,0
1781926500829,unknown,VM-78,Stage1-3-0,0,14833,0,900158,62506,1921868,0,0
1781926500844,unknown,VM-79,Stage1-0-0,0,16930,0,828539,120800,2183287,0,0
1781926501829,unknown,VM-78,Stage1-3-0,0,22232,0,873177,82059,2859162,0,0
1781926501844,unknown,VM-79,Stage1-0-0,0,11096,0,940564,39872,1431426,0,0
1781926502829,unknown,VM-78,Stage1-3-0,0,22847,0,851146,75017,2943524,0,0
1781926502844,unknown,VM-79,Stage1-0-0,0,20969,0,875949,71853,2696925,0,0
1781926503829,unknown,VM-78,Stage1-3-0,0,16208,0,873807,91359,2090103,0,0
1781926503844,unknown,VM-79,Stage1-0-0,0,22728,0,871690,93371,2929436,0,0
1781926504829,unknown,VM-78,Stage1-3-0,0,18400,0,798632,136447,2364532,0,0
1781926505059,unknown,VM-79,Stage1-0-0,0,21024,0,751019,74703,2711609,0,0
1781926505829,unknown,VM-78,Stage1-3-0,0,22831,0,809754,117178,2944572,0,0
1781926505844,unknown,VM-79,Stage1-0-0,0,19131,0,1041419,54588,2474637,0,0
1781926506829,unknown,VM-78,Stage1-3-0,0,17037,0,685555,64971,2198458,0,0
1781926506844,unknown,VM-79,Stage1-0-0,0,24780,0,863436,74545,3192967,0,0
1781926507829,unknown,VM-78,Stage1-3-0,0,22926,0,1068843,86427,2952506,0,0
1781926508076,unknown,VM-79,Stage1-0-0,0,25207,0,841043,92470,3257568,0,0
1781926508830,unknown,VM-78,Stage1-3-0,0,21063,0,849118,98862,2717819,0,0
1781926508844,unknown,VM-79,Stage1-0-0,0,22396,0,899422,75021,2881982,0,0
1781926509844,unknown,VM-79,Stage1-0-0,0,30852,0,857758,84886,3978718,0,0
1781926510188,unknown,VM-78,Stage1-3-0,0,21029,0,837871,98573,2701193,0,0
1781926510829,unknown,VM-78,Stage1-3-0,0,14773,0,911274,68967,1908794,0,0
1781926510844,unknown,VM-79,Stage1-0-0,0,27681,0,870657,84753,3562386,0,0
1781926511829,unknown,VM-78,Stage1-3-0,0,24502,0,840274,112140,3155814,0,0
1781926511844,unknown,VM-79,Stage1-0-0,0,26790,0,868174,82397,3462940,0,0
1781926512829,unknown,VM-78,Stage1-3-0,0,24072,0,875961,76756,3107965,0,0
1781926512844,unknown,VM-79,Stage1-0-0,0,22638,0,829527,135361,2916128,0,0
1781926513829,unknown,VM-78,Stage1-3-0,0,19240,0,891120,71838,2489631,0,0
1781926513844,unknown,VM-79,Stage1-0-0,0,27810,0,901688,59059,3568013,0,0
1781926514830,unknown,VM-78,Stage1-3-0,0,20192,0,860436,104147,2590567,0,0
1781926514844,unknown,VM-79,Stage1-0-0,0,38624,0,863074,81483,4972980,0,0
1781926515830,unknown,VM-78,Stage1-3-0,0,26017,0,881774,78039,3359234,0,0
1781926515844,unknown,VM-79,Stage1-0-0,0,25509,0,860913,102396,3301745,0,0
1781926516829,unknown,VM-78,Stage1-3-0,0,21600,0,851669,90636,2780484,0,0
1781926516844,unknown,VM-79,Stage1-0-0,0,41119,0,862775,76024,5296854,0,0
1781926517829,unknown,VM-78,Stage1-3-0,0,32111,0,854933,79530,4130354,0,0
1781926517844,unknown,VM-79,Stage1-0-0,0,33541,0,885422,66598,4322357,0,0
1781926518829,unknown,VM-78,Stage1-3-0,0,28081,0,684367,68032,3616720,0,0
1781926518844,unknown,VM-79,Stage1-0-0,0,39872,0,857488,86251,5133227,0,0
1781926519830,unknown,VM-78,Stage1-3-0,0,37657,0,1074497,72576,4855128,0,0
1781926519844,unknown,VM-79,Stage1-0-0,0,36724,0,869574,74419,4729321,0,0
1781926520844,unknown,VM-79,Stage1-0-0,0,38105,0,863937,81854,4909879,0,0
1781926520877,unknown,VM-78,Stage1-3-0,0,32509,0,735482,55781,4192690,0,0
1781926521829,unknown,VM-78,Stage1-3-0,0,38885,0,1030650,68706,5022003,0,0
1781926521844,unknown,VM-79,Stage1-0-0,0,33557,0,716240,237160,4327774,0,0
1781926522844,unknown,VM-79,Stage1-0-0,0,31939,0,879230,74849,4110991,0,0
1781926522849,unknown,VM-78,Stage1-3-0,0,32647,0,770244,58757,4217436,0,0
1781926523829,unknown,VM-78,Stage1-3-0,0,41134,0,990335,67643,5307442,0,0
1781926523844,unknown,VM-79,Stage1-0-0,0,31013,0,677409,260593,3988473,0,0
1781926524829,unknown,VM-78,Stage1-3-0,0,37218,0,878147,63143,4790738,0,0
1781926524844,unknown,VM-79,Stage1-0-0,0,41771,0,856351,83037,5381426,0,0
1781926525829,unknown,VM-78,Stage1-3-0,0,36527,0,881422,63391,4722552,0,0
1781926525844,unknown,VM-79,Stage1-0-0,0,38100,0,871464,74032,4908255,0,0
1781926526830,unknown,VM-78,Stage1-3-0,0,35947,0,883305,59038,4636561,0,0
1781926526844,unknown,VM-79,Stage1-0-0,0,40997,0,867039,75346,5275971,0,0
1781926527829,unknown,VM-78,Stage1-3-0,0,40964,0,867203,68467,5276901,0,0
1781926527844,unknown,VM-79,Stage1-0-0,0,36489,0,845027,104112,4691213,0,0
1781926528829,unknown,VM-78,Stage1-3-0,0,36514,0,872752,70361,4716116,0,0
1781926528844,unknown,VM-79,Stage1-0-0,0,41380,0,861408,79506,5347616,0,0
1781926529829,unknown,VM-78,Stage1-3-0,0,41583,0,867976,68348,5356537,0,0
1781926529844,unknown,VM-79,Stage1-0-0,0,39339,0,865401,79971,5069511,0,0
1781926530830,unknown,VM-78,Stage1-3-0,0,38179,0,878691,62458,4912096,0,0
1781926530844,unknown,VM-79,Stage1-0-0,0,41573,0,862706,78610,5358269,0,0
1781926531829,unknown,VM-78,Stage1-3-0,0,38794,0,858411,80679,4992139,0,0
1781926531844,unknown,VM-79,Stage1-0-0,0,39251,0,869341,75182,5062994,0,0
1781926532829,unknown,VM-78,Stage1-3-0,0,37908,0,876278,65486,4877520,0,0
1781926532844,unknown,VM-79,Stage1-0-0,0,41736,0,856649,80269,5367292,0,0
1781926533829,unknown,VM-78,Stage1-3-0,0,41122,0,866791,69438,5285722,0,0
1781926533844,unknown,VM-79,Stage1-0-0,0,32581,0,861165,91807,4211402,0,0
1781926534830,unknown,VM-78,Stage1-3-0,0,37986,0,880465,62258,4886982,0,0
1781926534844,unknown,VM-79,Stage1-0-0,0,38204,0,860077,86136,4924318,0,0
1781926535829,unknown,VM-78,Stage1-3-0,0,41467,0,861809,74060,5348651,0,0
1781926535844,unknown,VM-79,Stage1-0-0,0,37900,0,878683,67705,4880544,0,0
1781926536830,unknown,VM-78,Stage1-3-0,0,38176,0,866095,70253,4920154,0,0
1781926536844,unknown,VM-79,Stage1-0-0,0,40981,0,862905,78397,5279245,0,0
1781926537829,unknown,VM-78,Stage1-3-0,0,40483,0,866391,71225,5213510,0,0
1781926537844,unknown,VM-79,Stage1-0-0,0,39569,0,868739,75717,5080183,0,0
1781926538829,unknown,VM-78,Stage1-3-0,0,31881,0,865731,85639,4105252,0,0
1781926538844,unknown,VM-79,Stage1-0-0,0,40730,0,862368,79108,5237440,0,0
1781926539829,unknown,VM-78,Stage1-3-0,0,37383,0,868491,73797,4819571,0,0
1781926539844,unknown,VM-79,Stage1-0-0,0,39990,0,865298,77002,5160281,0,0
1781926540829,unknown,VM-78,Stage1-3-0,0,37649,0,878498,63878,4846374,0,0
1781926540844,unknown,VM-79,Stage1-0-0,0,32556,0,846272,104839,4192782,0,0
1781926541829,unknown,VM-78,Stage1-3-0,0,40845,0,861311,71676,5271753,0,0
1781926541844,unknown,VM-79,Stage1-0-0,0,39076,0,870455,75359,5026983,0,0
1781926542829,unknown,VM-78,Stage1-3-0,0,37654,0,872228,70028,4857480,0,0
1781926542903,unknown,VM-79,Stage1-0-0,0,41160,0,833450,74172,5300296,0,0
1781926543829,unknown,VM-78,Stage1-3-0,0,33810,0,858768,90638,4361150,0,0
1781926543844,unknown,VM-79,Stage1-0-0,0,40671,0,903557,73549,5238618,0,0
1781926544829,unknown,VM-78,Stage1-3-0,0,36764,0,876029,68108,4749874,0,0
1781926544844,unknown,VM-79,Stage1-0-0,0,38394,0,797016,149230,4956892,0,0
1781926545830,unknown,VM-78,Stage1-3-0,0,38349,0,867965,72899,4936276,0,0
1781926545844,unknown,VM-79,Stage1-0-0,0,41552,0,864257,73107,5352076,0,0
1781926546829,unknown,VM-78,Stage1-3-0,0,38247,0,880276,61674,4932788,0,0
1781926546844,unknown,VM-79,Stage1-0-0,0,35699,0,882658,66925,4606690,0,0
1781926547844,unknown,VM-79,Stage1-0-0,0,41988,0,859856,82484,5425192,0,0
1781926547913,unknown,VM-78,Stage1-3-0,0,40806,0,858330,63794,5269295,0,0
1781926548829,unknown,VM-78,Stage1-3-0,0,36388,0,887755,72324,4691226,0,0
1781926548844,unknown,VM-79,Stage1-0-0,0,38782,0,871398,70324,4999960,0,0
1781926549844,unknown,VM-79,Stage1-0-0,0,41714,0,866491,76066,5368791,0,0
1781926549928,unknown,VM-78,Stage1-3-0,0,36969,0,820988,85604,4762786,0,0
1781926550830,unknown,VM-78,Stage1-3-0,0,38329,0,914542,60705,4939834,0,0
1781926550844,unknown,VM-79,Stage1-0-0,0,38016,0,872440,73091,4910375,0,0
1781926551829,unknown,VM-78,Stage1-3-0,0,37471,0,875772,66255,4829229,0,0
1781926551844,unknown,VM-79,Stage1-0-0,0,42409,0,856840,82381,5477303,0,0
1781926552829,unknown,VM-78,Stage1-3-0,0,40549,0,869278,68206,5218265,0,0
1781926552844,unknown,VM-79,Stage1-0-0,0,38289,0,872785,73190,4936825,0,0
1781926553829,unknown,VM-78,Stage1-3-0,0,37826,0,880465,61670,4883191,0,0
1781926553844,unknown,VM-79,Stage1-0-0,0,41475,0,863072,77595,5353229,0,0
1781926554829,unknown,VM-78,Stage1-3-0,0,38242,0,845932,90416,4932002,0,0
1781926554844,unknown,VM-79,Stage1-0-0,0,38943,0,869854,75604,5015148,0,0
1781926555829,unknown,VM-78,Stage1-3-0,0,36058,0,886530,58948,4659184,0,0
1781926555844,unknown,VM-79,Stage1-0-0,0,38783,0,866239,78084,4989185,0,0
1781926556829,unknown,VM-78,Stage1-3-0,0,39115,0,840958,98362,5049328,0,0
1781926556844,unknown,VM-79,Stage1-0-0,0,38651,0,869959,75283,4980916,0,0
1781926557829,unknown,VM-78,Stage1-3-0,0,36770,0,883761,59620,4745578,0,0
1781926557844,unknown,VM-79,Stage1-0-0,0,40799,0,861000,79726,5271580,0,0
1781926558829,unknown,VM-78,Stage1-3-0,0,39479,0,856733,79044,5083456,0,0
1781926558844,unknown,VM-79,Stage1-0-0,0,37355,0,860709,85857,4837507,0,0
1781926559829,unknown,VM-78,Stage1-3-0,0,38045,0,876534,63393,4901381,0,0
1781926559844,unknown,VM-79,Stage1-0-0,0,41280,0,863077,78855,5325507,0,0
1781926560829,unknown,VM-78,Stage1-3-0,0,40960,0,870749,67124,5275802,0,0
1781926560844,unknown,VM-79,Stage1-0-0,0,39212,0,786366,158673,5051408,0,0
1781926561830,unknown,VM-78,Stage1-3-0,0,38053,0,880992,60915,4917836,0,0
1781926561880,unknown,VM-79,Stage1-0-0,0,38335,0,817788,69255,4936452,0,0
1781926562829,unknown,VM-78,Stage1-3-0,0,41113,0,866038,69380,5293557,0,0
1781926562844,unknown,VM-79,Stage1-0-0,0,40631,0,923078,76464,5230187,0,0
1781926563829,unknown,VM-78,Stage1-3-0,0,38060,0,879433,61299,4904145,0,0
1781926563844,unknown,VM-79,Stage1-0-0,0,38153,0,774118,78597,4912302,0,0
1781926564829,unknown,VM-78,Stage1-3-0,0,40716,0,869062,68154,5258428,0,0
1781926564844,unknown,VM-79,Stage1-0-0,0,40460,0,864603,78677,5216938,0,0
1781926565829,unknown,VM-78,Stage1-3-0,0,37085,0,879988,62053,4786203,0,0
1781926565844,unknown,VM-79,Stage1-0-0,0,38386,0,874804,70339,4940802,0,0
1781926566829,unknown,VM-78,Stage1-3-0,0,40220,0,869143,66887,5179568,0,0
1781926566844,unknown,VM-79,Stage1-0-0,0,41486,0,864823,76330,5337106,0,0
1781926567830,unknown,VM-78,Stage1-3-0,0,37527,0,875171,65793,4836878,0,0
1781926567844,unknown,VM-79,Stage1-0-0,0,39310,0,872337,72924,5056448,0,0
1781926568844,unknown,VM-79,Stage1-0-0,0,41815,0,856598,82211,5403360,0,0
1781926568916,unknown,VM-78,Stage1-3-0,0,41514,0,862681,66970,5339880,0,0
1781926569829,unknown,VM-78,Stage1-3-0,0,38301,0,887227,60297,4933395,0,0
1781926569844,unknown,VM-79,Stage1-0-0,0,40045,0,870340,74276,5197891,0,0
1781926570829,unknown,VM-78,Stage1-3-0,0,38044,0,883735,58207,4896449,0,0
1781926570844,unknown,VM-79,Stage1-0-0,0,39112,0,859607,85924,5075292,0,0
1781926571829,unknown,VM-78,Stage1-3-0,0,42251,0,870138,66278,5441027,0,0
1781926571844,unknown,VM-79,Stage1-0-0,0,33217,0,860479,86982,4320461,0,0
1781926572829,unknown,VM-78,Stage1-3-0,0,38214,0,876618,60389,4923660,0,0
1781926572844,unknown,VM-79,Stage1-0-0,0,31215,0,841473,99108,4051064,0,0
1781926573830,unknown,VM-78,Stage1-3-0,0,41885,0,871585,65308,5427883,0,0
1781926573844,unknown,VM-79,Stage1-0-0,0,41693,0,826104,111474,5410451,0,0
1781926574829,unknown,VM-78,Stage1-3-0,0,38930,0,879298,61281,5052525,0,0
1781926574844,unknown,VM-79,Stage1-0-0,0,42779,0,865774,74578,5550694,0,0
1781926575829,unknown,VM-78,Stage1-3-0,0,39625,0,869386,65513,5140087,0,0
1781926575844,unknown,VM-79,Stage1-0-0,0,36691,0,783882,75799,4751770,0,0
1781926576829,unknown,VM-78,Stage1-3-0,0,40375,0,878033,60672,5241311,0,0
1781926576844,unknown,VM-79,Stage1-0-0,0,12776,0,291702,20843,1659202,0,0
1781926577829,unknown,VM-78,Stage1-3-0,0,41575,0,868351,69144,5410766,0,0
1781926577844,unknown,VM-79,Stage1-0-0,0,13431,0,301214,25579,1753895,0,0
1781926578829,unknown,VM-78,Stage1-3-0,0,39766,0,874360,64705,5188901,0,0
1781926578844,unknown,VM-79,Stage1-0-0,0,12435,0,273655,20482,1605002,0,0
1781926579829,unknown,VM-78,Stage1-3-0,0,41176,0,864869,73441,5362491,0,0
1781926579844,unknown,VM-79,Stage1-0-0,0,14375,0,312824,25379,1875248,0,0
1781926580829,unknown,VM-78,Stage1-3-0,0,40151,0,872914,66579,5225936,0,0
1781926580844,unknown,VM-79,Stage1-0-0,0,13590,0,320047,22948,1765430,0,0
1781926581830,unknown,VM-78,Stage1-3-0,0,32054,0,680722,48985,4158357,0,0
1781926581844,unknown,VM-79,Stage1-0-0,0,14939,0,327876,26580,1944877,0,0
1781926582830,unknown,VM-78,Stage1-3-0,0,27370,0,871814,84803,3552520,0,0
1781926582844,unknown,VM-79,Stage1-0-0,0,32706,0,852546,96660,4239979,0,0
1781926583829,unknown,VM-78,Stage1-3-0,0,39192,0,868026,69515,5088651,0,0
1781926583844,unknown,VM-79,Stage1-0-0,0,37619,0,869380,76552,4883084,0,0
1781926584829,unknown,VM-78,Stage1-3-0,0,38894,0,878775,59446,5052606,0,0
1781926584844,unknown,VM-79,Stage1-0-0,0,40443,0,868297,73975,5264005,0,0
1781926585844,unknown,VM-79,Stage1-0-0,0,39055,0,873070,72033,5075575,0,0
1781926585903,unknown,VM-78,Stage1-3-0,0,39167,0,850740,65989,5079875,0,0
1781926586829,unknown,VM-78,Stage1-3-0,0,38424,0,904607,60554,4999856,0,0
1781926586903,unknown,VM-79,Stage1-0-0,0,40565,0,838763,71758,5265121,0,0
1781926587829,unknown,VM-78,Stage1-3-0,0,35144,0,883918,61553,4560448,0,0
1781926587844,unknown,VM-79,Stage1-0-0,0,38402,0,813838,160683,4980450,0,0
1781926588829,unknown,VM-78,Stage1-3-0,0,38846,0,871168,70085,5049668,0,0
1781926588871,unknown,VM-79,Stage1-0-0,0,34721,0,756521,82777,4522544,0,0
1781926589834,unknown,VM-78,Stage1-3-0,0,30694,0,770029,71335,3977994,0,0
1781926589844,unknown,VM-79,Stage1-0-0,0,41396,0,982405,70856,5369664,0,0
1781926590829,unknown,VM-78,Stage1-3-0,0,41101,0,986493,62287,5347432,0,0
1781926590844,unknown,VM-79,Stage1-0-0,0,37280,0,754005,193896,4852737,0,0
1781926591829,unknown,VM-78,Stage1-3-0,0,37803,0,882317,60032,4912145,0,0
1781926591844,unknown,VM-79,Stage1-0-0,0,40954,0,868965,73469,5342023,0,0
1781926592829,unknown,VM-78,Stage1-3-0,0,40167,0,876305,61082,5203852,0,0
1781926592844,unknown,VM-79,Stage1-0-0,0,37410,0,878780,68164,4865223,0,0
1781926593829,unknown,VM-78,Stage1-3-0,0,35300,0,892298,53697,4584594,0,0
1781926593844,unknown,VM-79,Stage1-0-0,0,41820,0,863450,73766,5415458,0,0
1781926594830,unknown,VM-78,Stage1-3-0,0,39128,0,877351,62655,5083115,0,0
1781926594844,unknown,VM-79,Stage1-0-0,0,38363,0,874372,72247,4979948,0,0
1781926595829,unknown,VM-78,Stage1-3-0,0,33922,0,888627,58462,4412854,0,0
1781926595844,unknown,VM-79,Stage1-0-0,0,41414,0,866261,75185,5380667,0,0
1781926596830,unknown,VM-78,Stage1-3-0,0,40631,0,876484,60872,5277396,0,0
1781926596844,unknown,VM-79,Stage1-0-0,0,37701,0,771872,174685,4897898,0,0
1781926597830,unknown,VM-78,Stage1-3-0,0,38361,0,884887,56203,4991735,0,0
1781926597844,unknown,VM-79,Stage1-0-0,0,41706,0,865591,76659,5422379,0,0
1781926598829,unknown,VM-78,Stage1-3-0,0,40278,0,875523,61278,5236344,0,0
1781926598844,unknown,VM-79,Stage1-0-0,0,37274,0,880693,67457,4857440,0,0
1781926599829,unknown,VM-78,Stage1-3-0,0,36403,0,886125,58824,4737238,0,0
