timestamp,totalEvents,deltaEvents,remainingEvents,baselineOffsetTotal
1787939166100,0,0,480000000,0
1787939167100,0,0,480000000,0
1787939168100,0,0,480000000,0
1787939169101,0,0,480000000,0
1787939170101,0,0,480000000,0
1787939171101,0,0,480000000,0
1787939172101,0,0,480000000,0
1787939173101,25000,25000,479975000,0
1787939174101,125000,100000,479875000,0
1787939175101,225000,100000,479775000,0
1787939176102,325000,100000,479675000,0
1787939177102,425000,100000,479575000,0
1787939178102,525000,100000,479475000,0
1787939179102,625000,100000,479375000,0
1787939180102,725000,100000,479275000,0
1787939181102,825000,100000,479175000,0
1787939182102,925000,100000,479075000,0
1787939183102,1025000,100000,478975000,0
1787939184102,1125000,100000,478875000,0
1787939185102,1225000,100000,478775000,0
1787939186102,1325000,100000,478675000,0
1787939187103,1425000,100000,478575000,0
1787939188103,1525000,100000,478475000,0
1787939189103,1625000,100000,478375000,0
1787939190103,1725000,100000,478275000,0
1787939191103,1825000,100000,478175000,0
1787939192103,1925000,100000,478075000,0
1787939193103,2025000,100000,477975000,0
1787939194103,2125000,100000,477875000,0
1787939195103,2225000,100000,477775000,0
1787939196103,2325000,100000,477675000,0
1787939197103,2425000,100000,477575000,0
1787939198103,2525000,100000,477475000,0
1787939199103,2625000,100000,477375000,0
1787939200103,2725000,100000,477275000,0
1787939201103,2825000,100000,477175000,0
1787939202103,2925000,100000,477075000,0
1787939203103,3025000,100000,476975000,0
1787939204103,3125000,100000,476875000,0
1787939205103,3225000,100000,476775000,0
1787939206103,3325000,100000,476675000,0
1787939207103,3425000,100000,476575000,0
1787939208103,3525000,100000,476475000,0
1787939209103,3625000,100000,476375000,0
1787939210103,3725000,100000,476275000,0
1787939211103,3825000,100000,476175000,0
1787939212103,3925000,100000,476075000,0
1787939213103,4025000,100000,475975000,0
1787939214103,4125000,100000,475875000,0
1787939215104,4225000,100000,475775000,0
1787939216104,4325000,100000,475675000,0
1787939217104,4425000,100000,475575000,0
1787939218105,4525000,100000,475475000,0
1787939219105,4625000,100000,475375000,0
1787939220105,4725000,100000,475275000,0
1787939221105,4825000,100000,475175000,0
1787939222105,4925000,100000,475075000,0
1787939223105,5025000,100000,474975000,0
1787939224106,5125000,100000,474875000,0
1787939225106,5225000,100000,474775000,0
1787939226106,5325000,100000,474675000,0
1787939227106,5425000,100000,474575000,0
1787939228106,5525000,100000,474475000,0
1787939229106,5625000,100000,474375000,0
1787939230107,5725000,100000,474275000,0
1787939231107,5825000,100000,474175000,0
1787939232107,5925000,100000,474075000,0
1787939233107,6025000,100000,473975000,0
1787939234107,6125000,100000,473875000,0
1787939235107,6225000,100000,473775000,0
1787939236108,6325000,100000,473675000,0
1787939237108,6425000,100000,473575000,0
1787939238108,6525000,100000,473475000,0
1787939239108,6625000,100000,473375000,0
1787939240108,6725000,100000,473275000,0
1787939241108,6825000,100000,473175000,0
1787939242108,6925000,100000,473075000,0
1787939243108,7025000,100000,472975000,0
1787939244108,7125000,100000,472875000,0
1787939245108,7225000,100000,472775000,0
1787939246108,7325000,100000,472675000,0
1787939247108,7425000,100000,472575000,0
1787939248108,7525000,100000,472475000,0
1787939249108,7625000,100000,472375000,0
1787939250108,7725000,100000,472275000,0
1787939251108,7825000,100000,472175000,0
1787939252108,7925000,100000,472075000,0
1787939253108,8025000,100000,471975000,0
1787939254108,8125000,100000,471875000,0
1787939255108,8225000,100000,471775000,0
1787939256109,8325000,100000,471675000,0
1787939257109,8425000,100000,471575000,0
1787939258109,8525000,100000,471475000,0
1787939259109,8625000,100000,471375000,0
1787939260109,8725000,100000,471275000,0
1787939261109,8825000,100000,471175000,0
1787939262109,8925000,100000,471075000,0
1787939263109,9025000,100000,470975000,0
1787939264109,9125000,100000,470875000,0
1787939265109,9225000,100000,470775000,0
