timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1787939165612,nexmark-auction,0,0,0,0
1787939165612,nexmark-bid,0,0,0,0
1787939178338,nexmark-auction,38275,32151,56647,24496
1787939178338,nexmark-bid,680601,492849,868353,375504
1787939191125,nexmark-auction,117887,124011,136259,12248
1787939191125,nexmark-bid,1900989,1900989,2088741,187752
1787939203933,nexmark-auction,197499,185251,209747,24496
1787939203933,nexmark-bid,3121377,2839749,3215253,375504
1787939216677,nexmark-auction,270987,277111,289359,12248
1787939216677,nexmark-bid,4341765,4247889,4435641,187752
1787939229477,nexmark-auction,350599,338351,368971,30620
1787939229477,nexmark-bid,5468277,5186649,5656029,469380
1787939242297,nexmark-auction,430211,430211,448583,18372
1787939242297,nexmark-bid,6688665,6594789,6876417,281628
1787939254907,nexmark-auction,503699,522071,522071,0
1787939254907,nexmark-bid,7909053,8002929,8002929,0
1787939268015,nexmark-auction,589435,583311,607807,24496
1787939268015,nexmark-bid,9129441,8941689,9317193,375504
1787939280757,nexmark-auction,662923,675171,681295,6124
1787939280757,nexmark-bid,10349829,10349829,10443705,93876
1787939293674,nexmark-auction,750185,737941,786917,48976
1787939293674,nexmark-bid,11875327,11312059,12063083,751024
1787939306203,nexmark-auction,909357,921601,946089,24488
1787939306203,nexmark-bid,14128399,14128399,14503911,375512
1787939319157,nexmark-auction,1068529,1044041,1105261,61220
1787939319157,nexmark-bid,16569227,16005959,16944739,938780
1787939331837,nexmark-auction,1215457,1227701,1252189,24488
1787939331837,nexmark-bid,19010055,18822299,19197811,375512
1787939344537,nexmark-auction,1374629,1411361,1411361,0
1787939344537,nexmark-bid,21263127,21638639,21638639,0
1787939357431,nexmark-auction,1565952,1565952,1621056,55104
1787939357431,nexmark-bid,24290680,24009048,24853944,844896
1787939370088,nexmark-auction,1804736,1841472,1859136,17664
1787939370088,nexmark-bid,27951896,27913132,28285883,372751
1787939382913,nexmark-auction,2025152,2025152,2080256,55104
1787939382913,nexmark-bid,31613112,31049848,31894744,844896
1787939395773,nexmark-auction,2263936,2190464,2319040,128576
1787939395773,nexmark-bid,35274328,33584536,35555960,1971424
1787939408393,nexmark-auction,2502720,2465984,2557824,91840
1787939408393,nexmark-bid,38653912,37809016,39217176,1408160
1787939421009,nexmark-auction,2787138,2798114,2847090,48976
1787939421009,nexmark-bid,43277398,39897790,43652910,3755120
1787939434050,nexmark-auction,3116458,2920554,3165434,244880
1787939434050,nexmark-bid,48159054,44269300,48534566,4265266
1787939447037,nexmark-auction,3423375,3483778,3483778,0
1787939447037,nexmark-bid,53040710,53416222,53416222,0
1787939459706,nexmark-auction,3728658,3483778,3802122,318344
1787939459706,nexmark-bid,57834435,53416222,58297878,4881656
1787939472353,nexmark-auction,4048533,3998026,4140369,142343
1787939472353,nexmark-bid,62545855,57390713,63484631,6093918
1787939485223,nexmark-auction,4446489,4446489,4538325,91836
1787939485223,nexmark-bid,68647899,65796146,69506876,3710730
1787939497965,nexmark-auction,4813833,4752609,4905669,153060
1787939497965,nexmark-bid,74749943,72165955,75219331,3053376
1787939510714,nexmark-auction,5211789,5242401,5303625,61224
1787939510714,nexmark-bid,80698994,80340710,81321375,980665
1787939523505,nexmark-auction,5609745,5543745,5701581,157836
1787939523505,nexmark-bid,86484643,84663119,87423419,2760300
1787939536215,nexmark-auction,6033728,6070464,6143936,73472
1787939536215,nexmark-bid,93079536,93020943,94036993,1016050
