timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1787944449312,nexmark-auction,0,0,0,0
1787944449312,nexmark-bid,0,0,0,0
1787944462122,nexmark-auction,38275,26027,56647,30620
1787944462122,nexmark-bid,680601,398973,868353,469380
1787944474663,nexmark-auction,111763,117887,130135,12248
1787944474663,nexmark-bid,1900989,1807113,1994865,187752
1787944487265,nexmark-auction,191375,179127,209747,30620
1787944487265,nexmark-bid,3027501,2745873,3215253,469380
1787944499767,nexmark-auction,264863,270987,283235,12248
1787944499767,nexmark-bid,4247889,4154013,4341765,187752
1787944512513,nexmark-auction,344475,332227,362847,30620
1787944512513,nexmark-bid,5468277,5092773,5562153,469380
1787944525125,nexmark-auction,424087,424087,442459,18372
1787944525125,nexmark-bid,6594789,6500913,6782541,281628
1787944537749,nexmark-auction,497575,485327,515947,30620
1787944537749,nexmark-bid,7815177,7439673,7909053,469380
1787944550347,nexmark-auction,577187,577187,595559,18372
1787944550347,nexmark-bid,8941689,8847813,9129441,281628
1787944562880,nexmark-auction,656799,669047,669047,0
1787944562880,nexmark-bid,10162077,10255953,10255953,0
1787944575493,nexmark-auction,730287,730287,765876,35589
1787944575493,nexmark-bid,11515151,11194713,11740374,545661
1787944588025,nexmark-auction,903636,931188,944964,13776
1787944588025,nexmark-bid,14063838,14275062,14486286,211224
1787944600577,nexmark-auction,1068948,1068948,1110276,41328
1787944600577,nexmark-bid,16809750,16387302,17020974,633672
1787944613201,nexmark-auction,1248036,1275588,1289364,13776
1787944613201,nexmark-bid,19344438,19555662,19766886,211224
1787944625809,nexmark-auction,1413348,1413348,1454676,41328
1787944625809,nexmark-bid,22090350,21667902,22301574,633672
1787944638465,nexmark-auction,1592436,1619988,1633764,13776
1787944638465,nexmark-bid,24634191,24836262,25047486,211224
1787944651012,nexmark-auction,1771524,1757748,1812852,55104
1787944651012,nexmark-bid,27370950,26948502,27733286,784784
1787944663649,nexmark-auction,1936836,1964388,1978164,13776
1787944663649,nexmark-bid,30116862,30116862,30328086,211224
1787944676273,nexmark-auction,2115924,2102148,2157252,55104
1787944676273,nexmark-bid,32651550,32229102,33073998,844896
1787944688949,nexmark-auction,2295012,2308788,2322564,13776
1787944688949,nexmark-bid,35397462,35397462,35608686,211224
1787944701601,nexmark-auction,2420151,2414027,2438523,24496
1787944701601,nexmark-bid,37292601,37010973,37386477,375504
1787944714229,nexmark-auction,2499763,2505887,2518135,12248
1787944714229,nexmark-bid,38419113,38419113,38606865,187752
1787944726809,nexmark-auction,2573251,2567127,2591623,24496
1787944726809,nexmark-bid,39639501,39357873,39733377,375504
1787944739397,nexmark-auction,2652863,2658987,2671235,12248
1787944739397,nexmark-bid,40766013,40766013,40953765,187752
1787944752001,nexmark-auction,2732475,2720227,2750847,30620
1787944752001,nexmark-bid,41986401,41704773,42114129,409356
1787944764585,nexmark-auction,2805963,2812087,2824335,12248
1787944764585,nexmark-bid,43206789,43112913,43300665,187752
1787944777263,nexmark-auction,2885575,2873327,2903947,30620
1787944777263,nexmark-bid,44333301,44051673,44521053,469380
1787944789881,nexmark-auction,2998856,3017224,3053960,36736
1787944789881,nexmark-bid,46539408,46257776,46821040,563264
1787944802569,nexmark-auction,3237640,3200904,3292744,91840
1787944802569,nexmark-bid,50005363,49074096,50482256,1408160
1787944815225,nexmark-auction,3476424,3476424,3531528,55104
1787944815225,nexmark-bid,53580208,53298576,54143472,844896
1787944827931,nexmark-auction,3696840,3751944,3751944,0
1787944827931,nexmark-bid,57241424,57523056,57523056,0
1787944840506,nexmark-auction,3935624,3935624,3990728,55104
1787944840506,nexmark-bid,60621008,60339376,61184272,844896
1787944853209,nexmark-auction,4174408,4211144,4229512,18368
1787944853209,nexmark-bid,64282224,64563856,64845488,281632
1787944865877,nexmark-auction,4394824,4394824,4449928,55104
1787944865877,nexmark-bid,67943440,67380176,68225072,844896
1787944878613,nexmark-auction,4633608,4670344,4688712,18368
1787944878613,nexmark-bid,71426993,71604656,71886288,281632
1787944891220,nexmark-auction,4872392,4854024,4927496,73472
1787944891220,nexmark-bid,74984240,74420976,75547504,1126528
1787944903753,nexmark-auction,5092808,5129544,5144851,15307
1787944903753,nexmark-bid,78645456,78645456,78880149,234693
1787944916373,nexmark-auction,5206091,5199967,5224463,24496
1787944916373,nexmark-bid,79912785,79725033,80100537,375504
1787944928979,nexmark-auction,5279579,5291827,5297951,6124
1787944928979,nexmark-bid,81133173,81133173,81227049,93876
1787944941585,nexmark-auction,5359191,5353067,5377563,24496
1787944941585,nexmark-bid,82259685,82071933,82447437,375504
1787944954143,nexmark-auction,5438803,5444927,5457175,12248
1787944954143,nexmark-bid,83480073,83480073,83667825,187752
1787944966743,nexmark-auction,5512291,5506167,5530663,24496
1787944966743,nexmark-bid,84700461,84418833,84794337,375504
1787944979390,nexmark-auction,5591903,5598027,5610275,12248
1787944979390,nexmark-bid,85826973,85826973,86014725,187752
1787944992001,nexmark-auction,5665391,5659267,5683763,24496
1787944992001,nexmark-bid,87047361,86765733,87141237,375504
1787945004702,nexmark-auction,5883900,5906860,5952780,45920
1787945004702,nexmark-bid,90756884,90561890,91265970,704080
1787945017383,nexmark-auction,6182380,6136460,6251260,114800
1787945017383,nexmark-bid,95138410,94082290,95842490,1760200
1787945030055,nexmark-auction,6457900,6480860,6526780,45920
1787945030055,nexmark-bid,99714930,99362890,100066970,704080
1787945042702,nexmark-auction,6756380,6710460,6825260,114800
1787945042702,nexmark-bid,104119672,102883290,104643490,1760200
1787945055291,nexmark-auction,7054860,7054860,7123740,68880
1787945055291,nexmark-bid,108515930,108163890,109220010,1056120
1787945068045,nexmark-auction,7330380,7399260,7399260,0
1787945068045,nexmark-bid,113092450,113444490,113444490,0
1787945080597,nexmark-auction,7628860,7628860,7697740,68880
1787945080597,nexmark-bid,117316930,116964890,118021010,1056120
1787945093205,nexmark-auction,7927340,7858460,7996220,137760
1787945093205,nexmark-bid,121893450,120485290,122433325,1948035
1787945105817,nexmark-auction,8202860,8202860,8271740,68880
1787945105817,nexmark-bid,126469970,125765890,126822010,1056120
1787945118501,nexmark-auction,8463459,8475707,8481831,6124
1787945118501,nexmark-bid,129855417,129949293,130043169,93876
1787945131078,nexmark-auction,8536947,8536947,8555319,18372
1787945131078,nexmark-bid,131075805,130888053,131169681,281628
1787945143642,nexmark-auction,8616559,8628807,8634931,6124
1787945143642,nexmark-bid,132202317,132296193,132390069,93876
1787945156395,nexmark-auction,8696171,8690047,8714543,24496
1787945156395,nexmark-bid,133422705,133234953,133610457,375504
1787945169069,nexmark-auction,8769659,8781907,8788031,6124
1787945169069,nexmark-bid,134643093,134643093,134736969,93876
1787945181725,nexmark-auction,8849271,8843147,8867643,24496
1787945181725,nexmark-bid,135842519,135581853,135957357,375504
1787945194389,nexmark-auction,8928883,8935007,8947255,12248
1787945194389,nexmark-bid,136989993,136989993,137177745,187752
1787945207106,nexmark-auction,9002371,8996247,9020743,24496
1787945207106,nexmark-bid,138210381,137928753,138304257,375504
1787945220059,nexmark-auction,9081983,9088107,9100355,12248
1787945220059,nexmark-bid,139430769,139336893,139524645,187752
1787945232667,nexmark-auction,9161595,9179967,9179967,0
1787945232667,nexmark-bid,140557281,140745033,140745033,0
1787945245365,nexmark-auction,9184560,9184560,9184560,0
1787945245365,nexmark-bid,140815440,140815440,140815440,0
1787945257881,nexmark-auction,9184560,9184560,9184560,0
1787945257881,nexmark-bid,140815440,140815440,140815440,0
1787945270393,nexmark-auction,9184560,9184560,9184560,0
1787945270393,nexmark-bid,140815440,140815440,140815440,0
1787945283090,nexmark-auction,9184560,9184560,9184560,0
1787945283090,nexmark-bid,140815440,140815440,140815440,0
1787945295647,nexmark-auction,9184560,9184560,9184560,0
1787945295647,nexmark-bid,140815440,140815440,140815440,0
