timestamp,jobId,taskId,idleTimeNs,kafkaQueueTimeNs,kafkaQueueTimeAvgNs,kafkaQueueTimeMaxNs,kafkaQueueSamples,inputRate,recordsRead
1787944456865,unknown,Stage0-4-0,0,-1,-1,0,0,0.01,1
1787944456864,unknown,Stage0-0-0,0,-1,-1,0,0,0.01,1
1787944457859,unknown,Stage0-5-0,0,-1,-1,0,0,0.01,1
1787944457859,unknown,Stage0-1-0,0,-1,-1,0,0,0.01,1
1787944457864,unknown,Stage0-0-0,0,-1,80000000,147000000,2,2659.00,2660
1787944457864,unknown,Stage0-6-0,0,-1,-1,0,0,0.01,1
1787944457864,unknown,Stage0-2-0,0,-1,-1,0,0,0.01,1
1787944457865,unknown,Stage0-4-0,0,-1,217800000,323000000,25,25980.00,25981
1787944457869,unknown,Stage0-7-0,0,-1,-1,0,0,0.01,1
1787944457877,unknown,Stage0-3-0,0,-1,-1,0,0,0.01,1
1787944458859,unknown,Stage0-5-0,0,-1,92608695,141000000,23,23469.00,23470
1787944458859,unknown,Stage0-1-0,0,-1,45000000,45000000,1,1531.00,1532
1787944458864,unknown,Stage0-6-0,0,-1,90173913,136000000,23,23879.00,23880
1787944458864,unknown,Stage0-2-0,0,-1,34000000,34000000,1,1672.00,1673
1787944458865,unknown,Stage0-4-0,0,-1,90307692,150000000,26,25056.00,51037
1787944458869,unknown,Stage0-7-0,0,-1,90739130,136000000,23,23626.00,23627
1787944458877,unknown,Stage0-3-0,0,-1,24500000,38000000,2,2066.00,2067
1787944459835,unknown,Stage0-0-0,0,-1,29500000,39000000,2,981.23,4594
1787944459859,unknown,Stage0-5-0,0,-1,54043478,98000000,23,23469.00,46939
1787944459860,unknown,Stage0-1-0,0,-1,23000000,33000000,2,1529.47,3063
1787944459864,unknown,Stage0-2-0,0,-1,17000000,25000000,2,1539.00,3212
1787944459864,unknown,Stage0-6-0,0,-1,51375000,99000000,24,23381.00,47261
1787944459865,unknown,Stage0-4-0,0,-1,63434782,109000000,23,23832.00,74869
1787944459869,unknown,Stage0-7-0,0,-1,50416666,93000000,24,23405.00,47032
1787944459877,unknown,Stage0-3-0,0,-1,25000000,25000000,1,1608.00,3675
1787944460836,unknown,Stage0-0-0,0,-1,19000000,27000000,2,1529.47,6125
1787944460859,unknown,Stage0-5-0,0,-1,57750000,108000000,24,23469.00,70408
1787944460861,unknown,Stage0-1-0,0,-1,18000000,18000000,1,1529.47,4594
1787944460864,unknown,Stage0-2-0,0,-1,16000000,16000000,1,1435.00,4647
1787944460864,unknown,Stage0-6-0,0,-1,60956521,109000000,23,23450.00,70711
1787944460865,unknown,Stage0-4-0,0,-1,68166666,128000000,24,24007.00,98876
1787944460869,unknown,Stage0-7-0,0,-1,68434782,112000000,23,23376.00,70408
1787944460877,unknown,Stage0-3-0,0,-1,13500000,16000000,2,1373.00,5048
1787944461838,unknown,Stage0-0-0,0,-1,16000000,16000000,1,1527.94,7656
1787944461860,unknown,Stage0-5-0,0,-1,55826086,100000000,23,23445.55,93877
1787944461861,unknown,Stage0-1-0,0,-1,16000000,23000000,2,1531.00,6125
1787944461864,unknown,Stage0-2-0,0,-1,16000000,24000000,2,1527.00,6174
1787944461864,unknown,Stage0-6-0,0,-1,54541666,103000000,24,23298.00,94009
1787944461865,unknown,Stage0-4-0,0,-1,60041666,110000000,24,23285.00,122161
1787944461869,unknown,Stage0-7-0,0,-1,61869565,107000000,23,23469.00,93877
1787944461877,unknown,Stage0-3-0,0,-1,25000000,25000000,1,1582.00,6630
1787944462838,unknown,Stage0-0-0,0,-1,16000000,23000000,2,1583.00,9239
1787944462861,unknown,Stage0-5-0,0,-1,60125000,110000000,24,23445.55,117346
1787944462861,unknown,Stage0-1-0,0,-1,15000000,15000000,1,1531.00,7656
1787944462864,unknown,Stage0-6-0,0,-1,58869565,109000000,23,23423.00,117432
1787944462864,unknown,Stage0-2-0,0,-1,15000000,15000000,1,1506.00,7680
1787944462865,unknown,Stage0-4-0,0,-1,53391304,94000000,23,23028.00,145189
1787944462869,unknown,Stage0-7-0,0,-1,57750000,111000000,24,23469.00,117346
1787944462877,unknown,Stage0-3-0,0,-1,12500000,17000000,2,1524.00,8154
1787944463838,unknown,Stage0-0-0,0,-1,14000000,14000000,1,1507.00,10746
1787944463861,unknown,Stage0-5-0,0,-1,68434782,116000000,23,23469.00,140815
1787944463861,unknown,Stage0-1-0,0,-1,13500000,20000000,2,1531.00,9187
1787944463864,unknown,Stage0-2-0,0,-1,15000000,22000000,2,1518.00,9198
1787944463864,unknown,Stage0-6-0,0,-1,51695652,95000000,23,23430.00,140862
1787944463865,unknown,Stage0-4-0,0,-1,66916666,121000000,24,24087.00,169276
1787944463869,unknown,Stage0-7-0,0,-1,52826086,95000000,23,23469.00,140815
1787944463877,unknown,Stage0-3-0,0,-1,23000000,23000000,1,1527.00,9681
1787944464838,unknown,Stage0-0-0,0,-1,13500000,20000000,2,1503.00,12249
1787944464862,unknown,Stage0-5-0,0,-1,55666666,104000000,24,23445.55,164284
1787944464862,unknown,Stage0-1-0,0,-1,12000000,12000000,1,1529.47,10718
1787944464864,unknown,Stage0-6-0,0,-1,53291666,98000000,24,23467.00,164329
1787944464864,unknown,Stage0-2-0,0,-1,13000000,13000000,1,1520.00,10718
1787944464865,unknown,Stage0-4-0,0,-1,51913043,96000000,23,23463.00,192739
1787944464870,unknown,Stage0-7-0,0,-1,55916666,105000000,24,23445.55,164284
1787944464877,unknown,Stage0-3-0,0,-1,11000000,15000000,2,1502.00,11183
1787944465838,unknown,Stage0-0-0,0,-1,12000000,12000000,1,1531.00,13780
1787944465862,unknown,Stage0-5-0,0,-1,56391304,101000000,23,23469.00,187753
1787944465862,unknown,Stage0-1-0,0,-1,12500000,19000000,2,1531.00,12249
1787944465864,unknown,Stage0-6-0,0,-1,51000000,92000000,23,23424.00,187753
1787944465864,unknown,Stage0-2-0,0,-1,13500000,20000000,2,1531.00,12249
1787944465865,unknown,Stage0-4-0,0,-1,53043478,94000000,23,23254.00,215993
1787944465871,unknown,Stage0-7-0,0,-1,53652173,94000000,23,23445.55,187753
1787944465877,unknown,Stage0-3-0,0,-1,22000000,22000000,1,1502.00,12685
1787944466839,unknown,Stage0-0-0,0,-1,12500000,19000000,2,1529.47,15311
1787944466862,unknown,Stage0-5-0,0,-1,53875000,97000000,24,23469.00,211222
1787944466863,unknown,Stage0-1-0,0,-1,12000000,12000000,1,1529.47,13780
1787944466864,unknown,Stage0-6-0,0,-1,50833333,91000000,24,23469.00,211222
1787944466865,unknown,Stage0-4-0,0,-1,56291666,105000000,24,23483.00,239476
1787944466865,unknown,Stage0-2-0,0,-1,12000000,12000000,1,1529.47,13780
1787944466871,unknown,Stage0-7-0,0,-1,55958333,99000000,24,23469.00,211222
1787944466877,unknown,Stage0-3-0,0,-1,10000000,14000000,2,1504.00,14189
1787944467839,unknown,Stage0-0-0,0,-1,11000000,11000000,1,1531.00,16842
1787944467863,unknown,Stage0-5-0,0,-1,56608695,106000000,23,23445.55,234691
1787944467864,unknown,Stage0-1-0,0,-1,11500000,18000000,2,1529.47,15311
1787944467865,unknown,Stage0-4-0,0,-1,51652173,89000000,23,23505.00,262981
1787944467865,unknown,Stage0-6-0,0,-1,54565217,98000000,23,23445.55,234691
1787944467869,unknown,Stage0-2-0,0,-1,16000000,25000000,2,1524.90,15311
1787944467872,unknown,Stage0-7-0,0,-1,52608695,95000000,23,23445.55,234691
1787944467877,unknown,Stage0-3-0,0,-1,20000000,20000000,1,1506.00,15695
1787944468840,unknown,Stage0-0-0,0,-1,11000000,17000000,2,1529.47,18373
1787944468864,unknown,Stage0-5-0,0,-1,50083333,92000000,24,23445.55,258160
1787944468864,unknown,Stage0-1-0,0,-1,11000000,11000000,1,1531.00,16842
1787944468865,unknown,Stage0-4-0,0,-1,62916666,116000000,24,23204.00,286185
1787944468866,unknown,Stage0-6-0,0,-1,47708333,91000000,24,23445.55,258160
1787944468869,unknown,Stage0-2-0,0,-1,8500000,12000000,2,1733.00,17044
1787944468872,unknown,Stage0-7-0,0,-1,67125000,113000000,24,23469.00,258160
1787944468877,unknown,Stage0-3-0,0,-1,9500000,13000000,2,1449.00,17144
1787944469840,unknown,Stage0-0-0,0,-1,11000000,11000000,1,1531.00,19904
1787944469865,unknown,Stage0-4-0,0,-1,58782608,103000000,23,23430.00,309615
1787944469865,unknown,Stage0-1-0,0,-1,12000000,20000000,2,1529.47,18373
1787944469865,unknown,Stage0-5-0,0,-1,51173913,91000000,23,23445.55,281629
1787944469866,unknown,Stage0-6-0,0,-1,52391304,97000000,23,23469.00,281629
1787944469869,unknown,Stage0-2-0,0,-1,21000000,21000000,1,1487.00,18531
1787944469873,unknown,Stage0-7-0,0,-1,58043478,98000000,23,23445.55,281629
1787944469877,unknown,Stage0-3-0,0,-1,20000000,20000000,1,1473.00,18617
1787944470841,unknown,Stage0-0-0,0,-1,10500000,17000000,2,1529.47,21435
1787944470865,unknown,Stage0-5-0,0,-1,54041666,98000000,24,23502.00,305131
1787944470865,unknown,Stage0-4-0,0,-1,51333333,94000000,24,23452.00,333067
1787944470865,unknown,Stage0-1-0,0,-1,11000000,11000000,1,1531.00,19904
1787944470866,unknown,Stage0-6-0,0,-1,51291666,97000000,24,23469.00,305098
1787944470869,unknown,Stage0-2-0,0,-1,8000000,12000000,2,1511.00,20042
1787944470873,unknown,Stage0-7-0,0,-1,52750000,96000000,24,23469.00,305098
1787944470877,unknown,Stage0-3-0,0,-1,8500000,13000000,2,1508.00,20125
1787944471842,unknown,Stage0-0-0,0,-1,10000000,10000000,1,1529.47,22966
1787944471865,unknown,Stage0-4-0,0,-1,56608695,95000000,23,23344.00,356411
1787944471865,unknown,Stage0-5-0,0,-1,62565217,106000000,23,23436.00,328567
1787944471865,unknown,Stage0-1-0,0,-1,13000000,22000000,2,1531.00,21435
1787944471867,unknown,Stage0-6-0,0,-1,48956521,92000000,23,23445.55,328567
1787944471869,unknown,Stage0-2-0,0,-1,20000000,20000000,1,1482.00,21524
1787944471873,unknown,Stage0-7-0,0,-1,61000000,102000000,23,23469.00,328567
1787944471877,unknown,Stage0-3-0,0,-1,23000000,23000000,1,1505.00,21630
1787944472842,unknown,Stage0-0-0,0,-1,10000000,16000000,2,1531.00,24497
1787944472865,unknown,Stage0-4-0,0,-1,55347826,97000000,23,23254.00,379665
1787944472866,unknown,Stage0-5-0,0,-1,52541666,98000000,24,23445.55,352036
1787944472866,unknown,Stage0-1-0,0,-1,9000000,9000000,1,1529.47,22966
1787944472868,unknown,Stage0-6-0,0,-1,50916666,99000000,24,23445.55,352036
1787944472869,unknown,Stage0-2-0,0,-1,11000000,11000000,1,1456.00,22980
1787944472875,unknown,Stage0-7-0,0,-1,53958333,97000000,24,23422.16,352036
1787944472877,unknown,Stage0-3-0,0,-1,8500000,14000000,2,1501.00,23131
1787944473844,unknown,Stage0-0-0,0,-1,15000000,21000000,2,1527.94,26028
1787944473865,unknown,Stage0-4-0,0,-1,55869565,103000000,23,22828.00,402493
1787944473867,unknown,Stage0-5-0,0,-1,51782608,95000000,23,23445.55,375505
1787944473867,unknown,Stage0-1-0,0,-1,9500000,17000000,2,1529.47,24497
1787944473868,unknown,Stage0-6-0,0,-1,58956521,102000000,23,23469.00,375505
1787944473869,unknown,Stage0-2-0,0,-1,12000000,21000000,2,1521.00,24501
1787944473875,unknown,Stage0-7-0,0,-1,56478260,95000000,23,23474.00,375510
1787944473877,unknown,Stage0-3-0,0,-1,22000000,22000000,1,1514.00,24645
1787944474844,unknown,Stage0-0-0,0,-1,18000000,18000000,1,1531.00,27559
1787944474865,unknown,Stage0-4-0,0,-1,53000000,98000000,24,24058.00,426551
1787944474867,unknown,Stage0-5-0,0,-1,60304347,110000000,23,23469.00,398974
1787944474867,unknown,Stage0-1-0,0,-1,19000000,27000000,2,1531.00,26028
1787944474868,unknown,Stage0-6-0,0,-1,49086956,88000000,23,23469.00,398974
1787944474869,unknown,Stage0-2-0,0,-1,19000000,28000000,2,1527.00,26028
1787944474875,unknown,Stage0-7-0,0,-1,50000000,92000000,23,23465.00,398975
1787944474877,unknown,Stage0-3-0,0,-1,20500000,29000000,2,1504.00,26149
1787944475845,unknown,Stage0-0-0,0,-1,13000000,19000000,2,1529.47,29090
1787944475865,unknown,Stage0-4-0,0,-1,49434782,93000000,23,23361.00,449912
1787944475867,unknown,Stage0-5-0,0,-1,49833333,92000000,24,23469.00,422443
1787944475868,unknown,Stage0-1-0,0,-1,15000000,15000000,1,1529.47,27559
1787944475869,unknown,Stage0-2-0,0,-1,18000000,18000000,1,1531.00,27559
1787944475869,unknown,Stage0-6-0,0,-1,47791666,88000000,24,23445.55,422443
1787944475876,unknown,Stage0-7-0,0,-1,50291666,93000000,24,23444.56,422443
1787944475877,unknown,Stage0-3-0,0,-1,20000000,20000000,1,1506.00,27655
1787944476846,unknown,Stage0-0-0,0,-1,13000000,13000000,1,1529.47,30621
1787944476865,unknown,Stage0-4-0,0,-1,54695652,99000000,23,22307.00,472219
1787944476868,unknown,Stage0-5-0,0,-1,57391304,99000000,23,23445.55,445912
1787944476868,unknown,Stage0-1-0,0,-1,17500000,26000000,2,1531.00,29090
1787944476869,unknown,Stage0-6-0,0,-1,55391304,96000000,23,23469.00,445912
1787944476869,unknown,Stage0-2-0,0,-1,18000000,27000000,2,1531.00,29090
1787944476876,unknown,Stage0-7-0,0,-1,56347826,99000000,23,23469.00,445912
1787944476877,unknown,Stage0-3-0,0,-1,18500000,27000000,2,1478.00,29133
1787944477846,unknown,Stage0-0-0,0,-1,16000000,24000000,2,1531.00,32152
1787944477865,unknown,Stage0-4-0,0,-1,53375000,97000000,24,24119.00,496338
1787944477868,unknown,Stage0-5-0,0,-1,52291666,97000000,24,23469.00,469381
1787944477869,unknown,Stage0-1-0,0,-1,13000000,13000000,1,1529.47,30621
1787944477870,unknown,Stage0-6-0,0,-1,52208333,92000000,24,23445.55,469381
1787944477870,unknown,Stage0-2-0,0,-1,18000000,18000000,1,1529.47,30621
1787944477876,unknown,Stage0-7-0,0,-1,51750000,95000000,24,23469.00,469381
1787944477877,unknown,Stage0-3-0,0,-1,20000000,20000000,1,1565.00,30698
1787944478847,unknown,Stage0-0-0,0,-1,14000000,14000000,1,1529.47,33683
1787944478865,unknown,Stage0-4-0,0,-1,54565217,96000000,23,23346.00,519684
1787944478868,unknown,Stage0-5-0,0,-1,54826086,96000000,23,23469.00,492850
1787944478869,unknown,Stage0-1-0,0,-1,14500000,21000000,2,1531.00,32152
1787944478870,unknown,Stage0-6-0,0,-1,55478260,105000000,23,23469.00,492850
1787944478870,unknown,Stage0-2-0,0,-1,14500000,21000000,2,1531.00,32152
1787944478876,unknown,Stage0-7-0,0,-1,57347826,99000000,23,23469.00,492850
1787944478877,unknown,Stage0-3-0,0,-1,19000000,28000000,2,1542.00,32240
1787944479847,unknown,Stage0-0-0,0,-1,13500000,20000000,2,1531.00,35214
1787944479865,unknown,Stage0-4-0,0,-1,51826086,96000000,23,23208.00,542892
1787944479869,unknown,Stage0-5-0,0,-1,58583333,107000000,24,23445.55,516319
1787944479870,unknown,Stage0-1-0,0,-1,13000000,13000000,1,1529.47,33683
1787944479870,unknown,Stage0-6-0,0,-1,47291666,90000000,24,23469.00,516319
1787944479872,unknown,Stage0-2-0,0,-1,18000000,18000000,1,1527.94,33683
1787944479876,unknown,Stage0-7-0,0,-1,49250000,91000000,24,23469.00,516319
1787944479877,unknown,Stage0-3-0,0,-1,14000000,14000000,1,1477.00,33717
1787944480848,unknown,Stage0-0-0,0,-1,15000000,15000000,1,1529.47,36745
1787944480865,unknown,Stage0-4-0,0,-1,55166666,102000000,24,23198.00,566090
1787944480870,unknown,Stage0-5-0,0,-1,52391304,96000000,23,23445.55,539788
1787944480871,unknown,Stage0-1-0,0,-1,17000000,26000000,2,1529.47,35214
1787944480871,unknown,Stage0-6-0,0,-1,51956521,96000000,23,23445.55,539788
1787944480872,unknown,Stage0-2-0,0,-1,17500000,24000000,2,1531.00,35214
1787944480876,unknown,Stage0-7-0,0,-1,54000000,97000000,23,23469.00,539788
1787944480880,unknown,Stage0-3-0,0,-1,15000000,22000000,2,1492.52,35214
1787944481848,unknown,Stage0-0-0,0,-1,12000000,18000000,2,1531.00,38276
1787944481865,unknown,Stage0-4-0,0,-1,54043478,98000000,23,23542.00,589632
1787944481870,unknown,Stage0-5-0,0,-1,60625000,107000000,24,23469.00,563257
1787944481871,unknown,Stage0-1-0,0,-1,13000000,13000000,1,1531.00,36745
1787944481872,unknown,Stage0-6-0,0,-1,53500000,100000000,24,23445.55,563257
1787944481872,unknown,Stage0-2-0,0,-1,17000000,17000000,1,1531.00,36745
1787944481878,unknown,Stage0-7-0,0,-1,63083333,109000000,24,23422.16,563257
1787944481880,unknown,Stage0-3-0,0,-1,17000000,17000000,1,1694.00,36908
1787944482849,unknown,Stage0-0-0,0,-1,13000000,13000000,1,1529.47,39807
1787944482867,unknown,Stage0-4-0,0,-1,56130434,99000000,23,23282.44,612961
1787944482870,unknown,Stage0-5-0,0,-1,60826086,106000000,23,23469.00,586726
1787944482872,unknown,Stage0-1-0,0,-1,12500000,19000000,2,1529.47,38276
1787944482872,unknown,Stage0-6-0,0,-1,53782608,92000000,23,23469.00,586726
1787944482873,unknown,Stage0-2-0,0,-1,18000000,27000000,2,1529.47,38276
1787944482878,unknown,Stage0-7-0,0,-1,58217391,99000000,23,23469.00,586726
1787944482880,unknown,Stage0-3-0,0,-1,14000000,21000000,2,1493.00,38401
1787944483849,unknown,Stage0-0-0,0,-1,12500000,19000000,2,1531.00,41338
1787944483867,unknown,Stage0-4-0,0,-1,54583333,96000000,24,23831.00,636792
1787944483871,unknown,Stage0-5-0,0,-1,53083333,95000000,24,23445.55,610195
1787944483872,unknown,Stage0-1-0,0,-1,12000000,12000000,1,1548.00,39824
1787944483872,unknown,Stage0-6-0,0,-1,54125000,94000000,24,23469.00,610195
1787944483873,unknown,Stage0-2-0,0,-1,15000000,15000000,1,1531.00,39807
1787944483878,unknown,Stage0-7-0,0,-1,56916666,102000000,24,23469.00,610195
1787944483880,unknown,Stage0-3-0,0,-1,16000000,16000000,1,1462.00,39863
1787944484849,unknown,Stage0-0-0,0,-1,12000000,12000000,1,1531.00,42869
1787944484867,unknown,Stage0-4-0,0,-1,64291666,115000000,24,23521.00,660313
1787944484872,unknown,Stage0-5-0,0,-1,53869565,97000000,23,23445.55,633664
1787944484872,unknown,Stage0-1-0,0,-1,12500000,19000000,2,1514.00,41338
1787944484872,unknown,Stage0-6-0,0,-1,64956521,108000000,23,23469.00,633664
1787944484873,unknown,Stage0-2-0,0,-1,12500000,19000000,2,1531.00,41338
1787944484880,unknown,Stage0-3-0,0,-1,14000000,21000000,2,1560.00,41423
1787944484880,unknown,Stage0-7-0,0,-1,56130434,99000000,23,23422.16,633664
1787944485850,unknown,Stage0-0-0,0,-1,10500000,17000000,2,1529.47,44400
1787944485867,unknown,Stage0-4-0,0,-1,52043478,91000000,23,22979.00,683292
1787944485872,unknown,Stage0-1-0,0,-1,12000000,12000000,1,1531.00,42869
1787944485872,unknown,Stage0-5-0,0,-1,55916666,100000000,24,23469.00,657133
1787944485873,unknown,Stage0-6-0,0,-1,55083333,97000000,24,23445.55,657133
1787944485874,unknown,Stage0-2-0,0,-1,14000000,14000000,1,1529.47,42869
