timestamp,jobId,avgCpu,avgInput,avgProcess,queue,numExecutors,numLambdaExecutors,lastActionWasScaleOut,prevFutureCompleted,registeredVmWorkers,activeVmWorkers,vmWorkerRunningTasks
1787944449312,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.150202,0.0,-1.0,-1,24,-1,unknown,unknown,-1,-1,-1
1787944462122,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.034625,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944474663,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.035328,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944487265,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.035234,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944499767,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.034438,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944512513,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.035234,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944525125,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.035203,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944537749,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.021703,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944550347,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.021688,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944562880,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.021906,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944575493,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.030406,225000.0,199318.4,-1,4,-1,unknown,unknown,-1,-1,-1
1787944588025,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.038016,225000.0,225419.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944600577,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.038141,225000.0,224171.8,-1,4,-1,unknown,unknown,-1,-1,-1
1787944613201,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.038469,225000.0,225000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944625809,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.038406,225000.0,226305.4,-1,4,-1,unknown,unknown,-1,-1,-1
1787944638465,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.033484,225000.0,225000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944651012,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.041281,225000.0,225000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944663649,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.038875,225000.0,225000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944676273,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.038917,225000.0,225002.6,-1,1,-1,unknown,unknown,-1,-1,-1
1787944688949,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.040094,225000.0,225000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944701601,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.039969,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1787944714229,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.026542,100000.0,100000.0,-1,2,-1,unknown,unknown,-1,-1,-1
1787944726809,sponge-q6-c6525-repeated-scale-100k375k-20260828T191034Z,0.033172,100000.0,100000.0,-1,4,-1,unknown,unknown,-1,-1,-1
