timestamp,totalEvents,deltaEvents,remainingEvents,baselineOffsetTotal
1786657973267,0,0,37510000,0
1786657974268,0,0,37510000,0
1786657975268,0,0,37510000,0
1786657976268,0,0,37510000,0
1786657977269,0,0,37510000,0
1786657978269,0,0,37510000,0
1786657979269,0,0,37510000,0
1786657980269,0,0,37510000,0
1786657981269,0,0,37510000,0
1786657982269,0,0,37510000,0
1786657983269,25000,25000,37485000,0
1786657984269,98751,73751,37411249,0
1786657985270,201742,102991,37308258,0
1786657986270,303076,101334,37206924,0
1786657987270,401643,98567,37108357,0
1786657988271,503069,101426,37006931,0
1786657989271,603747,100678,36906253,0
1786657990271,698357,94610,36811643,0
1786657991271,800938,102581,36709062,0
1786657992271,899051,98113,36610949,0
1786657993271,998545,99494,36511455,0
1786657994272,1094440,95895,36415560,0
1786657995272,1199076,104636,36310924,0
1786657996272,1299681,100605,36210319,0
1786657997272,1394999,95318,36115001,0
1786657998272,1498829,103830,36011171,0
1786657999272,1595057,96228,35914943,0
1786658000273,1696937,101880,35813063,0
1786658001273,1794498,97561,35715502,0
1786658002273,1896827,102329,35613173,0
1786658003274,1989096,92269,35520904,0
1786658004274,2096869,107773,35413131,0
1786658005274,2185135,88266,35324865,0
1786658006274,2288141,103006,35221859,0
1786658007274,2388237,100096,35121763,0
1786658008274,2488830,100593,35021170,0
1786658009274,2587860,99030,34922140,0
1786658010274,2689093,101233,34820907,0
1786658011275,2787342,98249,34722658,0
1786658012275,2889161,101819,34620839,0
1786658013275,2990371,101210,34519629,0
1786658014275,3085579,95208,34424421,0
1786658015275,3188790,103211,34321210,0
1786658016275,3287771,98981,34222229,0
1786658017275,3384853,97082,34125147,0
1786658018275,3481573,96720,34028427,0
1786658019275,3583706,102133,33926294,0
1786658020275,3686427,102721,33823573,0
1786658021275,3787308,100881,33722692,0
1786658022275,3883272,95964,33626728,0
1786658023275,3982029,98757,33527971,0
1786658024275,4084612,102583,33425388,0
1786658025275,4182784,98172,33327216,0
1786658026275,4282340,99556,33227660,0
1786658027275,4379065,96725,33130935,0
1786658028275,4481636,102571,33028364,0
1786658029275,4578907,97271,32931093,0
1786658030275,4677442,98535,32832558,0
1786658031275,4780994,103552,32729006,0
1786658032275,4874330,93336,32635670,0
1786658033275,4979547,105217,32530453,0
1786658034276,5080163,100616,32429837,0
1786658035276,5181090,100927,32328910,0
1786658036276,5281239,100149,32228761,0
1786658037276,5382369,101130,32127631,0
1786658038276,5475063,92694,32034937,0
1786658039276,5574590,99527,31935410,0
1786658040276,5670582,95992,31839418,0
1786658041276,5772200,101618,31737800,0
1786658042276,5874437,102237,31635563,0
1786658043276,5971358,96921,31538642,0
1786658044277,6073853,102495,31436147,0
1786658045277,6171562,97709,31338438,0
1786658046277,6275378,103816,31234622,0
1786658047277,6373145,97767,31136855,0
1786658048277,6474954,101809,31035046,0
1786658049277,6569341,94387,30940659,0
1786658050277,6670521,101180,30839479,0
1786658051277,6768718,98197,30741282,0
1786658052277,6860438,91720,30649562,0
1786658053277,6967263,106825,30542737,0
1786658054277,7065474,98211,30444526,0
1786658055277,7162256,96782,30347744,0
1786658056277,7267350,105094,30242650,0
1786658057277,7369032,101682,30140968,0
1786658058277,7462785,93753,30047215,0
1786658059277,7561679,98894,29948321,0
1786658060277,7660480,98801,29849520,0
1786658061277,7759574,99094,29750426,0
1786658062277,7859341,99767,29650659,0
1786658063277,7961780,102439,29548220,0
1786658064277,8060546,98766,29449454,0
1786658065277,8160933,100387,29349067,0
1786658066278,8256784,95851,29253216,0
1786658067278,8358717,101933,29151283,0
1786658068278,8458084,99367,29051916,0
1786658069278,8560538,102454,28949462,0
1786658070279,8656540,96002,28853460,0
1786658071279,8756520,99980,28753480,0
1786658072279,8854194,97674,28655806,0
1786658073279,8953798,99604,28556202,0
1786658074279,9053859,100061,28456141,0
1786658075279,9155863,102004,28354137,0
1786658076279,9256363,100500,28253637,0
1786658077279,9354895,98532,28155105,0
1786658078279,9452002,97107,28057998,0
1786658079279,9552366,100364,27957634,0
1786658080279,9651118,98752,27858882,0
1786658081279,9750713,99595,27759287,0
1786658082279,9850532,99819,27659468,0
1786658083279,9949611,99079,27560389,0
1786658084279,10047578,97967,27462422,0
1786658085279,10144287,96709,27365713,0
1786658086279,10244571,100284,27265429,0
1786658087279,10346563,101992,27163437,0
1786658088279,10444182,97619,27065818,0
1786658089279,10544949,100767,26965051,0
1786658090279,10642752,97803,26867248,0
1786658091279,10740928,98176,26769072,0
1786658092279,10839821,98893,26670179,0
1786658093279,10939854,100033,26570146,0
1786658094280,11039949,100095,26470051,0
1786658095280,11140008,100059,26369992,0
1786658096280,11240057,100049,26269943,0
1786658097280,11339127,99070,26170873,0
1786658098281,11437671,98544,26072329,0
1786658099281,11538597,100926,25971403,0
1786658100281,11638189,99592,25871811,0
1786658101281,11738268,100079,25771732,0
1786658102281,11838257,99989,25671743,0
1786658103281,11938220,99963,25571780,0
1786658104282,12035391,97171,25474609,0
1786658105282,12135408,100017,25374592,0
1786658106282,12235354,99946,25274646,0
1786658107283,12335237,99883,25174763,0
1786658108283,12435259,100022,25074741,0
1786658109283,12543293,108034,24966707,0
1786658110283,12670607,127314,24839393,0
1786658111283,12803312,132705,24706688,0
1786658112283,12933305,129993,24576695,0
1786658113283,13061180,127875,24448820,0
1786658114283,13212291,151111,24297709,0
1786658115283,13426574,214283,24083426,0
1786658116283,13639542,212968,23870458,0
1786658117283,13851690,212148,23658310,0
1786658118283,14064863,213173,23445137,0
1786658119283,14305763,240900,23204237,0
1786658120283,14629390,323627,22880610,0
1786658121283,14954420,325030,22555580,0
1786658122283,15279293,324873,22230707,0
1786658123283,15603895,324602,21906105,0
1786658124283,15957569,353674,21552431,0
1786658125283,16395615,438046,21114385,0
1786658126283,16833670,438055,20676330,0
1786658127283,17271574,437904,20238426,0
1786658128283,17707019,435445,19802981,0
1786658129284,18165480,458461,19344520,0
1786658130284,18685390,519910,18824610,0
1786658131284,19205570,520180,18304430,0
1786658132284,19725518,519948,17784482,0
1786658133284,20245377,519859,17264623,0
1786658134284,20773053,527676,16736947,0
1786658135284,21323176,550123,16186824,0
1786658136284,21872071,548895,15637929,0
1786658137284,22420300,548229,15089700,0
1786658138284,22970286,549986,14539714,0
1786658139284,23512877,542591,13997123,0
1786658140284,24032737,519860,13477263,0
1786658141284,24552847,520110,12957153,0
1786658142284,25072801,519954,12437199,0
1786658143284,25592760,519959,11917240,0
1786658144285,26092256,499496,11417744,0
1786658145285,26529360,437104,10980640,0
1786658146285,26965500,436140,10544500,0
1786658147285,27403500,438000,10106500,0
1786658148285,27841500,438000,9668500,0
1786658149286,28251250,409750,9258750,0
1786658150286,28576250,325000,8933750,0
1786658151286,28901250,325000,8608750,0
1786658152286,29226250,325000,8283750,0
1786658153286,29551250,325000,7958750,0
1786658154286,29848250,297000,7661750,0
1786658155286,30061250,213000,7448750,0
1786658156286,30274250,213000,7235750,0
1786658157286,30487250,213000,7022750,0
1786658158286,30700250,213000,6809750,0
1786658159286,30892500,192250,6617500,0
1786658160286,31022500,130000,6487500,0
1786658161286,31152500,130000,6357500,0
1786658162286,31282500,130000,6227500,0
1786658163286,31412500,130000,6097500,0
1786658164286,31535000,122500,5975000,0
1786658165286,31635000,100000,5875000,0
1786658166286,31735000,100000,5775000,0
1786658167286,31835000,100000,5675000,0
1786658168286,31935000,100000,5575000,0
1786658169286,32035000,100000,5475000,0
1786658170286,32135000,100000,5375000,0
1786658171286,32235000,100000,5275000,0
1786658172286,32335000,100000,5175000,0
1786658173286,32435000,100000,5075000,0
1786658174286,32535000,100000,4975000,0
