timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors,registeredVmWorkers,activeVmWorkers,vmWorkerRunningTasks,consumerCommittedOffset,consumerLogEndOffset,consumerLag,kafkaQueueTimeUnweightedMeanMs,kafkaQueueTimeWeightedMeanMs,kafkaQueueTimeTotalSamples,kafkaQueueTimeValidTasks,kafkaQueueTimeValidIntervals,kafkaQueueTimeLatestTimestamp
1786658997960,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.000482,0.0,-1.0,-1,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
1786659014001,1196873,-1,1195269,1604,-1,91.65689823076923,100.12523766666668,100.12523766666668,-1,-1,-1,-1,0.020161,118180.0,117626.0,-1,4,-1,-1,-1,-1,974985,1447705,472720,61.0592366474359,90.88840082946709,1595,8,108,1786659022590
1786659029788,3087753,-1,3081558,6195,-1,88.64391486666666,91.6687331875,91.6687331875,-1,-1,-1,-1,0.019946,118180.0,116897.8,-1,4,-1,-1,-1,-1,2747685,3338585,590900,57.48832444427084,86.10107487849461,1860,8,126,1786659037642
1786659045747,4973206,-1,4972425,781,-1,83.64789975,86.1035875,86.1035875,-1,-1,-1,-1,0.020205,118180.0,117549.6,-1,4,-1,-1,-1,-1,5111285,5229465,118180,55.2278127109375,80.96403981015337,1891,8,128,1786659053655
1786659061516,6798392,-1,6737346,61046,-1,83.55944075,86.773561125,86.773561125,-1,-1,-1,-1,0.014161,118180.0,118063.4,-1,4,-1,-1,-1,-1,6883985,7120345,236360,56.2137894765625,81.73252079978813,1888,8,128,1786659069664
1786659077499,8649570,-1,8622752,26818,-1,83.811590125,85.3305220625,85.3305220625,-1,-1,-1,-1,0.014348,118180.0,117947.6,-1,4,-1,-1,-1,-1,8656685,9011225,354540,55.436435390625,80.94978819291754,1892,8,128,1786659085676
1786659093587,10533093,-1,10508826,24267,-1,83.4070764375,85.5682865625,85.5682865625,-1,-1,-1,-1,0.014473,118180.0,118277.4,-1,4,-1,-1,-1,-1,10429385,10902105,472720,56.2304375234375,81.0576105729387,1892,8,128,1786659101683
1786659109431,12423973,-1,12410304,13669,-1,73.87457158823528,82.23179229411764,82.23179229411764,-1,-1,-1,-1,0.014482,118180.0,118063.2,-1,4,-1,-1,-1,-1,12202085,12792985,590900,50.85475000735294,74.67664628243513,2004,8,136,1786659118694
1786659126304,14433033,-1,14415733,17300,-1,54.692211875,59.82944725,59.82944725,-1,-1,-1,-1,0.014607,153636.0,128110.8,-1,4,-1,-1,-1,-1,14565685,14810909,245224,38.64315659375,55.3505150257732,1940,8,128,1786659134704
1786659142199,18000587,-1,17753303,247284,-1,100.49771275,109.8540174375,109.8540174375,-1,-1,-1,-1,0.026518,517636.0,445321.0,-1,4,-1,-1,-1,-1,18047619,19001354,953735,72.2481484453125,111.79142062919291,4919,8,128,1786659150712
1786659158151,27063588,-1,26579249,484339,-1,154.3291863125,157.6431931875,157.6431931875,-1,-1,-1,-1,0.029491,614544.0,625492.4,-1,4,-1,-1,-1,-1,26493180,28398860,1905680,111.3996756796875,150.6036530794335,9744,8,128,1786659166723
1786659173967,35229966,-1,34995364,234602,-1,111.275845375,117.309729375,117.309729375,-1,-1,-1,-1,0.028875,227205.0,270878.0,-1,4,-1,-1,-1,-1,34539879,35778428,1238549,81.674902515625,114.55876122602946,6654,8,128,1786659182733
1786659190075,37963013,-1,37917613,45400,-1,70.22813006666667,76.96680213333335,76.96680213333335,-1,-1,-1,-1,0.021205,118180.0,118337.0,-1,4,-1,-1,-1,-1,37622945,38213845,590900,50.330796083333325,72.72013601511458,2051,8,120,1786659197742
1786659205587,39771900,-1,39685104,86796,-1,53.9114579375,59.157737625,59.157737625,-1,-1,-1,-1,0.021393,118180.0,117198.4,-1,4,-1,-1,-1,-1,39986545,40104725,118180,38.496403546875,54.71760931200423,1891,8,128,1786659213756
1786659221527,41626593,-1,41566974,59619,-1,51.3677245625,65.9633758125,65.9633758125,-1,-1,-1,-1,0.022768,118180.0,117734.2,-1,4,-1,-1,-1,-1,41759245,41995605,236360,39.4479681328125,56.246821650423726,1888,8,128,1786659229765
1786659237410,43517473,-1,43454159,63314,-1,49.9713951875,61.7479326875,61.7479326875,-1,-1,-1,-1,0.022714,118180.0,117838.8,-1,4,-1,-1,-1,-1,43531945,43886485,354540,36.23384775,52.20877337790698,1892,8,128,1786659245778
1786659253296,44329660,-1,44329660,0,-1,53.428571,56.928571,56.928571,-1,-1,-1,-1,0.020643,0.0,0.0,-1,4,-1,-1,-1,-1,44329660,44329660,0,33.9598211875,52.71014446376812,207,8,14,1786659247781
1786659269155,44329660,-1,44329660,0,-1,-1,-1,-1,-1,-1,-1,-1,8e-05,0.0,0.0,-1,4,-1,-1,-1,-1,44329660,44329660,0,-1,-1,-1,-1,-1,-1
1786659285063,44329660,-1,44329660,0,-1,-1,-1,-1,-1,-1,-1,-1,0.000125,0.0,0.0,-1,4,-1,-1,-1,-1,44329660,44329660,0,-1,-1,-1,-1,-1,-1
1786659300968,44329660,-1,44329660,0,-1,-1,-1,-1,-1,-1,-1,-1,0.000179,0.0,0.0,-1,4,-1,-1,-1,-1,44329660,44329660,0,-1,-1,-1,-1,-1,-1
