timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1786660099785,nexmark-auction,0,0,0,0
1786660099785,nexmark-bid,0,0,0,0
1786660115781,nexmark-auction,82665,82665,122745,40080
1786660115781,nexmark-bid,1574564,1267332,1881796,614464
1786660131810,nexmark-auction,242985,283065,283065,0
1786660131810,nexmark-bid,4032420,4339652,4342421,2769
1786660147940,nexmark-auction,403305,433365,443385,10020
1786660147940,nexmark-bid,6490276,6643892,6797508,153616
1786660163716,nexmark-auction,563625,583665,603705,20040
1786660163716,nexmark-bid,8948132,8948132,9255364,307232
1786660179615,nexmark-auction,723945,733965,764025,30060
1786660179615,nexmark-bid,11405988,11252372,11713220,460848
1786660195756,nexmark-auction,884265,884265,924345,40080
1786660195756,nexmark-bid,13863844,13556612,14171076,614464
1786660211648,nexmark-auction,1038822,1034565,1084665,50100
1786660211648,nexmark-bid,16321700,15860852,16628932,768080
1786660227452,nexmark-auction,1194885,1234965,1244985,10020
1786660227452,nexmark-bid,18658805,18933172,19086788,153616
1786660243295,nexmark-auction,1432460,1530140,1598090,67950
1786660243295,nexmark-bid,22959875,23459135,24210380,751245
1786660259224,nexmark-auction,2135880,2246088,2402870,156782
1786660259224,nexmark-bid,34437052,34359514,36226015,1866501
1786660274984,nexmark-auction,2895660,2863100,3011875,148775
1786660274984,nexmark-bid,45393809,43515296,46179225,2663929
1786660290695,nexmark-auction,3179565,3189585,3229665,40080
1786660290695,nexmark-bid,49188468,48904012,49518476,614464
1786660306088,nexmark-auction,3339885,3339885,3379965,40080
1786660306088,nexmark-bid,51515484,51208252,51822716,614464
1786660321784,nexmark-auction,3500205,3490185,3540285,50100
1786660321784,nexmark-bid,53973340,53512492,54280572,768080
1786660337700,nexmark-auction,3658020,3670545,3700605,30060
1786660337700,nexmark-bid,56431196,55671152,56738428,1067276
1786660353591,nexmark-auction,3758220,3758220,3758220,0
1786660353591,nexmark-bid,57621720,57621720,57621720,0
1786660369816,nexmark-auction,3758220,3758220,3758220,0
1786660369816,nexmark-bid,57621720,57621720,57621720,0
1786660385688,nexmark-auction,3758220,3758220,3758220,0
1786660385688,nexmark-bid,57621720,57621720,57621720,0
1786660401711,nexmark-auction,3758220,3758220,3758220,0
1786660401711,nexmark-bid,57621720,57621720,57621720,0
