timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1786660108779,start,1,163636,120.0,0,8
1786660241274,start,2,163636,5.0,21904353,132503
1786660241275,start,3,212728,5.0,21904353,132504
1786660251845,start,4,348544,5.0,26743824,143074
1786660251845,start,5,531820,5.0,26743824,143074
1786660262308,start,6,716728,5.0,35584611,153537
1786660262308,start,7,850908,5.0,35584611,153537
1786660272590,start,8,900000,5.0,44037558,163819
1786660272590,start,9,850908,5.0,44037558,163819
1786660272590,start,10,716728,5.0,44037558,163819
1786660283157,start,11,531820,5.0,49824168,174386
1786660283157,start,12,348544,5.0,49824168,174386
1786660293709,start,13,212728,5.0,52073557,184938
1786660293709,start,14,163636,60.0,52073557,184938
