timestamp,totalEvents,deltaEvents,remainingEvents,baselineOffsetTotal
1786642890560,0,0,60150000,0
1786642891560,0,0,60150000,0
1786642892560,0,0,60150000,0
1786642893560,0,0,60150000,0
1786642894560,0,0,60150000,0
1786642895560,0,0,60150000,0
1786642896560,0,0,60150000,0
1786642897560,0,0,60150000,0
1786642898560,0,0,60150000,0
1786642899561,0,0,60150000,0
1786642900561,15000,15000,60135000,0
1786642901561,75000,60000,60075000,0
1786642902561,135000,60000,60015000,0
1786642903561,195000,60000,59955000,0
1786642904562,255000,60000,59895000,0
1786642905562,315000,60000,59835000,0
1786642906562,375000,60000,59775000,0
1786642907562,435000,60000,59715000,0
1786642908562,495000,60000,59655000,0
1786642909562,555000,60000,59595000,0
1786642910562,615000,60000,59535000,0
1786642911562,675000,60000,59475000,0
1786642912562,735000,60000,59415000,0
1786642913562,795000,60000,59355000,0
1786642914562,855000,60000,59295000,0
1786642915562,915000,60000,59235000,0
1786642916562,975000,60000,59175000,0
1786642917562,1035000,60000,59115000,0
1786642918562,1095000,60000,59055000,0
1786642919562,1155000,60000,58995000,0
1786642920562,1215000,60000,58935000,0
1786642921562,1275000,60000,58875000,0
1786642922563,1335000,60000,58815000,0
1786642923563,1395000,60000,58755000,0
1786642924563,1455000,60000,58695000,0
1786642925563,1515000,60000,58635000,0
1786642926563,1575000,60000,58575000,0
1786642927563,1635000,60000,58515000,0
1786642928563,1695000,60000,58455000,0
1786642929564,1755000,60000,58395000,0
1786642930564,1815000,60000,58335000,0
1786642931564,1875000,60000,58275000,0
1786642932565,1935000,60000,58215000,0
1786642933565,1995000,60000,58155000,0
1786642934565,2055000,60000,58095000,0
1786642935565,2115000,60000,58035000,0
1786642936565,2175000,60000,57975000,0
1786642937565,2235000,60000,57915000,0
1786642938565,2295000,60000,57855000,0
1786642939565,2355000,60000,57795000,0
1786642940565,2415000,60000,57735000,0
1786642941565,2475000,60000,57675000,0
1786642942565,2535000,60000,57615000,0
1786642943565,2595000,60000,57555000,0
1786642944566,2655000,60000,57495000,0
1786642945567,2715000,60000,57435000,0
1786642946567,2775000,60000,57375000,0
1786642947567,2835000,60000,57315000,0
1786642948567,2895000,60000,57255000,0
