timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1786642889863,nexmark-auction,0,0,0,0
1786642889863,nexmark-bid,0,0,0,0
1786642906232,nexmark-auction,30294,30294,45900,15606
1786642906232,nexmark-bid,577362,464706,693903,229197
1786642922515,nexmark-auction,89046,103734,107406,3672
1786642922515,nexmark-bid,1478610,1591266,1647594,56328
1786642938735,nexmark-auction,147798,158814,166158,7344
1786642938735,nexmark-bid,2379858,2436186,2548842,112656
1786642954933,nexmark-auction,206550,213894,224910,11016
1786642954933,nexmark-bid,3337434,3281106,3450090,168984
1786642971239,nexmark-auction,268974,268974,283662,14688
1786642971239,nexmark-bid,4238682,4126026,4351338,225312
1786642987627,nexmark-auction,327726,342414,346086,3672
1786642987627,nexmark-bid,5139930,5252586,5308914,56328
1786643003920,nexmark-auction,386478,397494,404838,7344
1786643003920,nexmark-bid,6097506,6097506,6210162,112656
1786643020347,nexmark-auction,453042,458554,475090,16536
1786643020347,nexmark-bid,7118434,7033946,7287410,253464
1786643036599,nexmark-auction,551179,551179,594039,42860
1786643036599,nexmark-bid,8716677,8453821,9110961,657140
1786643052907,nexmark-auction,703937,752913,765157,12244
1786643052907,nexmark-bid,11347736,11544538,11734843,190305
1786643069267,nexmark-auction,935060,966900,998740,31840
1786643069267,nexmark-bid,14828100,14793657,15316260,522603
1786643085427,nexmark-auction,1220839,1241043,1301655,60612
1786643085427,nexmark-bid,19341253,18925402,19960845,1035443
1786643101598,nexmark-auction,1579446,1579446,1688215,108769
1786643101598,nexmark-bid,24971578,24220554,25752840,1532286
1786643117880,nexmark-auction,1999596,2109804,2137356,27552
1786643117880,nexmark-bid,31507800,32352696,32775144,422448
1786643133861,nexmark-auction,2409022,2482486,2530391,47905
1786643133861,nexmark-bid,37692002,38067514,38625047,557533
1786643150079,nexmark-auction,2752635,2793043,2848300,55257
1786643150079,nexmark-bid,42836642,42829457,43676700,847243
1786643165911,nexmark-auction,3023420,3039340,3094749,55409
1786643165911,nexmark-bid,46888313,46605660,47455251,849591
1786643183615,nexmark-auction,3253003,3278719,3287291,8572
1786643183615,nexmark-bid,50144853,50276281,50407709,131428
1786643199959,nexmark-auction,3386330,3397354,3412512,15158
1786643199959,nexmark-bid,52095146,52095146,52305182,210036
1786643216392,nexmark-auction,3474054,3474054,3488742,14688
1786643216392,nexmark-bid,53383602,53270946,53496258,225312
1786643232759,nexmark-auction,3532806,3547494,3551166,3672
1786643232759,nexmark-bid,54284850,54397506,54453834,56328
1786643249094,nexmark-auction,3591558,3602574,3609918,7344
1786643249094,nexmark-bid,55219450,55242426,55355082,112656
1786643265287,nexmark-auction,3653982,3657654,3668670,11016
1786643265287,nexmark-bid,56143674,56087346,56256330,168984
1786643281843,nexmark-auction,3682440,3682440,3682440,0
1786643281843,nexmark-bid,56467560,56467560,56467560,0
1786643298291,nexmark-auction,3682440,3682440,3682440,0
1786643298291,nexmark-bid,56467560,56467560,56467560,0
1786643314528,nexmark-auction,3682440,3682440,3682440,0
1786643314528,nexmark-bid,56467560,56467560,56467560,0
1786643331780,nexmark-auction,3682440,3682440,3682440,0
1786643331780,nexmark-bid,56467560,56467560,56467560,0
