timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1786642899206,start,1,60000,120.0,0,7
1786643031851,start,2,90000,15.0,8195964,132652
1786643042389,start,3,140000,15.0,9495119,143190
1786643063545,start,4,200000,15.0,13263268,164346
1786643074163,start,5,260000,15.0,15763160,174964
1786643084700,start,6,330000,15.0,18891888,185501
1786643106017,start,7,400000,15.0,26526536,206818
1786643116579,start,8,450000,15.0,31176588,217380
1786643137740,start,9,400000,15.0,40076536,238541
1786643148253,start,10,330000,15.0,43602092,249054
1786643158857,start,11,260000,15.0,46997240,259658
1786643180268,start,12,200000,15.0,51913268,281069
1786643190818,start,13,140000,15.0,53809284,291619
1786643211900,start,14,90000,15.0,56195964,312701
1786643222491,start,15,60000,60.0,56965407,323292
