timestamp,jobId,avgCpu,avgInput,avgProcess,queue,numExecutors,numLambdaExecutors,lastActionWasScaleOut,prevFutureCompleted,registeredVmWorkers,activeVmWorkers,vmWorkerRunningTasks
1786642889863,sponge-q6-sine-60k450k-20260813T1733Z,0.00067,15000.0,-1.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786642906232,sponge-q6-sine-60k450k-20260813T1733Z,0.012232,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786642922515,sponge-q6-sine-60k450k-20260813T1733Z,0.012161,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786642938735,sponge-q6-sine-60k450k-20260813T1733Z,0.012286,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786642954933,sponge-q6-sine-60k450k-20260813T1733Z,0.011911,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786642971239,sponge-q6-sine-60k450k-20260813T1733Z,0.011821,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786642987627,sponge-q6-sine-60k450k-20260813T1733Z,0.011795,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643003920,sponge-q6-sine-60k450k-20260813T1733Z,0.008777,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643020347,sponge-q6-sine-60k450k-20260813T1733Z,0.011875,90000.0,90000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643036599,sponge-q6-sine-60k450k-20260813T1733Z,0.016036,140000.0,140000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643052907,sponge-q6-sine-60k450k-20260813T1733Z,0.022286,200000.0,200000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643069267,sponge-q6-sine-60k450k-20260813T1733Z,0.025821,260000.0,260000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643085427,sponge-q6-sine-60k450k-20260813T1733Z,0.025964,347500.0,330000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643101598,sponge-q6-sine-60k450k-20260813T1733Z,0.028152,450000.0,403928.6,-1,4,-1,unknown,unknown,-1,-1,-1
1786643117880,sponge-q6-sine-60k450k-20260813T1733Z,0.028634,400000.0,440811.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643133861,sponge-q6-sine-60k450k-20260813T1733Z,0.027464,330000.0,364670.4,-1,4,-1,unknown,unknown,-1,-1,-1
1786643150079,sponge-q6-sine-60k450k-20260813T1733Z,0.023077,260000.0,274636.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643165911,sponge-q6-sine-60k450k-20260813T1733Z,0.024384,200000.0,200455.6,-1,3,-1,unknown,unknown,-1,-1,-1
1786643183615,sponge-q6-sine-60k450k-20260813T1733Z,0.026366,140000.0,140000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643199959,sponge-q6-sine-60k450k-20260813T1733Z,0.022628,90000.0,90000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643216392,sponge-q6-sine-60k450k-20260813T1733Z,0.02125,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643232759,sponge-q6-sine-60k450k-20260813T1733Z,0.022467,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643249094,sponge-q6-sine-60k450k-20260813T1733Z,0.022125,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643265287,sponge-q6-sine-60k450k-20260813T1733Z,0.020545,45000.0,57000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643281843,sponge-q6-sine-60k450k-20260813T1733Z,0.003366,0.0,0.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643298291,sponge-q6-sine-60k450k-20260813T1733Z,0.000179,0.0,0.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786643314528,sponge-q6-sine-60k450k-20260813T1733Z,0.00017,0.0,0.0,-1,4,-1,unknown,unknown,-1,-1,-1
